"facility_name","street_address","city","state","zip","phone_number","type","facility_license_id","county","inspection_type","geocoded_column","a9_cert","l3_cert"
"RWS BMW INC","224 BROAD ST","SUMMIT","NJ","07901","(908) 273-0578","Inspections Only","PIF010896","UNION","Auto Only","POINT (-74.34968099699995 40.71261300300006)","No","No"
"SMITH MOTOR CO INC","RT 31 PO BOX 310","WASHINGTON","NJ","07882","(908) 835-8100","Emission Repair Only","ERF001680","WARREN","Auto Only","POINT (-74.97784009999998 40.75879050000004)","No","No"
"LEASE LINE INC","P O BOX-7720","NO BRUNSWICK","NJ","08902","(732) 297-9200","Inspections Only","PIF000710","MIDDLESEX","Diesel Only","POINT (-74.45587759999995 40.46752150000004)","No","No"
"VNC INC","99 HAZEL STREET","PATERSON","NJ","07503","(973) 925-1828","Inspections Only","PIF000454","PASSAIC","Auto Only","POINT (-74.16408101799993 40.89342100600004)","No","No"
"CLARKS AUTO REPAIR","633 BLK HRS PI","WILLIAMSTOWN","NJ","08094","(856) 728-0660","Emission Repair Only","ERF000548","GLOUCESTER","Auto Only","POINT (-74.99469489999996 39.68707490000003)","No","No"
"""LITHIA RAMSEY-LLC""","1000 ROUTE 17 NORTH","RAMSEY","NJ","07446","(201) 258-6100","Emission Repair Only","ERF003423","BERGEN","Auto Only","POINT (-74.13217457899998 41.066284497000034)","No","No"
"AMRCN TIRE&AUTO CARE OF CH","165 RT 206 & 35 MAPLE AVE","CHESTER","NJ","07930","(908) 879-7444","Emission Repair & Inspections","ERF000337","MORRIS","Auto Inspection and Emission Repair","POINT (-74.69722407999996 40.78176417100008)","No","No"
"TUBBYS SHELL","48 WEST ST","RED BANK","NJ","07701","(732) 741-7742","Emission Repair & Inspections","ERF001104","MONMOUTH","Auto Inspection and Emission Repair","POINT (-74.07334901099995 40.34926001500003)","No","No"
"N&K INC","270 RTE 46W","LITTLE FERRY","NJ","07643","(201) 440-8866","Inspections Only","PIF000323","BERGEN","Auto Only","POINT (-74.04181696199998 40.85493298300003)","No","No"
"TOTO AUTO SERVICE CTR LLC","4124 ROUTE 516 EAST","MATAWAN","NJ","07747","(732) 583-6707","Inspections Only","PIF000426","MIDDLESEX","Auto Only","POINT (-74.27618201599995 40.40727401600003)","No","No"
"ALS SERVICE CENTER INC","PO BOX 6","PRINCETON JCT","NJ","08550","(609) 799-2252","Inspections Only","PIF006630","MERCER","Auto Only","POINT (-74.61957499999994 40.31204500000007)","No","No"
"KELLYS SEA BAY SUNOCO","RT 35N PRINCETON AVE","LAVALLETTE","NJ","08735","(732) 830-5970","Emission Repair & Inspections","ERF002971","OCEAN","Auto Inspection and Emission Repair","POINT (-74.06818798299997 39.96273847500004)","No","No"
"R & T AUTOMOTIVE LLC","59 RTE 94 - PO BOX 111","BLAIRSTOWN","NJ","07825","(908) 362-0061","Emission Repair & Inspections","ERF003036","WARREN","Auto Inspection and Emission Repair","POINT (-74.96265502399996 40.981875984000055)","No","No"
"VALE TIRE CORP","678 WESTWOOD AVE","RIVER VALE","NJ","07675","(201) 664-2882","Inspections Only","PIF001079","BERGEN","Auto Only","POINT (-74.00526599699998 40.99509701200003)","No","No"
"CARMENS TOWING INC OF NJ","PO BOX 9 23 WILLOW ROAD","MAPLE SHADE","NJ","08052","(856) 231-9506","Inspections Only","PIF001122","BURLINGTON","Auto Only","POINT (-74.96937202999999 39.939936018000026)","No","No"
"CLASSIC COACH REPAIR","1007 S ELMORA AVE","ELIZABETH","NJ","07202","(908) 352-3939","Emission Repair & Inspections","ERF000789","UNION","Auto Inspection and Emission Repair","POINT (-74.22508501199997 40.65417701400003)","No","No"
"ANGELS AUTO","61-63 CHESTER AVE","NEWARK","NJ","07104","(973) 482-9257","Inspections Only","PIF009524","ESSEX","Auto Only","POINT (-74.16277077699993 40.767990928000074)","No","No"
"O J TRUCK LUBE INC","20-22 JACOBUS AVE","KEARNY","NJ","07032","(973) 589-3300","Inspections Only","PIF000734","HUDSON","Diesel Only","POINT (-74.11321709099997 40.73209123600003)","No","No"
"P & P AUTO REPAIR LLC","670 B SAYRE AVENUE","PERTH AMBOY","NJ","08861","(732) 442-9679","Inspections Only","PIF000624","MIDDLESEX","Auto Only","POINT (-74.28763514999997 40.52047207800007)","No","No"
"FINAL TOUCH COLL AUTO SLS I","6116-6114 BROADWAY","WEST NY","NJ","07093","(201) 854-3474","Inspections Only","PIF011885","HUDSON","Auto Only","POINT (-74.00923700699997 40.788196018000065)","No","No"
"GROVE AUTO SERVICE INC","75 GROVE ST","HADDONFIELD","NJ","08033","(856) 616-8140","Emission Repair & Inspections","ERF001968","CAMDEN","Auto Inspection and Emission Repair","POINT (-75.03075999899994 39.901984017000075)","Yes","Yes"
"JOE D'AURIA'S AUTO SRV LLC","1401 BRACE RD","CHERRY HILL","NJ","08034","(856) 427-9422","Inspections Only","PIF001036","CAMDEN","Auto Only","POINT (-75.01713552099994 39.893446708000056)","No","No"
