"as_of_date","federal_agency","funding_source","program_description","project_name","project_description","project_type","county","municipality","vendor","applicant_name","route","direction","mp_start","mp_end","location","description_of_damage","structure_number","project_completion_date","fhwa_oblgtd_amt","actual_labor","actual_equipment","actual_material","total_cost","awaiting_fhwa_approval","fhwa_rmbrsmnt_amt","agency_actual_cost","obligated_amount","disbursed_amount"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","5","Major sinkhole repair including curb repair and repair/reconstruction of Type-B inlet storm sewer structure.","FHWA-Emergency Repairs of Roads, Traffic Lights and Bridges","MONMOUTH","MONMOUTH BEACH BOROUGH, SEA BRIGHT BOROUGH","IEW Construction Group","NJ DOT","36","North Bound and South Bound","8","11.34","Route 36 North Bound & South Bound @ MP 8 to 11.34","Major sinkhole along Route 36 @ MP 11.34. The B Inlet settled down as a result of flooding conditions.","Near new Shrewsbury Bridge Rt 520","2012-11-30T00:00:00.000","64398","26912.67","34116.95","3368.27","64398",,"64398","0","64398","64398"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","5","Numerous sinkhole repairs, approximately 725LF of sidewalk repaired. Numerous inlet casting curb pieces repaired/replaced.","FHWA-Permanent Repairs involving Highway Reconstruction","MONMOUTH","MONMOUTH BEACH BOROUGH, SEA BRIGHT BOROUGH","Ferreira Construction Co., Inc.","NJ DOT","36","North Bound and South Bound","8","11.34","Route 36 North Bound & South Bound @ MP 8 to 11.34","Numerous sinkholes along Route 36. In addition, approximately 725 LF of sidewalk was damaged along Route 36 as a result of the combination of sinkholes forming beneath the sidewalks producing voids under the concrete and sand as high as 5 feet depositing on top of the sidewalk, thus crushing and demoloshing portions of the sidewalk where roadway sub base was saturated and washed out. Inlet casting curb pieces were broken or missing at approximately 9 locations.","Near new Shrewsbury Bridge Rt 520","2012-11-30T00:00:00.000","200813","87252.24","30464.95","83095.62","200813",,"200813","0","200813","200813"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","8","Placed 329.89 Tons of DGA and Rip-Rap to repair washout areas along the roadway. Total area of erosion approximately 1859 FT x 6.5FT D x 8FT W (3580.30 CY)","FHWA-Permanent Repairs involving Highway Reconstruction","ATLANTIC","EGG HARBOR TOWNSHIP","IEW Construction Group","NJ DOT","40","East Bound and West Bound","61.1","63.5","Route 40 East Bound & West Bound @ MP 61.1 to 63.5","Eastbound - 1859 FT Washout (IEW),","0109-150,0109-151,0109-152","2012-11-02T00:00:00.000","338317","60723.48","41399.86","236193.77","338317",,"338317","0","338317","338317"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","8","Repairs to approximately 500 LF of damaged bridge approach sidewalk. Replaced 25 LF of washed-out curb.","FHWA-Permanent Repairs involving Highway Reconstruction","ATLANTIC","EGG HARBOR TOWNSHIP","AP Construction, Inc.","NJ DOT","40","East Bound and West Bound","61.1","63.5","Route 40 East Bound & West Bound @ MP 61.1 to 63.5","500 FT storm damaged sidewalk (AP). Westbound - (0109-151) 25 ft curb washout (AP)","0109-150,0109-151,0109-152","2012-11-13T00:00:00.000","37232","21580.34","7730.36","7921.13","37232",,"37232","0","37232","37232"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","9","Erosion repairs to washout area approximately 475'L x 30'W. Re-constructed washed-out roadway, installed guide rail, re-graded slope, re-striped and placed rip-rap behind guide rail.","FHWA-Permanent Repairs involving Highway Reconstruction","ATLANTIC","EGG HARBOR TOWNSHIP","Schifano Construction Corporation","NJ DOT","152","Not Applicable","2.17","2.17","Ramp from Ocean Drive to Rt. 152+I11","Roadway washout, guiderail damage, slope erosion and berm washout. Approx. 475'L x 30'W.",,"2013-01-22T00:00:00.000","195232","0","0","0","195232.46",,"195232","0","195232","195232"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","14","Breach Repair. (length of breach approximately 500 LF along RT 35). Filled portions of the breach with stone to construct temporary roadway. Installed approximately 560LF of steel sheet piling along east side of RT 35 North Bound. Reconstructed washed away portion of RT 35 and CR 528 to original line and grade. (Paving and striping completed by Shifano Construction Corp. as part of DOT Site#117). Replaced gravity sewer manholes, pipes, and house service tie-ins within the breached areas. installed traffic signals and signage.","FHWA-Permanent Repairs involving Highway Reconstruction","OCEAN","MANTOLOKING BOROUGH","IEW Construction Group","NJ DOT","35","North Bound and South Bound","9.94","10.09","Route 35 @MP 9.94 to 10.09 adjacent to CR 528 intersection (Breach #3)","Large sections of RT 35 and CR 528 intersection washed away. Severe storm surges created a breach by connecting the Atlantic Ocean to the Barnegate Bay. The length of the breach was approximately 500LF along RT 35 and 600LF along CR 528. The roadway infrastructure including utilities and traffic signals were also washed.",,"2013-12-26T00:00:00.000","5815229","1875572.92","1120647.11","2819008.64","5815229",,"5815229","0","5815229","5815229"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","15","Repaired/Replaced approximately 30LF of blown away metal sheeting (Noise Barrier) on the bridge deck. Removed damaged sheets of noise barrier and plumbed the columns. Installed 9 total sheets of new metal sheeting sound wall with front and top back closures. Painted the angles and screws.","FHWA-Permanent Repairs involving Highway Reconstruction","MIDDLESEX","EDISON TOWNSHIP","Ferreira Construction Co., Inc.","NJ DOT","287","North Bound","2.47","2.47","RT I-287 North Bound at MP 2.47","Excessive winds of Hurricane Sandy damaged and blew away approximately 30 LF of metal sheeting (Noise Barrier) on the bridge deck of Route I-287 at MP 2.47","1230-164","2013-05-17T00:00:00.000","55723","27040.5","0","34873.64","61914.14",,"55723","61914.14","55723","55723"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","16","Replaced in-kind a washed away steel bridge bearing with a steel bridge bearing fabricated on site.","FHWA-Permanent Repairs involving Highway Reconstruction","OCEAN","TOMS RIVER TOWNSHIP","Ferreira Construction Co,. Inc.","NJ DOT","37","East Bound","11.92","11.92","Rt 37 East Bound over Barnegate Bay","Steel Bearing damaged and washed away","1508-150","2012-10-31T00:00:00.000","16126","14127.3","1998.31","0","16126",,"16126","0","16126","16126"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","17","Repairs to severe erosion of all four bridge approach embankments. At the SE embankment, the roadway was undermined (area of undermining approx. 6'D x 3'H) and a junction box and electrical conduits were destroyed. Erosion repairs included filling 8' x 6' x 1' sawcut area with DGA & leveling, Backfilling a 5' x 9' x 9' bridge abutment area with DGA, placing Filter Fabric, placing 20LF of Rip Rap, placing 1100 LF of new guide, electrical work and slope restoration.","FHWA-Permanent Repairs involving Highway Reconstruction","OCEAN","TOMS RIVER TOWNSHIP","Mount construction Co., Inc.","NJ DOT","37","East Bound and West Bound","11.92","11.92","Rt 37 over Barnegate Bay","Severe Erosion of all four approach embankments. SW approach embankment erosion began at the west end of the SW wingwall (25' from bridge) and measured 5' high x 9' deep x 9' wide. It undermined the SW approach safety walk for the full width and 4' into the right lane. SE embankment erosion 3' high x 120' long. It undermined roadway 6' deep x 3' high. Junction box and electrical conduits were also destroyed.","1508-150","2012-11-12T00:00:00.000","208292","135124.59","38182.03","34985.35","208291.97",,"208292","0","208292","208292"
"2022-07-26T00:00:00.000","US DOT","FHWA-Permanent and Emergency Repairs - State Highways","To restore State highways in the aftermath of Hurricane Sandy, NJDOT contracted for Emergency and Permanent Repairs of various roads and bridges. Emergency work includes sinkhole repairs, restoration of eroded soil, repair of damaged traffic lights, and flood control measures. Permanent Repairs involve highway reconstruction, such as that planned for Route 35 near the Jersey shore.","18","Breach Repair (Two breaches approximately 150LF and 125 LF respectfully along RT 35) . Filled portions of the breaches with stone to construct temporary roadway. Reconstructed washed away portion of RT 35 to original line and grade. (Paving and striping completed by Shifano Construction Corp. as part of DOT Site#117).","FHWA-Permanent Repairs involving Highway Reconstruction","OCEAN","MANTOLOKING BOROUGH","IEW Construction Group","NJ DOT","35","North Bound and South Bound","10.1","10.7","Rt 35 @ MP 10.10 to 10.70 in both directions (Breaches #2 and #1)","Large sections of Route 35 washed away. MP 10.10 -Just north of CR 528 intersection (Breach #2). Length of Breach approximately 150 LF along RT 35). MP 10.70 - adjacent to Lyman Street (Breach #1). Length of Breach approximately 125 LF along RT 35",,"2013-12-26T00:00:00.000","2161580","722335.3","446195.58","993049.08","2161580",,"2161580","0","2161580","2161580"
