"as_of_date","federal_agency","funding_source","program_description","project_name","project_description","project_type","county","municipality","vendor","applicant_name","obligated_amount","obligated_date","disbursed_amount","disbursed_date","recouped_amount"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","STATEWIDE","STATEWIDE","Brett Dinovi & Assoc, LLC","Not provided","298.00",,"298.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","BERGEN, ESSEX, HUDSON, MIDDLESEX, MONMOUTH, UNION","COUNTYWIDE","A Caring Connection","Various Individuals","82348.00",,"82348.00",,"3725.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","ESSEX","COUNTYWIDE","Arc of Essex County","Various Individuals","9408.00",,"9408.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","BERGEN, OCEAN","COUNTYWIDE","OHEL Childrens Home and Family","Various Individuals","15928.00",,"15928.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","ATLANTIC, BERGEN, CAPE MAY, CUMBERLAND, HUDSON, MIDDLESEX, MONMOUTH, OCEAN, UNION","COUNTYWIDE","Family Resource Network","Not provided","16200.00",,"16200.00",,"9750.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","ATLANTIC, BERGEN, CAPE MAY, CUMBERLAND, ESSEX, HUDSON, MIDDLESEX, MONMOUTH, OCEAN, UNION","COUNTYWIDE","Asun Star Consulting","Various Individuals","4100.00",,"4100.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","BERGEN, ESSEX, HUDSON, MIDDLESEX, MONMOUTH, OCEAN, UNION","COUNTYWIDE","Youth Consultation Services","Various Individuals","5213.00",,"5213.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","BERGEN, ESSEX, HUDSON, MIDDLESEX, MONMOUTH, UNION","COUNTYWIDE","Community Access Unlimited Inc","Various Individuals","575.00",,"575.00",,"0.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","BERGEN, ESSEX, HUDSON, MIDDLESEX, UNION","COUNTYWIDE","Owen Home Health Care","Various Individuals","105788.00",,"105788.00",,"6500.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","ATLANTIC, BERGEN, CAPE MAY, CUMBERLAND, HUDSON, MIDDLESEX, MONMOUTH, OCEAN, UNION","COUNTYWIDE","Unique Home Care","Various Individuals","152638.00",,"152638.00",,"500.00"
"2019-05-22T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Respite Services","Provide respite services for families of children with special needs in impacted counties","Special Services-Disabled","HUDSON","COUNTYWIDE","Visiting Homemaker Serv","Various Individuals","3000.00",,"3000.00",,"0.00"
