"u_id","name","description","creation_date","last_update_date_data","category","keywords","url","data_provided_by","source_link","asset_provider_organization","asset_start_date","asset_end_date","asset_collection_frequency","geographic_coverage","governor_s_transparency","asset_posting_frequency"
"2q8q-6cwq","2019 Pinelands Commission Annual Report","This report provides information Pinelands Commission for the year 2019.","11/2/2020 15:21","11/2/2020 15:21","Government & Finance","2019,annual,pinelands,report","https://data.nj.gov/d/2q8q-6cwq","NJ Pinelands Commission","https://www.nj.gov/pinelands/infor/online/annual/Annual%20Report%202019%20(Final).pdf","Treasury","2019","2019","Annually Calendar Year","State","Other/Annual Data","Annually Calendar Year"
"fdh2-t954","Sandy CDL Glossary And Notes","This is a report of the column descriptions of the columns in the Master and Summary Reports.","10/2/2015 19:18","10/2/2015 19:18","Government & Finance","cdl,sandy,sandy-glossary","https://data.nj.gov/d/fdh2-t954","FEMA CDL",,"Treasury","10/2/2015","Ongoing","On-Demand/As-Needed","County",,"On-Demand/As-Needed"
"tpvi-7cdx","Data.NJ.Gov: Socrata Help Videos","These are online videos provided by Socrata that demonstrate how to use this open data platform.","6/12/2014 19:24","6/12/2014 19:24","Reference Data","help,video","https://data.nj.gov/d/tpvi-7cdx","Socrata","https://nj-oit.demo.socrata.com/videos","Treasury","1/15/2015","Ongoing","On-Demand/As-Needed",,,"On-Demand/As-Needed"
"uxct-9i9f","FY2012 Detailed Budget","This is the Governor's Budget and Message for Fiscal Year 2012. More information can be found in the Citizen's Guide to the Budget on the Treasury/OMB website: www.state.nj.us/treasury/omb.","5/28/2015 13:02","5/28/2015 13:02","Government & Finance","2012,budget,christie,governor,message","https://data.nj.gov/d/uxct-9i9f","NJ Office of Management and Budget",,"Treasury","2/22/2011","2/22/2011","Annually Fiscal Year","State","Budget Data","Annually Fiscal Year"
"azfu-xptd","2021 State Tax Expenditures Report","This report provides information on State Tax Expenditures as of March 2021.","3/19/2021 14:19","3/19/2021 14:19","Government & Finance","expenditure,expenditures,tax","https://data.nj.gov/d/azfu-xptd","NJ Department of the Treasury","https://www.state.nj.us/treasury/taxation/taxexpenditurereport.shtml","Treasury","Mar-21","Mar-21","Annually Calendar Year",,"Other/Annual Data","Annually Calendar Year"
"j6qw-88pm","FY2019 New Jersey Lottery Annual Report","This report provides information on the State of New Jersey Programs Supported by State Lottery Resources for the Fiscal Year 2019.","10/30/2020 13:12","10/30/2020 13:12","Recreation","2019,annual,lottery","https://data.nj.gov/d/j6qw-88pm","New Jersey Lottery","https://www.njlottery.com/en-us/aboutus/givingback/reports.html","Treasury","2019","2019","Annually Fiscal Year","State","Other/Annual Data","Annually Fiscal Year"
"f94q-mi27","2017 Highlands Council Annual Report","This report provides information on New Jersey Highlands Water Protection and Planning Council for the year 2017.","4/23/2018 12:40","4/23/2018 12:40","Environment & Agriculture","council,highlands","https://data.nj.gov/d/f94q-mi27","NJ Highlands Council","http://www.state.nj.us/njhighlands/news/annual_report/2017AR.pdf","Environmental Protection","4/19/2018","4/19/2018","Annually Calendar Year","Region","Other/Annual Data","Annually Calendar Year"
"4bpu-pj5j","2015 New Jersey Transit Annual Report","This report provides information on New Jersey Transit for the year 2015.","1/25/2016 18:34","1/25/2016 18:34","Transportation","transit","https://data.nj.gov/d/4bpu-pj5j","NJ Transit",,"Transportation","2015","2015","Annually Fiscal Year","State","Other/Annual Data","Annually Fiscal Year"
"p6fj-nk2t","Find Your Local Health Department","Find Your Local Health Department-Use the map tool on this page to find individual LHDs","3/25/2022 17:14","3/25/2022 17:14","Health","department,health,local","https://data.nj.gov/d/p6fj-nk2t","DOH","https://www.nj.gov/health/lh/community/index.shtml","Health","Mar-22",,"On-Demand/As-Needed","State",,"On-Demand/As-Needed"
"cgi2-3icv","John Hopkins COVID-19 School Reopening Checklist","How K-12 Schools Should Prepare for Reopening During the 2020-21 Academic Year: An Equity Checklist","7/13/2020 13:09","7/13/2020 13:09","Education","coronavirus,covid-19,school","https://data.nj.gov/d/cgi2-3icv","John Hopkins University","https://equityschoolplus.jhu.edu/reopening-checklist/","Education","7/13/2020","Ongoing","On-Demand/As-Needed","Federal",,"On-Demand/As-Needed"
