"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsretained","dateapproved","lender","cd","geocoded_column"
"e $150,000-350,000","RIDGETOP CORPORATION","PO Box 644","ENGLEWOOD","NJ","07631","531311","Corporation","Unanswered","Unanswered","Unanswered",,"19","2020-05-05T00:00:00.000","Lakeland Bank","NJ - 05",
"e $150,000-350,000","D&G LLC","TBD","ENGLEWOOD","NJ","07631","722511","Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran",,"30","2020-04-27T00:00:00.000","NVE Bank","NJ - 05",
"d $350,000-1 million","DATA DYNAMICS INC","STE 102 101 CEDAR LN","TEANECK","NJ","07666","518210","Corporation","Unanswered","Unanswered","Unanswered",,"25","2020-04-14T00:00:00.000","Cross River Bank","NJ - 05",
"e $150,000-350,000","CHAVOND-BARRY ENGINEERING CORP","400 County Route 518","BLAWENBURG","NJ","08504","541330","Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-27T00:00:00.000","Peapack-Gladstone Bank","NJ - 07",
"e $150,000-350,000","MONMOUTH AIRCRAFT SERVICE INC","RTE 530","BAYVILLE","NJ","08721","488190","Partnership","Unanswered","Male Owned","Non-Veteran",,"0","2020-04-15T00:00:00.000","TD Bank, National Association","NJ - 03",
"c $1-2 million","BAY RIDGE AUTOMOTIVE MANAGEMENT CORP.","7500 Westside Ave","NORTH BERGEN","NJ","07047","441110","Corporation","Unanswered","Unanswered","Unanswered",,"147","2020-04-16T00:00:00.000","Citibank, N.A.","NJ - 08",
"c $1-2 million","DODGE OF PARAMUS, INC.","315 STATE RT 4 West","PARAMUS","NJ","07652","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-13T00:00:00.000","Ally Bank","NJ - 05",
"d $350,000-1 million","FOURANS LLC","1031 Route 22 Suite 301","BRIDGEWATER","NJ","08807","541512","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-29T00:00:00.000","TD Bank, National Association","NJ - 07",
"e $150,000-350,000","FATHER NATURE LANDSCAPING & LAWN INC.","PO Box C","MOUNT HOLLY","NJ","08060","561730","Corporation","Unanswered","Unanswered","Unanswered",,"26","2020-04-10T00:00:00.000","Cornerstone Bank","NJ - 03",
"e $150,000-350,000","FRANKLIN ALARM COMPANY, INC","4294 Tuckahoe Road","FRANKLINVILLE","NJ","08322","561621","Corporation","Unanswered","Unanswered","Unanswered",,"19","2020-04-16T00:00:00.000","Newfield National Bank","NJ - 02",
"d $350,000-1 million","FRED BEANS MOTORS OF FLEMINGTON, INC.","174 Route 202","FLEMINGTON","NJ","08822","441110","Corporation","White","Male Owned","Veteran",,"67","2020-04-09T00:00:00.000","The Huntington National Bank","NJ - 07",
"e $150,000-350,000","G & B BUSINESS ASSOCIATES, INC","243 ROUTE 130 NORTH","BORDENTOWN","NJ","08505","447110","Corporation","Unanswered","Unanswered","Unanswered",,"16","2020-04-11T00:00:00.000","The Bank of Princeton","NJ - 03",
"e $150,000-350,000","GARDEN STATE YACHT SALES LLC","101 Route 35","POINT PLEASANT BEACH","NJ","08742","441222","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"15","2020-04-28T00:00:00.000","Manasquan Bank","NJ - 03",
"d $350,000-1 million","HAMILTON STREET INC.","420 Park Avenue","PERTH AMBOY","NJ","08861","238330","Corporation","Unanswered","Male Owned","Non-Veteran",,"64","2020-04-11T00:00:00.000","Provident Bank","NJ - 06","POINT (-74.269122 40.514135)"
"e $150,000-350,000","PHOENIX PRECISION INC","2963 Route 23 South","NEWFOUNDLAND","NJ","07435","332710","Subchapter S Corporation","White","Male Owned","Non-Veteran",,"19","2020-04-28T00:00:00.000","Lakeland Bank","NJ - 05",
"e $150,000-350,000","INTEGRAL STAFFING LLC","126 10W Suite 6","SUCCASUNNA","NJ","07876","561320","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"22","2020-04-30T00:00:00.000","Affinity FCU","NJ - 07",
"e $150,000-350,000","IS SMICK LUMBER","BOX 127","QUINTON","NJ","08072","423310","Corporation","Unanswered","Male Owned","Unanswered",,"26","2020-04-27T00:00:00.000","Fulton Bank, National Association","NJ - 02",
"e $150,000-350,000","JACOBS, SCHWALBE & PETRUZZELLI, P.C.","Ten Melrose Avenue","CHERRY HILL","NJ","08003","541110","Corporation","Unanswered","Unanswered","Unanswered",,"20","2020-04-15T00:00:00.000","TD Bank, National Association","NJ - 01",
"e $150,000-350,000","JJCD INC","C/O HAYDEN LIEBROSS","ENGLISHTOWN","NJ","07726","722511","Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran",,"0","2020-04-15T00:00:00.000","TD Bank, National Association","NJ - 04",
"e $150,000-350,000","JOHN JOSEPH, INC.","695 Westbrook Road","RINGWOOD","NJ","07456","325920","Corporation","Unanswered","Unanswered","Unanswered",,"14","2020-04-10T00:00:00.000","Lakeland Bank","NJ - 05",
