"as_of_date","federal_agency","funding_source","program_description","project_name","project_description","project_type","county","municipality","vendor","applicant_name","obligated_amount","obligated_date","disbursed_amount","disbursed_date"
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","State of NJ Dept of Corrections","NJDOH and Grantees","1275.00",,"1275.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","En Pointe Technologies","NJDOH and Grantees","1689.00",,"1689.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","MEJ Personal Business Services","NJDOH and Grantees","2335.00",,"2335.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","Agate Software","NJDOH and Grantees","15400.00",,"15400.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","NJ League of Municipalities","NJDOH and Grantees","49.00",,"49.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","DOH Staff","NJDOH and Grantees","379084.00",,"379084.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","DOH Print Shop","NJDOH and Grantees","25.00",,"25.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","Dell Inc.","NJDOH and Grantees","10328.00",,"10328.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","SHI International Corp","NJDOH and Grantees","2790.00",,"2790.00",
"2017-01-20T00:00:00.000","US HHS","SSBG","Social Services Block Grants (SSBG) enables each state or territory to meet the needs of its residents through locally relevant social services. SSBG support programs that allow communities to achieve or maintain economic self-sufficiency to prevent, reduce or eliminate dependency on social services","Administrative Costs","Administrative costs associated with DOH oversight and management of its SSBG funding and programs. This includes Grant Management System Upgrade also","Administration","STATEWIDE","STATEWIDE","Hewlett Packard","NJDOH and Grantees","2791.00",,"2791.00",
