"facid","facility_type","lic","licensed_name","address","fac_addr_2","fac_city","fac_st","zip","county","telephone","faxphone","facemail","lic_expires","licensed_owner","ownaddr","owncsz","owndesc","admin","title","hospbedtotal","geocoded_column"
"NJ25285","AMBULATORY CARE FACILITY","25285","BEACON OF LIFE","800 ROUTE 70",,"LAKEHURST","NJ","08733","OCEAN","(732) 592-3401",,,"2022-12-31T00:00:00.000","ACUTECARE HEALTH SYSTEM, LLC","600 RIVER AVENUE, 4 WEST","LAKEWOOD, NJ  08701","Profit - LLC",". PINNI FRIEDMAN",,,"POINT (-74.37301 39.973542)"
"NJ70785","AMBULATORY SURGICAL CENTER","70785","CENTER FOR SPECIAL SURGERY OF ESSEX COUNTY","556 EAGLE ROCK AVE",,"ROSELAND","NJ","07068","ESSEX","(973) 226-3500","(973) 226-3100",,"2022-08-31T00:00:00.000","CENTER FOR SPECIAL SURGERY OF ESSEX COUNTY, L.L.C.","14 EAST 60TH STREET","NEW YORK, NY  10022",,"Dr. ADAM TONIS",,,"POINT (-74.327592 40.822497)"
"NJ31C0001068","AMBULATORY SURGICAL CENTER","R24498","ENDO-SURGI CENTER, PA","1201 MORRIS AVENUE",,"UNION","NJ","07083","UNION","(908) 686-0066","(908) 686-5388","endounion@yahoo.com","2022-05-31T00:00:00.000","ENDO SURGI CENTER PA","1201 MORRIS AVENUE","UNION, NJ  07083","Profit - Partnership","Ms. SHARON DEMATO",,,"POINT (-74.240696 40.68654)"
"NJ25229","END STAGE RENAL DIALYSIS","25229","FRESENIUS MEDICAL CARE TENAFLY, LLC","64 HUDSON AVENUE",,"TENAFLY","NJ","07670","BERGEN","(610) 643-4964",,"Debora.keamey@fmc-na.com","2022-10-31T00:00:00.000","FRESENIUS MEDICAL CARE TENAFLY, LLC","920 WINTER STREET","WALTHAM, MA  02451",,"Ms. DEBORA KEARNEY",,,"POINT (-73.960607 40.933904)"
"NJR24545","SURGICAL PRACTICE","R24545","HAZEN PLASTIC SURGERY","311 COMMONS WAY",,"PRINCETON","NJ","08540","MERCER","(609) 921-7747","(609) 921-7748","HAZENPS@AOL.COM","2022-04-30T00:00:00.000","HAZEN PLASTIC SURGERY","311 COMMONS WAY","PRINCETON, NJ  08540",,"Dr. JILL HAZEN","D.O.",,"POINT (-74.657295 40.394112)"
"NJ23395","AMBULATORY SURGICAL CENTER","23286","LAKEWOOD SURGERY CENTER, LLC","1215 ROUTE 70",,"LAKEWOOD","NJ","08701","OCEAN","(732) 719-1800","(732) 719-1801","lakewood.nj@uspi.com","2022-06-30T00:00:00.000","LAKEWOOD SURGERY CENTER LLC",,",",,"Ms. ROCHELE HERZOG",,,"POINT (-74.180781 40.052831)"
"NJR24665","SURGICAL PRACTICE","R24665","MONMOUTH PLASTIC SURGERY PC","264 BROAD STREET",,"RED BANK","NJ","07701","MONMOUTH","(732) 842-3737","(732) 842-3110","laura@drgregorygreco.com","2022-06-30T00:00:00.000","MONMOUTH PLASTIC SURGERY PC","264 BROAD STREET","RED BANK, NJ  07701",,"Dr. GREGORY GRECO",,,"POINT (-74.064391 40.343262)"
"23237","COMPREHENSIVE OUTPATIENT REHAB","23194","MULTI CARE THERAPY CENTER","1527 STATE ROUTE 27, SUITE 1100",,"SOMERSET","NJ","08873","SOMERSET","(732) 545-7474","(732) 545-2880","mctc1527@comcast.net","2023-03-31T00:00:00.000","NKR, LLC","173 NATHAN DRIVE","NORTH BRUNSWICK, NJ  08902",,". NATASHA KOTIN",,,"POINT (-74.498049 40.467136)"
"NJ24961","END STAGE RENAL DIALYSIS","24961","VISTACARE DIALYSIS CENTER","300 BROADWAY",,"NEWARK","NJ","07104","ESSEX","(973) 878-4499","(800) 975-5201","gsuening@vistacaredialysis.com","2021-12-31T00:00:00.000","VISTACARE CONTINUUM SERVICES, LLC","300 BROADWAY","NEWARK, NJ",,". GODOFREDO SUENING",,,"POINT (-74.168637 40.760512)"
"NJ24829","AMBULATORY CARE FACILITY","24829","WAYNE CANCER CENTER","234 HAMBURG TURNPIKE",,"WAYNE","NJ","07470","PASSAIC","(973) 310-0300","(973) 595-1625","dvardaro@sovms.com","2020-05-31T00:00:00.000","SOVEREIGN ONCOLOGY, LLC",,",",,"Mr. DONALD VARDARO",,,"POINT (-74.205753 40.946465)"
