"county","center","phone","ages","capacity","city","addr1","addr2","zip","inspections"
"Passaic","El Mundo De Colore/World of Colors","973-523-0919","2½ to 6","154","Paterson","44 Ward Street",,"07501","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16ELM0003.shtml)"
"Passaic","El Mundo Del Nino/A Child's World","973-279-7100","2½ to 6","116","Paterson","433 Main Street",,"07501","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/16ELM0002.shtml)"
"Hudson","Concordia Learning Center","201-876-5432","2½ to 6","120","Jersey City","761 Summit Ave.",,"07307","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/090700227.shtml)"
"Mercer","The Children's Home Society of NJ Afterschool Program","609-695-6274","6 to 13","180","Trenton","1300 Stuyvesant Avenue",,"08618","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/130800278.shtml)"
"Burlington","Willingboro BOE at Hawthorne School","609-835-8600","2½ to 13","60","Willingboro","84 Hampshire Lane",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200019.shtml)"
"Burlington","Willingboro BOE at Levitt School","609-835-8600","2½ to 13","31","Willingboro","50 Rev. Dr. Martin Luther King",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200021.shtml)"
"Burlington","Willingboro BOE at J C Stuart School","609-835-8600","2½ to 13","60","Willingboro","70 Sunset Road",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200018.shtml)"
"Burlington","Willingboro BOE at W R James School","609-835-8600","2½ to 13","60","Willingboro","41 Pinetree Lane",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200022.shtml)"
"Burlington","Willingboro BOE at Twin Hills School","609-835-8600","2½ to 13","156","Willingboro","110 Twin Hills Drive",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200024.shtml)"
"Burlington","Willingboro BOE at Garfield East School","609-835-8600","2½ to 13","111","Willingboro","150 Evergreen Drive",,"08046","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200025.shtml)"
"Essex","Bloomfield Recreation Playgroup","973-680-8530","2½ to 6","150","Bloomfield","280 Davey Street",,"07003","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/120400099.shtml)"
"Essex","Bloomfield Recreation Station","973-743-9074","6 to 13","180","Bloomfield","465 Broughton Avenue","Demarest Elementary","07003","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/120300142.shtml)"
"Somerset","MacAfee Road Elementary C.A.R.E. Program","732-873-2400","6 to 13","100","Somerset","53 Macafee Road",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200276.shtml)"
"Somerset","Elizabeth Avenue Elementary C.A.R.E. Program","732-873-2400","6 to 13","40","Somerset","363 Elizabeth Avenue",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200281.shtml)"
"Somerset","Hillcrest Elementary C.A.R.E. Program","732-873-2400","6 to 13","80","Somerset","500 Franklin Blvd.",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200275.shtml)"
"Somerset","Conerly Road Elementary C.A.R.E. Program","732-873-2400","2½ to 13","100","Somerset","35 Conerly Road",,"08873","Inspection Reports (http://www.nj.gov/dcf/families/childcare/centers/171200277.shtml)"
