Event Date,Start Time,End Time,Type of Event,Title,Description,Location Name,County,Contact,Phone,Email,Directions,Registration,Attachments Link,Location,Counties,Zip Codes
12/25/2017,7:00 am,7:00 pm,,Holiday,Christmas Holiday - LWD closed,,0,,,,,,,"NJ
(40.104655, -74.386686)",489,27724
03/20/2018,9:30 am,4:00 pm,,Jobs for Veterans Conference,"Mandatory Attendance for Managers, DVOP's, and LVER's

(Agenda will be forthcoming)",Labor Building,Mercer,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"One John Fitch Plaza
Auditorium Trenton, NJ",,
03/20/2018,9:30 am,4:00 pm,,Jobs for Veterans,,Department of Labor & Workforce Development,Mercer,Evette Maynor,609-292-2075,Evette.Maynor@dol.nj.gov,,,,"One John Fitch Plaza
Auditorium Trenton, NJ",,
03/26/2018,9:00 am,12:00 pm,,Youth Technical Assistance for Newark/Essex One-Stop Centers,"The WIOA Youth Program Design TA will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth. <br><br><a href=""/labor/wioa/content/calendar/attachments.html"" target=""new"">Attachments</a>",,0,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"NJ
(40.104655, -74.386686)",489,27724
04/01/2018,9:00 am,5:00 pm,webinar,webinar,webinar,desk,all,frank,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/02/2018,9:00 am,5:00 pm,gotomeeting,GoToMeeting,GotoMeeting,Desk,all,Frank,5551234,fk@fk.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"1 john fitch plaza
trenton, nj 1",,
04/03/2018,,,conference call,conference call,conference call,Desk,all,Frank,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/04/2018,,,,Site Visit,Site visit,Sommerville,somerset,Frank,5551234,fk@fk.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"str
c, nj 12345",,
04/05/2018,9:00 am,5:00 pm,,test,test123,test,test,test,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/06/2018,9:00 am,5:00 pm,,test,test2234fsdaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaggggggggggggggggggggggggggggggggg,Desk,all,Frank,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/07/2018,9:00 am,5:00 pm,,test,test123456789,test,all,Frank,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/08/2018,9:00 am,5:00 pm,,test,test,test,all,Frank,5-1234,frank@frank.com,directions (http://www.nj.gov/labor/wioa/),register here (http://www.nj.gov/labor/wioa/),attachments (http://www.nj.gov/labor/wioa/),"street
city, nj 12345",,
04/16/2018,9:30 am,12:00 pm,,One Stop Partners Meeting,"Presentations, brainstorming, discussion",Department of Labor Workforce & Development,Mercer,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"One John Fitch Plaza
Auditorium Trenton, NJ",,
04/17/2018,9:30 am,11:30 am,,Camden County One Stop Partners Meeting,,Camden County One-Stop Career Center,Camden,,,,,,,"2600 Mt Ephraim Avenue
Conf Rm Camden, NJ
(39.912053, -75.099173)",2448,4209
04/19/2018,10:00 am,12:00 pm,,GSETA Monitoring Meeting,,Monmouth County One-Stop Career Center,Monmouth,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"145 Wyckoff Road
Eatontown, NJ
(40.293433, -74.05406)",2491,25550
04/23/2018,9:30 am,12:30 pm,,Mercer WIOA Youth Program Design Technical Assistance,"Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Mercer County One-Stop Career Center,Mercer,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"26 Yard Avenue
Trenton, NJ
(40.219987, -74.754798)",2489,28081
04/30/2018,9:30 am,12:00 pm,,Morris County Youth Program Design Technical Assistance,"Will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Morris County One Stop Career Center,Morris,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"One Medical Drive Morris Plains, NJ",,
05/02/2018,1:30 pm,3:30 pm,,Monmouth County Youth Program Design Technical Assistance,"Will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Monmouth County One-Stop Career Center,Monmouth,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"17 Christopher Way
Eatontown, NJ
(40.277819, -74.038333)",2491,25550
05/02/2018,9:30 am,12:30 pm,,Ocean County Youth Program Design Technical Assistance,"Will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Ocean County One-Stop Career Center,Ocean,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"1959 Route 9 Toms River, NJ
(40.023114, -74.221316)",489,28677
05/07/2018,2:30 pm,4:30 pm,,Office of Juvenile Parole Youth Program Design Technical Assistance,"Will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Office of Juvenile Parole,Passaic,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"100 Hamilton Plaza
Paterson, NJ
(40.915249, -74.169528)",2493,33057
05/07/2018,9:30 am,12:30 pm,,Passaic County Youth Program Design Technical Assistance,"Will cover Eligibility Determination, Documentation and Intake Assessment along with the development of the service strategy for youth.",Passaic County One-Stop Career Center,Passaic,Debbie Cusanno,609-292-7819,Debra.Cusanno@dol.nj.gov,,,,"200 Memorial Drive
Paterson, NJ
(40.91686, -74.168362)",2493,33057
