HYDRANT NO,LOCATION DETAIL,DESCRIPTION,MANUFACTURE NAME,WATER TYPE,MODEL,INSTALLDATE,CHANGE DATE,OWNER,LIFE CYCLE STATUS,JOB NUM,PRESSURE ZONE,FLUSHING ZONE,QUADRANT,WARD,QUALIFIER,ORIENTATION,LOCTNDETAIL,RELTVVERTCPOSTN,ELEVATION,ENABLED,BAND COLOR,PAINT COLOR,LEGACY ID,DISPLAY ID,CALCULATEDX,CALCULATEDY,Coordinates,CLASS,REPORT PROBLEM,UPDATED_DATE,STATUS,DC Wards,Square Ply
H07863,SOUTHERN AVE BET BONINI RD & SOUTHVIEW DR SE - Westside - NEAR 700,"WASA-Hydrant, KENNEDY-K81-A/D GUAR",K012,Potable,K81-A/D GUAR,2007/12/21,2019/09/26,DC Water,Active,,Ana-2nd,A1-13,SE,8,2,Westside,NEAR 700,Normal,,1,BLUE,GREEN,H-000-,H-000-617,-76.99535636571208,38.825936061385015,"(38.825936061385015, -76.99535636571208)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,Out Of Service,1,
H05972,IN FRONT OF 1901 E ST SE - NEC - CORRECTIONAL TREATMENT FACILITIES,"WASA-Hydrant, LORTON-O'BRIEN",L040,Potable,O'BRIEN,1950/07/30,2019/01/23,DC Water,Active,26108,1st,,SE,6,3,NEC,CORRECTIONAL TREATMENT FACILITIES,Normal,,1,,,H-719-,H-719-624,-76.97526257663895,38.88313483962998,"(38.88313483962998, -76.97526257663895)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,Out Of Service,3,603
H09056,INDEPENDENCE AVE BET LENFANTE PROMENADE & 9TH ST SW - Northside,"WASA-Hydrant, KENNEDY-K81-A/D GUAR",K012,Potable,K81-A/D GUAR,2011/06/14,2019/11/29,DC Water,Active,RW-595,Low,L-26,SW,2,2,Northside,NONE,Normal,,1,ORANGE,,H-554-,H-554-642,-77.02508527201184,38.88768733147259,"(38.88768733147259, -77.02508527201184)",Class B - 500-999 gpm,https://dcwater.com/report-problem,2019/12/02,Out Of Service,4,
H00871,MACARTHUR BLVD INT 47TH PL NW - NEC,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,2010/01/27,2019/03/01,DC Water,Active,15289,2nd,2-4,NW,3,1,NEC,NONE,Normal,155.48,1,BLUE,Green,H-066-,H-066-662,-77.09100401441864,38.91269275890936,"(38.91269275890936, -77.09100401441864)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,Out Of Service,7,
H00977,8TH ST BET V ST & BARRY PL NW - Westside,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,2008/09/08,2019/04/08,DC Water,Active,,1st,1-28,NW,1,2,Westside,NONE,Normal,,1,ORANGE,Green,H-165-,H-165-059,-77.02301558489431,38.918749983584775,"(38.918749983584775, -77.02301558489431)",Class B - 500-999 gpm,https://dcwater.com/report-problem,2019/12/02,Out Of Service,5,
H08043,10TH ST BET MARYLAND AVE & FRONTAGE RD SW - Westside - CLOSER TO MARYLAND AVE SW,"WASA-Hydrant, KENNEDY-K81-A/D GUAR",K012,Potable,K81-A/D GUAR,2009/06/09,2019/11/25,DC Water,Active,,Low,L-26,SW,2,2,Westside,CLOSER TO MARYLAND AVE SW,Subterranean,25.15,1,BLUE,White,H-545-,H-545-867,-77.02621546403144,38.88427251044171,"(38.88427251044171, -77.02621546403144)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,Out Of Service,2,
H04002,7TH ST INT JEFFERSON DR SW - NWC,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,2006/10/03,2019/06/05,DC Water,Active,,Low,,SW,2,1,NWC,NONE,Normal,,1,,Green,H-271-,H-271-067,-77.02205533584977,38.88903973999696,"(38.88903973999696, -77.02205533584977)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,Out Of Service,4,
H11372,NONE,"Hydrant, WASA, M076, SUP CENT 250",M076,Potable,SUP CENT 250,2016/07/12,2019/10/21,DC Water,Active,CT538,1st,1-30,NW,2,1,SEC,NONE,,89.99,1,NONE,,,,-77.02175187086297,38.90848093825765,"(38.90848093825765, -77.02175187086297)",No Band,https://dcwater.com/report-problem,2019/12/02,Out Of Service,2,
H08416,1ST TERRACE INT L ST NW - NEC,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,2007/09/24,2019/08/23,DC Water,Active,801-771,Low,L-10,NW,6,1,NEC,NONE,Normal,45.48,1,BLUE,Green,H-951-,H-951-296,-77.01129475768091,38.90385376548763,"(38.90385376548763, -77.01129475768091)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,Out Of Service,2,
H08888,K ST INT 17TH ST NW SWC,"Hydrant, WASA, C078, EDDY",C078,Potable,EDDY,1993/05/15,2018/04/11,DC Water,Active,RA-283,1st,1-12,NW,2,1,SWC,NONE,Normal,,1,,,H-157-,H-157-253,-77.03872478740553,38.9024552920888,"(38.9024552920888, -77.03872478740553)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,Out Of Service,4,
