HYDRANT NO,LOCATION DETAIL,DESCRIPTION,MANUFACTURE NAME,WATER TYPE,MODEL,INSTALLDATE,CHANGE DATE,OWNER,LIFE CYCLE STATUS,JOB NUM,PRESSURE ZONE,FLUSHING ZONE,QUADRANT,WARD,QUALIFIER,ORIENTATION,LOCTNDETAIL,RELTVVERTCPOSTN,ELEVATION,ENABLED,BAND COLOR,PAINT COLOR,LEGACY ID,DISPLAY ID,CALCULATEDX,CALCULATEDY,Coordinates,CLASS,REPORT PROBLEM,UPDATED_DATE,STATUS,DC Wards,Square Ply
H00456,15TH ST INT F ST NW - Westside,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,1904/06/02,2019/11/29,DC Water,Active,FP2431,Low,L-4,NW,2,1,Westside,NONE,Normal,40.41,1,BLUE,,H-200-,H-200-653,-77.0337686332882,38.89758155089713,"(38.89758155089713, -77.0337686332882)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00457,15TH ST INT G ST NW - SWC,"WASA-Hydrant, US PIPE-A P SMITH",U022,Potable,A P SMITH,1904/06/04,2019/11/29,DC Water,Active,FP2439,Low,L-4,NW,2,1,SWC,NONE,Normal,45.83,1,,,H-227-,H-227-171,-77.03377048530984,38.89808457732766,"(38.89808457732766, -77.03377048530984)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00459,9TH ST BET F ST & G ST NW - Eastside,"Hydrant, AP SMITH-O'BRIEN",A070,Potable,O'BRIEN,1904/06/23,2019/11/29,DC Water,Active,,Low,L-5,NW,2,2,Eastside,NONE,Normal,,1,,,H-901-,H-901-886,-77.02386661009072,38.897862784370915,"(38.897862784370915, -77.02386661009072)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00460,10TH ST INT F ST NW - SWC,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,1904/07/05,2019/11/29,DC Water,Active,L12P66,Low,L-5,NW,2,1,SWC,NONE,Normal,35.25,1,BLUE,Green,H-973-,H-973-190,-77.0260705760774,38.897176650778235,"(38.897176650778235, -77.0260705760774)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00463,E ST BET 6TH ST & 7TH ST NW - Northside,"WASA-Hydrant, CLOW-EDDY",C078,Potable,EDDY,1904/07/15,2019/11/29,DC Water,Active,9518,Low,L-5,NW,2,2,Northside,NONE,Normal,45.16,1,,,H-469-,H-469-007,-77.02085989535409,38.89621243321608,"(38.89621243321608, -77.02085989535409)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00469,1ST ST INT K ST NE - NEC,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,1905/03/22,2019/11/29,DC Water,Active,,Low,L-10,NE,6,1,NEC,NONE,Normal,38.07,1,,Green,H-702-,H-702-856,-77.00577632329404,38.90264889604151,"(38.90264889604151, -77.00577632329404)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,2,
H00471,F ST BET 17TH ST & 18TH ST NW - Northside,"WASA-Hydrant, KENNEDY-K81-A/D GUAR",K012,Potable,K81-A/D GUAR,1905/04/24,2019/11/29,DC Water,Active,277,Low,L-3,NW,2,2,Northside,NONE,Normal,54.78,1,BLUE,,H-396-,H-396-726,-77.04064243964686,38.8974134906884,"(38.8974134906884, -77.04064243964686)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00476,12TH ST BET PENNSYLVANIA AVE & E ST NW - Westside,"WASA-Hydrant, CLOW-EDDY",C078,Potable,EDDY,1905/11/03,2019/11/29,DC Water,Active,920-979,Low,L-4,NW,2,2,Westside,NONE,Normal,19.19,1,,,H-112-,H-112-617,-77.02817935736348,38.89571955361237,"(38.89571955361237, -77.02817935736348)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00479,CONNECTICUT AVE BET CHEVY CHASE CIR & OLIVER ST NW - Eastside,"WASA-Hydrant, MUELLER-SUP CENT 250",M076,Potable,SUP CENT 250,1906/01/16,2019/11/29,DC Water,Active,10422,4thReno,4-8,NW,3,2,Eastside,NONE,Normal,306.61,1,BLUE,,H-828-,H-828-838,-77.07671097319368,38.96716719344877,"(38.96716719344877, -77.07671097319368)",Class AA -1500 gpm upwards,https://dcwater.com/report-problem,2019/12/02,ACTIVE,7,
H00483,7TH ST INT E ST NW - NWC,"WASA-Hydrant, US PIPE-A P SMITH",U022,Potable,A P SMITH,1906/04/19,2019/11/29,DC Water,Active,9518,Low,L-5,NW,2,1,NWC,NONE,Normal,42.74,1,,,H-416-,H-416-028,-77.02206302964856,38.89621455435383,"(38.89621455435383, -77.02206302964856)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,4,
H00489,GIRARD ST BET 14TH ST & 15TH ST NW - Northside,"WASA-Hydrant, US PIPE-MET 250 M94",U022,Potable,MET 250 M94,1906/06/30,2019/11/29,DC Water,Active,2859/21,2nd,2-24,NW,1,2,Northside,NONE,Normal,200.97,1,,,H-169-,H-169-725,-77.03357409613511,38.92546836541455,"(38.92546836541455, -77.03357409613511)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,5,
H00490,KILBOURNE PL INT 18TH ST NW - NWC - IFO 1800,"Hydrant, AP SMITH-O'BRIEN",A070,Potable,O'BRIEN,1906/06/30,2019/11/29,DC Water,Active,594,2nd,2-19,NW,1,1,NWC,IFO 1800,Normal,173.31,1,,,H-453-,H-453-581,-77.04145250650629,38.930620654470765,"(38.930620654470765, -77.04145250650629)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,5,
H00493,24TH ST INT EVARTS ST NE - NWC - IFO 2700,"WASA-Hydrant, AM DARLING-B50B",A106,Potable,B50B,1906/07/25,2019/11/29,DC Water,Active,1871,1st,1-47,NE,5,1,NWC,IFO 2700,Normal,86.83,1,,,H-314-,H-314-623,-76.97222953856568,38.92464108736415,"(38.92464108736415, -76.97222953856568)",Missing (NO BAND),https://dcwater.com/report-problem,2019/12/02,ACTIVE,6,
