Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
12/18/2018,Open,,18-03387790,Street Lights - All/Out,7008 S EAST END AVE,60649,1188989.01020213,1858828.4668052,5,3,43,41.76768503396384,-87.58282391280584,"(41.767685033964, -87.582823912806)",32,22538,39,381,33
12/18/2018,Open,,18-03388032,Street Lights - All/Out,7006 W GRACE ST,60634,1128995.71416637,1924459.34298528,38,16,17,41.94901258189393,-87.80123875225084,"(41.949012581894, -87.801238752251)",25,22254,17,444,19
12/18/2018,Open,,18-03387792,Street Lights - All/Out,8100 S PAULINA ST,60620,1166420.07538288,1850988.70430684,21,6,71,41.74668226432492,-87.66577183303308,"(41.746682264325, -87.665771833033)",18,21554,70,574,13
12/18/2018,Open,,18-03387714,Street Lights - All/Out,10600 S SANGAMON ST,60643,1171862.27519936,1834536.41667515,34,22,73,41.70141724543087,-87.6463113986227,"(41.701417245431, -87.646311398623)",45,22212,72,595,22
12/18/2018,Open,,18-03387982,Street Lights - All/Out,3200 N AUSTIN AVE,60634,1135828.07112165,1920652.89532124,30,16,17,41.93844814726421,-87.7762146293351,"(41.938448147264, -87.776214629335)",25,22254,15,342,21
12/18/2018,Open,,18-03388097,Street Lights - All/Out,8605 S BISHOP ST,60620,1168167.73418968,1847683.21189484,21,6,71,41.737574139451404,-87.65946281671356,"(41.737574139451, -87.659462816714)",18,21554,70,531,13
12/18/2018,Open,,18-03387701,Street Lights - All/Out,6345 S KARLOV AVE,60629,1150129.1783,1862154.133075,13,8,65,41.7776533894735,-87.72517710880255,"(41.777653389474, -87.725177108803)",23,21867,63,6,15
12/18/2018,Open,,18-03387910,Street Lights - All/Out,2100 S LAWNDALE AVE,60623,1152027.68448827,1889801.90818927,24,10,29,41.85348564872331,-87.71749067529254,"(41.853485648723, -87.717490675293)",36,21569,30,157,14
12/18/2018,Open,,18-03387713,Street Lights - All/Out,3150 S WESTERN BLVD,60608,1160930.29666675,1883331.50628261,25,9,59,41.835550316939724,-87.68499410896908,"(41.83555031694, -87.684994108969)",29,14920,56,204,26
12/18/2018,Open,,18-03387651,Street Lights - All/Out,5500 N MONITOR AVE,60630,1136212.07617478,1936200.83562452,45,16,11,41.981106345008236,-87.77443059621494,"(41.981106345008, -87.774430596215)",20,21869,11,693,50
