"program_id","program_name","description","org_name","category_name","capacity","min_age","max_age","address","city","state","zip_code","program_type","program_url","online_address","registration_url","registration_open","registration_deadline","start_date_and_time","end_date_and_time","start_time","end_time","contact_name","contact_email","contact_phone","program_price","geographic_cluster_name","scholarship_available","participants_paid","transport_provided","has_free_food","meeting_type","image","hidden_programs","featured","tag","latitude","longitude","location"
"94245","OneGoal Summer Hub CHI","<p><strong></strong><strong>Graduation is not the end. It’s the beginning.</strong></p><p>Welcome to OneGoal Summer Hub, a <strong>free</strong> resource designed to connect <strong>all </strong>Chicago 2022 graduates to information, resources, and relationships that will help you prepare for your next big step!</p>","OneGoal","Academic Support",,"16","65",,,,,"workshop","https://summerhub.org",,"https://summerhub.org",,,"2021-05-01T00:00:00.000","2023-09-30T00:00:00.000","15:00","17:00",,,,"Free",,"false","Not Paid","false","false","online","https://cityoflearning-uploads.s3.amazonaws.com/2/ScheduledProgram/2-ScheduledProgram-94245-35110.png","false","false","Resource",,,
"98618","Chicago PrE-Learning","<p>Chicago PrE-Learning is an online education platform for early learners (from birth to age 5) to easily continue their education outside of the classroom and from the comfort of their home. PrE-Learning provides children with a safe and simple way to adjust to remote learning without missing a beat. There are plenty of activities for early learners of all levels to enjoy. Use Chicago PrE-Learning to learn new fun activities, access e-learning tools, and resources and get the support you need to guide your children through remote learning.</p>","Chicago Early Learning","Academic Support",,"2","5",,,,,"workshop","https://www.chicagoprelearning.org",,"https://www.chicagoprelearning.org",,,"2021-06-01T00:00:00.000","2023-06-01T00:00:00.000",,,,,,"Free",,"false","Not Paid","false","false","online","https://cdn.filestackcontent.com/WgCRILbwR8m2nDC73ZNo","false","false","Resource",,,
"94488","High School Virtual Info Session","<p>We are hosting a virtual information session to provide families the opportunity to meet a few members of staff at the school, receive information, and engage in a Q&A session. </p>","Chicago Collegiate","Academic Support",,"13","18",,,,,"workshop",,"https://zoom.us/j/8342583842?pwd=MmIvZXY5TFFsdzdGa1FhbWRkYlE0dz09",,,,"2021-07-06T00:00:00.000","2021-07-06T00:00:00.000","15:30","16:30",,,,"Free",,"false","Not Paid","false",,"online","https://cdn.filestackcontent.com/p0dzFlF6SvzLS9NzHeIT","false","false","Event",,,
"121806","English Conversation with Chicago Lawn","The more we practice, the more we learn a new language.  Join Chicago Lawn Branch&nbsp;as we converse and practice our English skills.  All English levels are accepted, no books required.&nbsp;How to AttendThis event takes place on Zoom. Register at least 24 hours before the event if you'd like to participate. YouÕll receive an email with a link to the secure Zoom meeting about 24 hours before the event. By registering for this event you agree to abide by the Library Use Guidelines.This event uses a third-party website and may be hosted by an organization CPL has partnered with. We recommend you review the privacy policies of any third-party sites before providing them with any personal data. For more information, please see our Website Privacy Statement.Questions about attending online events? Check out our Events FAQs.Accessibility:Automatic transcription is included in all CPL events using Zoom. Need live captioning for this event? Please call (312) 747-4072 or email access@chipublib.org. Requests for live captioning must be made at least 14 business days before the event.Entre ms practicamos ms aprendemos sobre un lenguaje. Acompae a la biblioteca Chicago Lawn en conversaciones donde podremos usar y practicar nuestras habilidades de ingls.&nbsp;Todos los niveles de ingls son bienvenidos.Como participar:Este evento se tomara va Zoom. Regstrese por lo menos 24 horas del evento para participar. Solo una registracin por familia es necesaria. Va a recibir un correo electrnico con un enlace sobre la informacin de Zoom unas horas antes de que el evento empiece. Al registrarse a este evento, usted acepta seguir los Trminos de uso de la biblioteca.ÀTiene preguntas sobre como participar en programas virtuales? Visite nuestra pagina de Preguntas y Respuestas.Este evento usa sitios web de terceros o por organizaciones en colaboracin con CPL. Recomendamos que revise las plizas de privacidad de esta pgina web perteneciente a terceros antes de proveer su informacin personal. Para ms informacin visite nuestra pgina de Declaracin de Privacidad.AccesibilidadAccesibilidad de transcripcin automtico est incluido en todos los eventos de CPL usando Zoom.  Necesita subtitulado en vivo para el evento. Por favor llame al (312) 747-4072 o mande un correo electrnico a: access@chicago.org.  Las solicitudes para subtitulados en vivo se deben hacer por lo menos 14 das laborales antes del evento.","Chicago Public Library","Academic Support",,"18","99",,,,,"workshop","https://chipublib.bibliocommons.com/events/62508df19c24262800291d01",,,,,"2022-05-24T00:00:00.000","2022-05-24T00:00:00.000",,,"Esmeralda","chicagolawn@chipublib.org","(312) 747-0639","Free",,"false","Not Paid","false","false","online",,"false","false","Event",,,
"94522","Online Middle School Arts & Technology Classes","<p>Design 3D models, improve your drawing and create digital masterpieces with CHICAT's no-cost remote summer programs!</p>","Chicago Center for Arts & Technology","Academic Support",,"11","15",,,,,"workshop","https://form.jotform.com/211087785300049",,"https://form.jotform.com/211087785300049",,,"2021-07-06T00:00:00.000","2021-08-13T00:00:00.000",,,,"youthprograms@chicat.org",,"Free",,"false","Not Paid","false","false","online","https://cdn.filestackcontent.com/y9aXXQjcQ020qyTcoCqM","false","false","Program",,,
"121017","CPS Safe Haven Free Out of School Enrichment Sites Spring Break","<p><em>For over 10 years, the Safe Haven Program has kept CPS kids safe, healthy, and active during spring and summer breaks as well as after school. The program incorporates social-emotional learning, academic assistance, and fun. Additionally, students get healthy meals and snacks at no cost to their families.</em></p><p>Please See The List of Open Safe Haven Sites Below</p><ul><li>Abiding In Christ Prayer and Worship Ministries - 175 N Lavergne, Chicago IL 60644</li><li>Allen Metropolitan CME Church – 10946 S. Lowe Ave, Chicago, IL 60628</li><li>Alliance For Community Peace – 7740 S. Eberhart Ave, Chicago, IL</li><li>Breakthrough Urban Ministries – 402 N St. Louis Ave, Chicago, IL 60624</li><li>Catholic Bishop of Chicago – St. Sabina – 7800 S. Racine, Chicago, IL 60620</li><li>Chance After Chance Ministries – 305-09 North Cicero Ave, Chicago IL, 60644</li><li>Concord Missionary Baptist Church – 6319 S. Kimbark, Chicago, IL 60637</li><li>Corinthian Temple C.O.G.I.C – 4540 W. Washington Blvd., Chicago, IL 60624</li><li>Family Centered Educational Agency – 6600 S. Hermitage Ave, Chicago, IL 60636</li><li>Family Empowerment Centers – 1533 W. Devon Ave, Chicago, IL 60660</li><li>Grant Memorial AME Church – 4017 S. Drexel Blvd. Chicago, IL 60653</li><li>Greater St. John Bible Church – 1256 N. Waller, Chicago, Il 60651</li><li>Heirs of The Promise Ministries – 4821 W. Chicago Ave, Chicago, IL 60651</li><li>Hope Community Advent Christian Church – 5900 W. Iowa St, Chicago, IL 60651</li><li>Home of Life Community Development Corp. – 4650 W. Madison St., Chicago, IL 6064</li><li>I.C.A.R.E Ministries Out of School Time Program – 4950 W. Thomas St. Chicago, IL 60651</li><li><span></span>Jesus Word Center Church – 4224 W. 13th St., Chicago, IL 60623</li><li><span></span>Judah International Outreach Ministries – 939-41 N. Pulaski Rd., Chicago, IL 60651</li><li><span></span>Life Changing Community – 5900W. North Ave, Chicago, IL 60639</li><li><span></span>People’s Church of God In Christ – 3570 W. 5th Ave, Chicago, IL 60624</li><li><span></span>Rehoboth Apostolic Worship Center – 9130-40 S. Vincennes Ave, Chicago, IL 60620</li><li><span></span>Stone Community Development Corporation NFP – 4938 W. Chicago Ave, Chicago, IL 60651</li><li><span></span>Storehouse Ministries – 5701 W. Montrose, Chicago IL, 60634</li><li><span></span>Sunrise Baptist Church – 1101 S. Central Park Ave, Chicago IL, 60624</li><li><span></span>Worship Warming Center – 1910 S. Kedzie, Chicago, IL 60623</li></ul>","Chicago Public Schools (CPS)","Customer/Human Service",,"2","9",,,,,"workshop","https://drive.google.com/file/d/1HlRnwtyH1FuFPdoL-24-uOxcinH6-RvR/view?usp=sharing",,"https://drive.google.com/file/d/1HlRnwtyH1FuFPdoL-24-uOxcinH6-RvR/view?usp=sharing",,,"2022-04-11T00:00:00.000","2022-04-15T00:00:00.000","10:00","14:00",,,,"Free",,"false","Not Paid","false","true","online","https://cityoflearning-uploads.s3.amazonaws.com/2/ScheduledProgram/2-ScheduledProgram-121017-33566.png","false","false","Event",,,
"86665","True Star Media: Teens Talk Mental Health","<p>In honor of Mental Health Awareness Month, True Star hosted a teen mental health discussion.</p>","True Star Foundation | True Star Media","Digital Media.",,"10","65",,,,,"workshop",,"https://www.youtube.com/watch?v=JZvTrC-kD3o&feature=youtu.be",,,,"2020-10-08T00:00:00.000","2021-12-31T00:00:00.000",,,,,,"Free",,"false","Not Paid","false","false","online","https://cdn.filestackcontent.com/Ih4fecMfQoynHClCXxWe","false","false","Resource",,,
"86663","True Stars Teen Hall","<p>Teens discuss police brutality on Zoom.</p>","True Star Foundation | True Star Media","Digital Media.",,"12","65",,,,,"workshop",,"https://www.youtube.com/watch?v=amzd6XpjE2s&feature=youtu.be",,,,"2020-06-09T00:00:00.000","2021-12-31T00:00:00.000",,,,,,"Free",,"false","Not Paid","false","false","online","https://cdn.filestackcontent.com/OlEMhBg9SzG4w0SLTWM0","false","false","Resource",,,
"86655","At Home With NMMA","<p>While the NMMA is temporarily closed, our staff is finding creative ways to stay busy and keep their families entertained. Our community, the families and individuals that typically fill our colorful galleries, are important to us and we are pleased to share some of our favorite activities with you during this time. Find lesson plans, coloring pages, and more!</p>","National Museum of Mexican Art | Yollocalli Arts Reach","Digital Media.",,"4","65",,,,,"workshop",,"https://nationalmuseumofmexicanart.org/content/home-nmma",,,,"2020-12-01T00:00:00.000","2023-12-31T00:00:00.000",,,,,,"Free",,"false","Not Paid","false","false","online","https://cdn.filestackcontent.com/DxiEVVsuRgyy7yBg1DpL","false","false","Resource",,,
"79271","GCYC Media & Technology 2020-21","<p>Media & Technology programs from the Gary Comer Youth Center</p>","Gary Comer Youth Center","Digital Media.",,"10","18",,,,,"workshop","https://www.comereducationcampus.org/programs/media-technology","https://www.comereducationcampus.org/","https://www.comereducationcampus.org/join",,,"2020-09-22T00:00:00.000","2021-06-04T00:00:00.000",,,"Alex Guzinski","aguzinski@gcychome.org",,"$50 or Less",,"false","Not Paid","false",,"online","https://cdn.filestackcontent.com/neyUa3ImTOamspExCFGw","false","false","Program",,,
