"ward","alderman","address","city","state","zipcode","ward_phone","ward_fax","email","website","location","city_hall_address","city_hall_city","city_hall_state","city_hall_zipcode","city_hall_phone"
"1","La Spata, Daniel","1958 North Milwaukee Avenue","Chicago","IL","60647","(872) 206-2685","(312) 448-8829","info@the1stward.com","https://www.the1stward.com/","(41.917215, -87.68799)","121 North LaSalle Street, Room 200, Office 13","Chicago","IL","60602","(312) 744-3063"
"2","Hopkins, Brian","1400 North Ashland Avenue","Chicago","IL","60622","(312) 643-2299","(773) 270-4688","Ward02@cityofchicago.org","https://www.aldermanhopkins.com/","(41.907081, -87.667668)","121 North LaSalle Street, Room 200, Office 8","Chicago","IL","60602","(312) 744-6836"
"3","Dowell, Pat","5046 South State Street","Chicago","IL","60609","(773) 373-9273","(773) 373-6852","Ward03@cityofchicago.org","http://www.ward03chicago.com","(41.802977, -87.625955)","121 North LaSalle Street, Room 200, Office 3","Chicago","IL","60602","(312) 744-8734 / 6712"
"4","King, Sophia D.","435 East 35th Street","Chicago","IL","60616","(773) 536-8103","773-536-7296","Ward04@cityofchicago.org","http://www.aldsophiaking.com","(41.831135, -87.61541)","121 North LaSalle Street, Room 300, Office 29","Chicago","IL","60602","(312) 744-2690"
"5","Hairston, Leslie A.","2325 East 71st Street","Chicago","IL","60649","(773) 324-5555","(773) 324-1585","Ward05@cityofchicago.org","http://leslieahairston.com/","(41.766147, -87.567641)","121 North LaSalle Street, Room 300, Office 26","Chicago","IL","60602","(312) 744-6832 / 3195"
"6","Sawyer, Roderick T.","700 East 79th Street","Chicago","IL","60619","(773) 635-0006","(773) 891-5679","Ward06@cityofchicago.org","http://www.6ward.com","(41.75124, -87.607315)","121 North LaSalle Street, Room 300","Chicago","IL","60602","(312) 744-6868"
"7","Mitchell, Gregory I.","2249 East 95th Street","Chicago","IL","60617","(773) 731-7777","(877) 961-4426","Alderman@gregmitchell7thward.org","http://www.gregmitchell7thward.org/","(41.722546, -87.568167)","121 North LaSalle Street, Room 300, ffice 37","Chicago","IL","60602","(312) 744-6833"
"8","Harris, Michelle A.","8539 South Cottage Grove Avenue","Chicago","IL","60619","(773) 874-3300","(773) 224-2425","Ward08@cityofchicago.org","http://www.Aldermanmichelleharris.net","(41.739599, -87.604836)","121 Noth LaSalle Street, Room 200, Office 4","Chicago","IL","60602","(312) 744-3075 / 6825"
"9","Beale, Anthony","34 East 112th Place","Chicago","IL","60628","(773) 785-1100","(773) 785-2900","Ward09@cityofchicago.org","http://www.Ward09.com","(41.689882, -87.621591)","121 North LaSalle Street, Room 200, Office 5","Chicago","IL","60602","(312) 744-6838 / 3061"
"10","Sadlowski Garza, Susan","10500 South Ewing Avenue, 1st Floor","Chicago","IL","60617","(773) 768-8138","(773) 368-8176","Ward10@cityofchicago.org","https://www.aldssg.com/","(41.704464, -87.535294)","121 North LaSalle Street, Suite 300, Office 22","Chicago","IL","60602","(312) 744-3078"
"11","Lee, Nicole T.","3659 South Halsted Street","Chicago","IL","60609","(773) 254-6677",,"ward11@cityofchicago.org","https://www.ward11.org/","(41.827492, -87.646028)","121 North LaSalle Street,","Chicago","IL","60602",
"12","Cardenas, George A.","3476 South Archer Avenue","Chicago","IL","60608","(773) 523-8250","(773) 523-8440","Ward12@cityofchicago.org","http://www.12thwardchicago.com/","(41.830824, -87.67714)","121 North LaSalle Street, Room 300, Office 28","Chicago","IL","60602","(312) 744-3068 / 4025"
"13","Quinn, Marty","6500 South Pulaski Road","Chicago","IL","60629","(773) 581-8000","(773) 581-9414","Ward13@cityofchicago.org","http://www.madigan-quinn.com/","(41.774549, -87.722735)","121 North LaSalle Street, Room 300, Office 43","Chicago","IL","60602","(312) 744-3058 / 3076"
"14","Burke, Edward M.","2650 West 51st Street","Chicago","IL","60632","(773) 471-1414","(773) 471-1648","Ward14@cityofchicago.org",,"(41.801073, -87.691151)","121 North LaSalle Street, Room 300, Office 25","Chicago","IL","60602","(312) 744-6580 / 6511"
"15","Lopez, Raymond A.","6412 South Ashland Avenue","Chicago","IL","60636","(773) 823-1539","(773) 424-8720","Ward15@cityofchicago.org","http://www.the15thward.org","(41.777028, -87.664246)","121 North LaSalle Street, Room 300, Office 42","Chicago","IL","60602","(312) 744-4321"
"16","Coleman, Stephanie D.","5411 South Ashland Avenue","Chicago","IL","60609","(773) 306-1981",,"Ward16@cityofchicago.org","https://www.16thward.org","(41.795321, -87.664521)","121 North LaSalle Street, Room 300, Office 39","Chicago","IL","60602","(312) 744-6850"
"17","Moore, David H.","1344 West 79th Street","Chicago","IL","60636","(773) 783-3672","(773) 783-3878","David.Moore@cityofchicago.org","http://www.David.Moore@cityofchicago.org","(41.75044, -87.657221)","121 North LaSalle Street, Room 300, Office 37","Chicago","IL","60602","(312) 744-3435"
"18","Curtis, Derrick G.","8359 South Pulaski Road","Chicago","IL","60652","(773) 284-5057","(773) 284-5956","Ward18@cityofchicago.org",,"(41.740812, -87.72154)","121 North LaSalle Street, Room 300, Office 35","Chicago","IL","60602","(312) 744-6856"
"19","O'Shea, Matthew J.","10400 South Western Avenue","Chicago","IL","60643","(773) 238-8766","(773) 672-5133","Ward19@cityofchicago.org","http://the19thward.com/","(41.70449, -87.681569)","121 North LaSalle Street, Room 200, Office 15","Chicago","IL","60602","(312) 744-3072 / 5682"
"20","Taylor, Jeanette B.","5707 South Wentworth Avenue","Chicago","IL","60621","(773) 966-5336",,"Jeanette.Taylor@cityofchicago.org",,"(41.7905, -87.630388)","121 North LaSalle Street, Room 300, Office 40","Chicago","IL","60602","(312) 744-6840"
"21","Brookins, Jr., Howard","9011 South Ashland Avenue, Unit B","Chicago","IL","60620","(773) 881-9300","(773) 881-2152","Ward21@cityofchicago.org","http://www.21Chicago.com","(41.729853, -87.662844)","121 North LaSalle Street, Room 305","Chicago","IL","60602","(312) 744-4810 / 4811"
"22","Rodriguez, Michael D.","2500 South St. Louis Avenue","Chicago","IL","60623","(773) 762-1771","(773) 762-1825","Ward22@cityofchicago.org",,"(41.845964, -87.712378)","121 North LaSalle Street, Room 300, Office 30","Chicago","IL","60602",
"23","Tabares, Silvana","6247 South Archer Avenue","Chicago","IL","60638","(773) 582-4444","(773) 582-3332","Ward23@cityofchicago.org",,"(41.793505, -87.776463)","121 North LaSalle Street, Room 200, Office 14","Chicago","IL","60602","(312) 744-6828 / 5683"
"24","Scott, Jr. Michael","1158 South Keeler Street","Chicago","IL","60624","(773) 533-2400","(773) 722-2400","Ward24@cityofchicago.org","http://www.aldermanscott.com","(41.866172, -87.730032)","121 North LaSalle Street, Suite 300, Office 0","Chicago","IL","60602","312-744-6839 / 6849"
"25","Sigcho-Lopez, Byron","1508 West 18th Street","Chicago","IL","60608","(773) 523-4100",,"Ward25@cityofchicago.org","https://www.25thward.org","(41.857842, -87.664257)","121 North LaSalle Street, Room 200, Office 11","Chicago","IL","60602","(312) 744-0209 / 1997"
"26","Maldonado, Roberto","2511 West Division Street","Chicago","IL","60622","(773) 395-0143","(773) 395-0146","Ward26@cityofchicago.org","http://robertomaldonado.com","(41.903011, -87.69)","121 North LaSalle Street, Room 300, Office 27","Chicago","IL","60602","(312) 744-9491 / 9492"
"27","Burnett, Jr., Walter","4 North Western Avenue","Chicago","IL","60612","(312) 432-1995","(312) 432-1049","Ward27@cityofchicago.org","http://aldermanburnett.com/","(41.881257, -87.686515)","121 North LaSalle Street, Room 300, Office 38","Chicago","IL","60602","(312) 744-6124 / 6125"
"28","Ervin, Jason C.","2622 West Jackson Boulevard, Suite 200A","Chicago","IL","60612","(773) 533-0900","(773) 522-9842","Ward28@cityofchicago.org","http://www.AldermanErvin.com/","(41.877516, -87.691743)","121 North LaSalle Street, Room 200, Office 18","Chicago","IL","60602","(312) 744-3066"
"29","Taliaferro, Chris","6272 West North Avenue","Chicago","IL","60639","(773) 417-3302","(773) 237-6418","Ward29@cityofchicago.org","http://www.aldtaliaferro.com","(41.909239, -87.782838)","121 North LaSalle Street, Room 200, Office 33","Chicago","IL","60602","(312) 744-8805"
"30","Reboyras, Ariel","3559 North Milwaukee Avenue","Chicago","IL","60641","(773) 794-3095","(773) 794-8576","Ward30@cityofchicago.org","https://www.30thwardchicago.com/","(41.945277, -87.733966)","121 North LaSalle Street, Room 200, Office 17","Chicago","IL","60602","(312) 744-3304 / 3305"
"31","Cardona, Jr., Felix","4606 West Diversey Avenue","Chicago","IL","60639","(773) 824-2000","(773) 826-2006","Ward31@cityofchicago.org","https://www.felix31.org","(41.93162, -87.74204)","121 North LaSalle Street, Room 200, Office 19","Chicago","IL","60602","(312) 744-6102"
"32","Waguespack, Scott","2657 North Clybourn Avenue","Chicago","IL","60614","(773) 248-1330","(773) 248-1360","Ward32@cityofchicago.org","http://www.ward32.org","(41.929891, -87.67533)","121 North LaSalle Street, Room 302","Chicago","IL","60602","(312) 744-3380 / 6567"
