Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location
2020-2021,1,41.880558,-87.7405,4624 W Madison St,,Chicago,IL,60644,United States of America,West Side Learning Center,,,,09/28/2020,09/28/2020,10:00:00,14:00:00,09/28/2020 10:00:00 AM,09/28/2020 02:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_1,"(41.880558, -87.7405)"
2020-2021,2,41.880558,-87.7405,4624 W Madison St,,Chicago,IL,60644,United States of America,West Side Learning Center,,,,09/29/2020,09/29/2020,10:00:00,14:00:00,09/29/2020 10:00:00 AM,09/29/2020 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_2,"(41.880558, -87.7405)"
2020-2021,3,41.75633,-87.72222,7500 S Pulaski Rd,,Chicago,IL,60652,United States of America,Richard J. Daley College,,,,09/30/2020,09/30/2020,12:00:00,18:00:00,09/30/2020 12:00:00 PM,09/30/2020 06:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_3,"(41.75633, -87.72222)"
2020-2021,4,41.95843,-87.78677,4300 N Narragansett Ave,,Chicago,IL,60634,United States of America,Wilbur Wright College,,,,09/30/2020,09/30/2020,12:00:00,18:00:00,09/30/2020 12:00:00 PM,09/30/2020 06:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_4,"(41.95843, -87.78677)"
2020-2021,5,41.75633,-87.72222,7500 S Pulaski Rd,,Chicago,IL,60652,United States of America,Richard J. Daley College,,,,10/01/2020,10/01/2020,12:00:00,18:00:00,10/01/2020 12:00:00 PM,10/01/2020 06:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_5,"(41.75633, -87.72222)"
2020-2021,6,41.95843,-87.78677,4300 N Narragansett Ave,,Chicago,IL,60634,United States of America,Wilbur Wright College,,,,10/01/2020,10/01/2020,12:00:00,18:00:00,10/01/2020 12:00:00 PM,10/01/2020 06:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_6,"(41.95843, -87.78677)"
2020-2021,7,41.75633,-87.72222,7500 S Pulaski Rd,,Chicago,IL,60652,United States of America,Richard J. Daley College,,,,10/03/2020,10/03/2020,9:00:00,15:00:00,10/03/2020 09:00:00 AM,10/03/2020 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_7,"(41.75633, -87.72222)"
2020-2021,8,41.880558,-87.7405,4624 W Madison St,,Chicago,IL,60644,United States of America,West Side Learning Center,,,,10/03/2020,10/03/2020,10:00:00,14:00:00,10/03/2020 10:00:00 AM,10/03/2020 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_8,"(41.880558, -87.7405)"
2020-2021,9,41.95843,-87.78677,4300 N Narragansett Ave,,Chicago,IL,60634,United States of America,Wilbur Wright College,,,,10/03/2020,10/03/2020,9:00:00,15:00:00,10/03/2020 09:00:00 AM,10/03/2020 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_9,"(41.95843, -87.78677)"
2020-2021,10,41.857143,-87.67109,1824 S Wood St,,Chicago,IL,60608,United States of America,Harrison Park,,,,10/05/2020,10/05/2020,10:00:00,14:00:00,10/05/2020 10:00:00 AM,10/05/2020 02:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_10,"(41.857143, -87.67109)"
2020-2021,11,41.726795,-87.6552,1246 W 92nd St,,Chicago,IL,60620,United States of America,Brainerd Park,,,,10/06/2020,10/06/2020,10:00:00,14:00:00,10/06/2020 10:00:00 AM,10/06/2020 02:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_11,"(41.726795, -87.6552)"
2020-2021,12,41.841034,-87.68529,2800 S Western Ave,,Chicago,IL,60608,United States of America,Arturo Velazquez Institute,,,,10/07/2020,10/07/2020,12:00:00,18:00:00,10/07/2020 12:00:00 PM,10/07/2020 06:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_12,"(41.841034, -87.68529)"
2020-2021,13,41.71317,-87.59236,10001 S Woodlawn Ave,,Chicago,IL,60628,United States of America,Olive-Harvey College (Drive-thru),,,,10/07/2020,10/07/2020,12:00:00,18:00:00,10/07/2020 12:00:00 PM,10/07/2020 06:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_13,"(41.71317, -87.59236)"
2020-2021,14,41.841034,-87.68529,2800 S Western Ave,,Chicago,IL,60608,United States of America,Arturo Velazquez Institute,,,,10/08/2020,10/08/2020,12:00:00,18:00:00,10/08/2020 12:00:00 PM,10/08/2020 06:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_14,"(41.841034, -87.68529)"
2020-2021,15,41.71317,-87.59236,10001 S Woodlawn Ave,,Chicago,IL,60628,United States of America,Olive-Harvey College (Drive-thru),,,,10/08/2020,10/08/2020,12:00:00,18:00:00,10/08/2020 12:00:00 PM,10/08/2020 06:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",,2020-2021_15,"(41.71317, -87.59236)"
