"name_","hours_of_operation","address","city","state","zip","phone","website","location"
"Albany Park","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5","3401 W. Foster Ave.","Chicago","IL","60625","(773) 539-5450","https://www.chipublib.org/locations/3/","
,  
(41.97557881655979, -87.71361314512697)"
"Altgeld","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5","955 E. 131st Street","Chicago","IL","60827","(312) 747-3270","https://www.chipublib.org/locations/4/","
,  
(41.65719847558056, -87.59883829075173)"
"Archer Heights","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5","5055 S. Archer Ave.","Chicago","IL","60632","(312) 747-9241","https://www.chipublib.org/locations/5/","
,  
(41.80110836194246, -87.72648385568911)"
"Austin","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5, Sun., 1-5","5615 W. Race Ave.","Chicago","IL","60644","(312) 746-5038","https://www.chipublib.org/locations/6/","
,  
(41.88917312206642, -87.7658203582574)"
"Austin-Irving","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5","6100 W. Irving Park Rd.","Chicago","IL","60634","(312) 744-6222","https://www.chipublib.org/locations/7/","
,  
(41.95312267684315, -87.77928489355646)"
"Avalon","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5","8148 S. Stony Island Ave.","Chicago","IL","60617","(312) 747-5234","https://www.chipublib.org/locations/8/","
,  
(41.746393038286826, -87.5860053710736)"
"Back of the Yards","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5","2111 W. 47th St.","Chicago","IL","60609","(312) 747-9595","https://www.chipublib.org/locations/9/","
,  
(41.808384423666354, -87.67756963874196)"
"Beverly","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5","1962 W. 95th St.","Chicago","IL","60643","(312) 747-9673","https://www.chipublib.org/locations/10/","
,  
(41.72118978926962, -87.67214620967468)"
"Bezazian","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., Closed","1226 W. Ainslie St.","Chicago","IL","60640","(312) 744-0019","https://www.chipublib.org/locations/11/","
,  
(41.97155143669217, -87.66095347964183)"
"Blackstone","Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., Closed","4904 S. Lake Park Ave.","Chicago","IL","60615","(312) 747-0511","https://www.chipublib.org/locations/12/","
,  
(41.80549277198318, -87.58923748614112)"
