"season","facility_id","latitude","longitude","street1","street2","city","state","postal_code","country","facility_name","url","phone","contact","begin_date","end_date","begin_time","end_time","begin_datetime","end_datetime","recurrence_days","hours","eligibility","cost","notes","record_id","location"
"2021-2022","1","41.75301","-87.59949","1021 E. 78th St.",,"Chicago","IL","60619","United States of America","New Life Covenant Church",,,,"2021-09-26T00:00:00.000","2021-09-26T00:00:00.000","8:30:00","15:00:00","2021-09-26T08:30:00.000","2021-09-26T15:00:00.000","Sunday",,,"No cost to individual. If insured, insurance will be billed.","COVID-19 and Flu vaccine available.","2021-2022_1","(41.75301, -87.59949)"
"2021-2022","2","41.93004","-87.67514","2657 N. Clybourn Ave.",,"Chicago","IL","60614","United States of America","32nd Ward Aldermanic Office",,,,"2021-09-29T00:00:00.000","2021-09-29T00:00:00.000","11:00:00","15:00:00","2021-09-29T11:00:00.000","2021-09-29T15:00:00.000","Wednesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/32ndwardflu","2021-2022_2","(41.93004, -87.67514)"
"2021-2022","3","41.97322","-87.72916","5020 N. Pulaski Rd.",,"Chicago","IL","60630","United States of America","Mayfair Salvation Army",,,,"2021-09-29T00:00:00.000","2021-09-29T00:00:00.000","10:00:00","14:00:00","2021-09-29T10:00:00.000","2021-09-29T14:00:00.000","Wednesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/39thwardflu","2021-2022_3","(41.97322, -87.72916)"
"2021-2022","4","41.83634","-87.73079","4247 W. 31st St.",,"Chicago","IL","60623","United States of America","Piotrowski Park",,,,"2021-09-30T00:00:00.000","2021-09-30T00:00:00.000","11:00:00","15:00:00","2021-09-30T11:00:00.000","2021-09-30T15:00:00.000","Thursday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/22ndwardflu","2021-2022_4","(41.83634, -87.73079)"
"2021-2022","5","41.94420","-87.73970","3501 N. Kilbourn Ave.",,"Chicago","IL","60641","United States of America","Kilbourn Park",,,,"2021-10-02T00:00:00.000","2021-10-02T00:00:00.000","9:00:00","13:00:00","2021-10-02T09:00:00.000","2021-10-02T13:00:00.000","Saturday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/30thwardflu","2021-2022_5","(41.9442, -87.7397)"
"2021-2022","6","41.72990","-87.66240","9011 S. Ashland Ave.",,"Chicago","IL","60620","United States of America","21st Ward Aldermanic Office",,,,"2021-10-04T00:00:00.000","2021-10-04T00:00:00.000","9:00:00","13:00:00","2021-10-04T09:00:00.000","2021-10-04T13:00:00.000","Monday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/21stwardflucovid","2021-2022_6","(41.7299, -87.6624)"
"2021-2022","7","41.90710","-87.66790","1402 N. Ashland Ave.",,"Chicago","IL","60622","United States of America","2nd Ward Aldermanic Office",,,,"2021-10-05T00:00:00.000","2021-10-05T00:00:00.000","11:00:00","15:00:00","2021-10-05T11:00:00.000","2021-10-05T15:00:00.000","Tuesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/2ndwardflu","2021-2022_7","(41.9071, -87.6679)"
"2021-2022","8","41.77456","-87.72862","4233 W. 65th St.",,"Chicago","IL","60629","United States of America","West Lawn Park",,,,"2021-10-05T00:00:00.000","2021-10-05T00:00:00.000","10:00:00","2:00:00","2021-10-05T10:00:00.000","2021-10-05T02:00:00.000","Tuesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/13thwardflu","2021-2022_8","(41.77456, -87.72862)"
"2021-2022","9","41.87770","-87.69220","2622 W. Jackson Blvd.",,"Chicago","IL","60608","United States of America","28th Ward Aldermanic Office",,,,"2021-10-05T00:00:00.000","2021-10-05T00:00:00.000","11:00:00","15:00:00","2021-10-05T11:00:00.000","2021-10-05T15:00:00.000","Tuesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/28thwardflu","2021-2022_9","(41.8777, -87.6922)"
"2021-2022","10","41.91690","-87.68790","1958 N. Milwaukee Ave.",,"Chicago","IL","60647","United States of America","1st Ward Aldermanic Office",,,,"2021-10-06T00:00:00.000","2021-10-06T00:00:00.000","11:00:00","15:00:00","2021-10-06T11:00:00.000","2021-10-06T15:00:00.000","Wednesday",,,"COVID-19 and Flu vaccine available. No cost to individual. If insured, insurance will be billed.","https://tinyurl.com/1stwardflu","2021-2022_10","(41.9169, -87.6879)"
