"id","node_sensor_number","name","north_south_street","east_west_street","intersection_details","location_type","category","notes","status","latitude","longitude","location"
"103","06E","UChicago, Logan Center","UChicago","Logan Center",,,"Array of Things (?)",,"Live","41.785658","-87.603904",
"105","890","UChicago, Regenstein","UChicago","Regenstein",,,"Array of Things (?)",,"Live","41.792212","-87.599573","(41.792212, -87.599573)"
"102","08B","UChicago, Levi Hall","UChicago","Levi Hall",,,"Array of Things (?)",,"Live","41.789576","-87.600932","(41.789576, -87.600932)"
"57","56","Long Ave. & Fullterton Ave., Chicago, IL","Long Ave.","Fullterton Ave.",,,"Vision Zero - Other High Crash Locations/COMPASS Study",,"Live","41.92404469","-87.76106837","(41.924044690911, -87.76106837235)"
"70","88","Clark St. & Wilson Ave., Chicago, IL","Clark St.","Wilson Ave.",,,"Studio Gang/BET Study",,"Live","41.965271","-87.666734","(41.965271, -87.666734)"
"14","094","Ohio St  & Grand Ave, Chicago, IL","Ohio St","Grand Ave",,"Lakeshore","Urban Impact on Climate & Weather",,"Live","41.8920031","-87.6116431","(41.8920031, -87.6116431)"
"29","O38","Damen Ave & Archer Ave, Chicago, IL","Damen Ave","Archer Ave","SEX","Pilsen and Stevensen Transect -AQ","Urban Air Quality and Health Education","single node","Live","41.8317438","-87.6753188","(41.8317438, -87.6753188)"
"100","054","Western Ave. & Addison St., Chicago, IL","Western Ave.","Addison St.","SEX",,"Lane of Things",,"Live","41.946731","-87.688258","(41.946731, -87.688258)"
"53","18","Stony Island Ave. & 63rd St., Chicago, IL","Stony Island Ave.","63rd St.",,,"Vision Zero - Other High Crash Locations",,"Live","41.780619","-87.586458","(41.780619, -87.586458)"
"55","73","Martin Luther King Dr. & Garfield Blvd., Chicago, IL","Martin Luther King Dr.","Garfield Blvd.",,,"Vision Zero - Other High Crash Locations",,"Live","41.794487","-87.615973","(41.794487, -87.615973)"
"76","067","Ashland Ave. & 47th, Chicago, IL","Ashland Ave.","47th",,,"COMPASS Study",,"Live","41.808604","-87.664973","(41.808604, -87.664973)"
"47","52","Ashland & 63rd St., Chicago, IL","Ashland","63rd St.","SWX",,"Vision Zero - Pedestrian High Crash Intersection",,"Live","41.779465","-87.664221","(41.779465, -87.664221)"
"21","O4F","Ashland Ave  & 18th St, Chicago, IL","Ashland Ave","18th St","SWX","AQ","Urban Air Quality and Health Education",,"Live","41.857779","-87.6683327","(41.857779, -87.6683327)"
"65","81","Wallace St. & Pershing Rd., Chicago, IL","Wallace St.","Pershing Rd.",,,"COMPASS Study",,"Live","41.823523","-87.641063","(41.823523, -87.641063)"
