Treatment Center,Physical Address,Suite/Floor Number,Phone Number,Service Modalities,Population Served,Payment Method,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
Counseling Center of Illinois Inc.,"4515 Milwaukee St
Chicago, ILLINOIS 60630
(41.962816691930115, -87.75628018475894)",,773-777-6767,"Level 1 & 2, DUI Services",Adult Male,"Third Party, Client Fee",48,15,21869,259,50,20
Family Guidance Centers Inc. ,"310 Chicago Ave
Chicago, ILLINOIS 60610
(41.896861495493845, -87.61983705097956)",,312-943-6545,"Level 1 & 2, Methadone Maintenance",Adults,"Self Payment, Sliding Scale, Medicaid",6,37,21182,233,11,22
Forever Free Program ,"6212 Sangamon St
Chicago, ILLINOIS 60621
(41.78136561906347, -87.64852064421453)",,773-374-8165,RH,Adults,Contact Agency,11,66,21559,22,2,19
A Safe Haven & Main Intake Number,"2750 Roosevelt Rd
Chicago, ILLINOIS 60636
(41.8665914855157, -87.69483850362143)",,773-435-8300,"RH Level 1, 2, & 3.5",Adults & Adolescents ,Sliding Scale,28,30,21184,16,23,11
McDermott Center/Haymarket,"106 51st St
Chicago, ILLINOIS 60615
(41.80205833592972, -87.62255595283924)",,312-226-7984,Level 1 & 2 ,Adults & Adolescents,Medicaid   Sliding Scale,10,4,21192,449,9,12
Fola Community Action Services Inc.,"8014 Ashland Ave
Chicago, ILLINOIS 60620
(41.74794306673135, -87.66337279700195)",,773-487-4310,Methadone Clients Only,Adults,Sliding Scale,59,70,21554,558,13,18
"DUI Alternatives Treatment Center, Inc.","2656 Montrose Ave
Chicago, ILLINOIS 60618
(41.961328302784246, -87.69580624039354)",Ste. 103 ,773-463-0500,"Level 1 & 2,    DUI Services",Adults & Adolescents,Client Fee,20,14,21538,258,20,2
Annie B Jones Community Services Inc.,"1818 71st St
Chicago, ILLINOIS 60649
(41.766228967035765, -87.58096528297118)",,773-667-2100,Level 1 & 2,Adults & Adolescents,Medicaid,24,39,22538,381,33,32
New Hope Community Service Center,"2559 79th St
Chicago, ILLINOIS 60652
(41.74993869817763, -87.68701296854948)",Suite 201  ,773-737-9555,"Level 1 & 2, DUI Services",Adults,Sliding Scale,8,69,4300,243,30,6
"The Chicago Center for Recovery & Empowerment, NFP","700 Green St
Chicago, ILLINOIS 60642
(41.89528798801189, -87.64889371233028)",Suite C-10,312-929-4234,Level 1 & 2,Adults,Sliding Scale,49,25,22620,522,46,41
Anixter Center Outpatient Services,"2001 Clybourn Ave
Chicago, ILLINOIS 60614
(41.91773902388309, -87.65893362327762)",Suite 402,773-549-0208,Level 1 & 2,Adults with Disabilities,"Medicaid, Third Party, Sliding Scale, Client Fee",16,68,21190,210,11,51
Cornerstone Recovering Community,"28 113th Pl
Chicago, ILLINOIS 60628
(41.688030233139386, -87.6240274582201)",,773-821-8608,"Level 1, 2, & 3.5",Adults,Contact Agency,19,45,21861,660,22,45
Henry Booth House Family Health Center,"2850 Michigan Ave
Chicago, ILLINOIS 60616
(41.842663407158184, -87.62362863748717)",,312-225-1982,"Level 1,           DUI Evaluation, DUI Risk Education",Adults,Contact Agency,40,1,21194,191,9,48
"Gateway Foundation, Inc./ Cook County Sheriff DCSI","3026 California Ave
Chicago, ILLINOIS 60608
(41.838739576099925, -87.6951327218215)",,773-869-7892,Level 1 & 2,Adults,Contact Agency,57,32,14920,124,14,29
Resurrection Behavioral Health at St. Mary,"1431 Claremont Ave
Chicago, ILLINOIS 60622
(41.90754955583677, -87.68584461561728)",,312-770-2590,"Level 1 & 2,    DUI Services",Adults,Contact Agency,4,25,21560,516,41,24
Lutheran Social Services of Illinois – Behavioral Health Services/Edgewater,"1758 Devon Ave
Chicago, ILLINOIS 60660
(41.998075176418624, -87.67406945689305)",,773-764-4350,"Level 1 & 2, DUI Services",Adults & Adolescents,Sliding Scale,9,10,4451,242,24,46
Gateway Foundation Alcohol & Drug Treatment/Kedzie,"1706 Kedzie Ave
Chicago, ILLINOIS 60647
(41.9121347729336, -87.70688356291178)",,773-227-2158,RH,Adults,Sliding Scale,1,24,22535,390,49,10
"ABJ Community Services, Inc.","1818 71st St
Chicago, ILLINOIS 60649
(41.766228967035765, -87.58096528297118)",,773-947-6940,Level 1 & 2,Adults & Adolescents,Client Fee,24,39,22538,381,33,32
"Alternatives, Incorporated","4730 Sheridan Rd
Chicago, ILLINOIS 60640
(41.968169045266336, -87.65482024450336)",,773-506-7474,Level 1 & 2,Adults & Adolescents,Sliding Scale,15,31,22616,241,39,37
"Alcohol Drug Safety Intervention, Inc.","5146 Belmont
Chicago, ILLINOIS 60634
(41.94567999999998, -87.80204000000003)",,773-283-3121,Level 1 & 2,Adults,Contact Agency,52,17,22254,444,19,39
"HAS/Illinois Department of Corrections, ATC, Westside ","121 Campbell Ave
Chicago, ILLINOIS 60612
(41.883534381835766, -87.68862294909326)",1st Floor ,773-252-3100,Level 1 & 2,Adults,Contact Agency,28,29,21184,37,46,48
Central States Institute of Addiction,"69 Washington St
Chicago, ILLINOIS 60602
(41.88316426359813, -87.62549597749528)",9th floor,312-948-6001,DUI Evaluation,Adults ,Contact Agency,41,38,14310,580,36,22
El Rincon Community Clinic,"3809 Grand Ave
Chicago, ILLINOIS 60647
(41.90426659094039, -87.72179542543023)",,773-276-0200 x226,"Level 1 & 2, Methadone, Gambling Counseling,     DUI Services",Adults Primarily Hispanic,"Sliding Scale, Medicaid, Third Party",5,24,4299,454,49,41
Southwood Interventions Outpatient ,"5701 Wood St
Chicago, ILLINOIS 60636
(41.79027482889277, -87.66927815924298)",,773-737-4600,Level 1 & 2,Adults & Adolescents,Sliding Scale,23,65,22257,385,3,44
"New Hope Recovery Center, LLC","2835 Sheffield Ave
Chicago, ILLINOIS 60657
(41.93378796408621, -87.65382199705084)",,773-883-3912,Level 1 & 2 ,Adults,Sliding Scale,22,57,4449,681,25,38
PDSSC/Chicago Inc.,"2260 Elston Ave
Chicago, ILLINOIS 60614
(41.9226735286397, -87.674112040166)",,773-772-2450,Methadone Maintenance,Adults,"Medicaid, Self Payment",16,23,21190,209,40,16
"Prosperity House, Inc.","6620 Evans Ave
Chicago, ILLINOIS 60637
(41.77423924286808, -87.60704825830692)",1st Floor ,773-744-7163, RH,Adults,Client Fees,60,9,22260,332,4,53
Youth Outreach Services – Irving Park,"6417 Irving Park Rd
Chicago, ILLINOIS 60634
(41.95284571074741, -87.7869360037052)",,773-777-6377,Level 1 & 2,"Adolescents, Bilingual Spanish",Sliding Scale,52,17,22254,444,19,25
Caritas Central Intake,"140 Ashland Ave
Chicago, ILLINOIS 60607
(41.88446015077909, -87.66689813935682)",,312-850-9411,"Level 1 & 2, Methadone Maintenance",Adults,"Medicaid, Sliding Scale",28,29,14917,63,46,41
New Age Services Corporation,"1330 Kostner Ave
Chicago, ILLINOIS 60623
(41.863626714106466, -87.73494292756084)",,773-542-1150 x113,"Level 1 &2,   DUI Services, Methadone Maintenance",Adults,Sliding Scale,57,30,21569,761,14,36
"Living Trees Center, Inc.","3801 63rd St
Chicago, ILLINOIS 60629
(41.778671233708316, -87.717925475368)",Unit 3 ,773-294-3788,Level 1 & 2,Adults,Contact Agency,58,63,21867,238,6,23
Howard Brown Health Center,"4025 Sheridan Rd
Chicago, ILLINOIS 60613
(41.95519182838353, -87.65455944111483)",,773-388-1600,Level 1 & 2,"Adults & Adolescents, Primarily Gay and Lesbian","Sliding Scale, Medicaid",53,31,21186,577,39,37
"Healthcare Alternative Systems, Inc./NEXA","210 Ashland Ave
Chicago, ILLINOIS 60607
(41.885810096963056, -87.667036259375)",,312-948-0200,"Level 1,    Ambulatory Detox,       Methadone,  DUI Risk Education",Adults,Contact Agency,28,29,21184,579,46,41
Henry’s Sober Living House,"8032 Ingleside Ave
Chicago, ILLINOIS 60619
(41.748509639609836, -87.60146346850496)",,773-752-1300,RH,Adults,Client Fee,61,40,21546,247,35,9
Agape Headquarters,"1016 Jackson Blvd
Chicago, ILLINOIS 60607
(41.877929273004014, -87.65237075114024)",Suite 100 ,312-957-7602,"DUI Evaluation, DUI Risk Education",Adults,Contact Agency,44,29,14917,91,26,48
Prevention Classes Inc.,"10435 Kedzie Ave
Chicago, ILLINOIS 60655
(41.703701184116724, -87.70118919361747)",,773-239-2830,"Level 1 & 2, DUI Services",Adults,"Self Payment, Sliding Scale",33,73,4447,256,42,33
Westcare Cook County Jail Impact Program,"2717 Sacramento Ave
Chicago, ILLINOIS 60623
(41.84372621020267, -87.70003548601109)", Division 4 ,773-869-7744,Level 1 & 2,Adults,Contact Agency,57,32,14920,124,14,29
Gateway Foundation Alcohol & Drug Treatment/Chicago West,"3828 Taylor St
Chicago, ILLINOIS 60624
(41.868998982848034, -87.72097998128257)",,773-826-1916 x2893,Level 3.5,Adults & Adolescents MISA,"Medicaid, DASA, Drug Court",30,27,21572,702,14,36
Jack Clarks Family Recovering Community Inc.,"3200 3206 W Fulton St
Chicago, ILLINOIS 60624
(41.88020000000006, -87.72311000000002)",Suite 06  ,773-252-2877,RH,Adults,Sliding Scale,30,27,21572,736,23,11
Resurrection Addiction Services – Chicago Loop,"8 Michigan Ave
Chicago, ILLINOIS 60603
(41.88199849964541, -87.62454995441514)",Suite 2110  ,847-493-3700,"Level 1 & 2, DUI Services",Adults,Self Payment ,34,38,14311,367,36,22
Enhanced Clinical Solutions Inc.,"200 75th St
Chicago, ILLINOIS 60619
(41.75833922939006, -87.61878441078926)",Suite 400 ,773-487-3398,"Level 1 & 2, DUI Services",Adults & Adolescents,"Self Payment, Sliding Scale",61,67,21546,475,32,31
King Drive Counseling Assessment and Referral Services Inc.,"370 63rd St
Chicago, ILLINOIS 60637
(41.78026916833027, -87.61656277643596)",,773-324-5500,Level 1 & 2,Adults,"Sliding Scale, Self Payment",60,7,22260,404,4,53
"DUI Professional Providers, Inc. ","111 Wabash
Chicago, ILLINOIS 60602
(41.88349965585711, -87.62615019895455)",,312-443-9400,"Level 1 & 2,    DUI Evaluation, DUI Risk Education",Adults,Sliding Scale,41,38,14310,580,36,22
"Community Mental Health Council, Inc. MISA Outpatient Services","8704 Constance Ave
Chicago, ILLINOIS 60617
(41.73672852102601, -87.57933115336391)",,773-734-4033,Level 1 & 2,Adults ,"Client Fee, Sliding Scale",25,44,21202,473,35,9
Specialized Assistance Services NFP,"2101 Indiana Ave
Chicago, ILLINOIS 60616
(41.85419796449315, -87.62222881416153)",,312-808-3218,"Level 1 & 2, Methadone Maintenance ",Adults,"Medicaid, Self Payment, Sliding Scale",40,34,21194,374,9,48
Community Counseling Center of Chicago,"5691 Ridge Ave
Chicago, ILLINOIS 60660
(41.985462240397844, -87.66292693926722)",,773-765-0810,Level 1 & 2 ,Adults,"Medicaid,     Self-Pay",14,76,4451,539,16,40
A Safe Haven Damen,"7349 Damen Ave
Chicago, ILLINOIS 60645
(42.01550036366842, -87.68043293589778)",,773-262-1974 x107,RH,Adults,Sliding Scale,9,10,22528,52,5,3
Cook County Bureau of Health Services The Core Center,"2020 Harrison St
Chicago, ILLINOIS 60612
(41.87407884521311, -87.67701132399912)",,312-572-4820,Level 1,Adult Persons w/ HIV/AIDS,Medicaid,28,29,21184,89,46,48
Anixter Center/Schwab Rehabilitation Center,"1401 California Ave
Chicago, ILLINOIS 60608
(41.86256415785734, -87.6957271614759)",,773-522-2010,Level 1 & 2,Adults,Medicaid,43,30,14920,16,23,11
HRDI – SW Opioid Treatment Program,"33 114th St
Chicago, ILLINOIS 60628
(41.68712191788978, -87.62427027516804)",,773-660-4630,Methadone Maintenance,Adults,Sliding Scale,19,45,21861,660,22,45
"TASC, Inc. Area 01 - JJS","1100 Hamilton
Chicago, ILLINOIS 60612
(41.86750484184664, -87.6803420903127)",,312-666-7339,Referral and Assessment ,Adolescents,No Fee,28,29,21184,5,46,48
The Ruth Rothstein Core Center,"2020 Harrison St
Chicago, ILLINOIS 60612
(41.87407884521311, -87.67701132399912)",1st Floor,312-572-4505,Level 1 & 2 ,Adults,Medicaid  Third Party,28,29,21184,89,46,48
Salvation Army Harbor Light Center,"1515 Monroe St
Chicago, ILLINOIS 60607
(41.88014140595551, -87.66475834891565)",,312-421-5753 x7642,Level 1 & 3.5,Adults,"Self Payment, Sliding Scale",44,29,14917,91,23,48
McDermott Center/Haymarket Center ,"120 Sangamon St
Chicago, ILLINOIS 60607
(41.87966676436292, -87.65078228859176)",,312-226-7984,"RH, Level 3.2D & 3.5",Adults,"Medicaid, Sliding Scale, Self Payment ",44,29,14917,91,26,48
Behavioral Health Services at APIMMC,"938 Nelson St
Chicago, ILLINOIS 60657
(41.93725942129826, -87.65299616653981)",,773-296-3220,"Level 1 & 2,   DUI Risk Education",Adults & Adolescents,Client Fee    Medicaid    Sliding Scale,22,57,4449,681,25,38
Advocate Healthcare Clean Start,"938 Nelson St
Chicago, ILLINOIS 60657
(41.93725942129826, -87.65299616653981)",,773-296-3220,"Level 1 & 2, DUI Services",Adults & Adolescents,"Medicaid, Third Party, Sliding Scale ",22,57,4449,681,25,38
The McDermott Center/ Haymarket,"4573 Broadway
Chicago, ILLINOIS 60640
(41.96489902319449, -87.65695333229225)",Suite 612                   ,773-506-2839,"Level 1 & 2, DUI Risk Education",Adults & Adolescents,"Sliding Scale, Medicaid",15,31,22616,241,39,37
The McDermott Center/ Haymarket,"2700 California Ave
Chicago, ILLINOIS 60608
(41.84246762564018, -87.69523416534639)",Division 3 Cook County Jail  ,773-869-2590,Level 1 & 2,Adults,"Sliding Scale, Medicaid",57,32,14920,124,14,29
"Nuway Community Services, Inc.","659 75th St
Chicago, ILLINOIS 60619
(41.75846610250935, -87.60855115348092)",,773-723-2790,"Level 1 & 2,  Methadone Srv Ambulatory Detox",Adults & Adolescents,Self-Pay  Medicaid,61,67,21546,496,32,31
"Chicago Treatment & Counseling Centers, Inc. ","5635 Roosevelt Rd
Cicero, ILLINOIS 60804
(41.86551956538324, -87.76567686321175)",,708-652-6500,Methadone Maintenance,Adults,Self Payment,,,4458,,,
"Polish American Addictions Counseling, Inc.","6814 Archer Ave
Chicago, ILLINOIS 60638
(41.792162730912025, -87.79238953532536)",,773-586-9511,"Level 1,        DUI Evaluation, DUI Risk Education",Adult,Sliding Scale,7,53,22268,588,6,35
