"outcome","week_end","age_group","unvaccinated_rate","vaccinated_rate","boosted_rate","crude_vaccinated_ratio","crude_boosted_ratio","age_adjusted_unvaccinated_rate","age_adjusted_vaccinated_rate","age_adjusted_boosted_rate","age_adjusted_vaccinated_ratio","age_adjusted_boosted_ratio","population_unvaccinated","population_vaccinated","population_boosted","outcome_unvaccinated","outcome_vaccinated","outcome_boosted","age_group_min","age_group_max"
"Cases","2021-04-03T00:00:00.000","0-4","73.8",,,,,,,,,,"162642",,,"120",,,"0","4"
"Deaths","2022-01-15T00:00:00.000","50-64","41.2","3.8","1.2","10.842105263","34.333333333",,,,,,"48522","185647","173821","20","7","2","50","64"
"Hospitalizations","2022-01-01T00:00:00.000","65-79","373.7","205.7","30.8","1.8167233836","12.133116883",,,,,,"49236","79719","129719","184","164","40","65","79"
"Hospitalizations","2021-09-18T00:00:00.000","12-17","0","0",,,,,,,,,"69766","88604",,"0","0",,"12","17"
"Cases","2021-04-03T00:00:00.000","5-11","79.4",,,,,,,,,,"210448",,,"167",,,"5","11"
"Deaths","2021-09-25T00:00:00.000","30-49","4.2","0.2",,"21",,,,,,,"214162","537266",,"9","1",,"30","49"
"Deaths","2021-07-03T00:00:00.000","30-49","1.1","0",,,,,,,,,"275732","482571",,"3","0",,"30","49"
"Deaths","2021-07-24T00:00:00.000","12-17","0","0",,,,,,,,,"97128","62274",,"0","0",,"12","17"
"Hospitalizations","2022-04-23T00:00:00.000","30-49","4.9","2.4","2.1","2.0416666667","2.3333333333",,,,,,"121551","291021","334725","6","7","7","30","49"
"Cases","2021-04-10T00:00:00.000","0-4","117.4",,,,,,,,,,"162642",,,"191",,,"0","4"
"Cases","2022-07-23T00:00:00.000","All","304.1","163.5","254.9","1.8599388379","1.1930168694","367.90350528","162.11053045","226.62258622","2.2694608688","1.6234194103","602797","864837","1010561","1833","1414","2576","999","999"
"Deaths","2021-05-08T00:00:00.000","80+","36.6","2.2",,"16.636363636",,,,,,,"35474","44962",,"13","1",,"80","200"
"Hospitalizations","2022-07-23T00:00:00.000","80+","43.5","99.9","42.5","0.4354354354","1.0235294118",,,,,,"25314","12012","47035","11","12","20","80","200"
"Cases","2021-04-10T00:00:00.000","5-11","149.2",,,,,,,,,,"210448",,,"314",,,"5","11"
"Deaths","2022-03-12T00:00:00.000","30-49","0.8","0","0",,,,,,,,"124819","297344","323176","1","0","0","30","49"
"Cases","2022-05-07T00:00:00.000","80+","89.2","173.5","177.1","0.5141210375","0.5036702428",,,,,,"25790","13253","45166","23","23","80","80","200"
"Deaths","2022-07-02T00:00:00.000","5-11","0","0","0",,,,,,,,"95649","92904","6877","0","0","0","5","11"
"Hospitalizations","2022-02-19T00:00:00.000","All","6.7","5.1","3.5","1.3137254902","1.9142857143","9.317423256","6.7753671948","2.2990877243","1.375190892","4.0526610436","660866","918988","874131","44","47","31","999","999"
"Cases","2021-04-17T00:00:00.000","0-4","103.3",,,,,,,,,,"162642",,,"168",,,"0","4"
"Hospitalizations","2021-04-03T00:00:00.000","65-79","43.5","5.3",,"8.2075471698",,,,,,,"103534","93712",,"45","5",,"65","79"
"Hospitalizations","2021-05-15T00:00:00.000","12-17","1.3",,,,,,,,,,"152183",,,"2",,,"12","17"
"Cases","2021-04-17T00:00:00.000","5-11","141.1",,,,,,,,,,"210448",,,"297",,,"5","11"
"Deaths","2022-05-14T00:00:00.000","30-49","0","0","0",,,,,,,,"120366","288680","338147","0","0","0","30","49"
"Hospitalizations","2021-09-11T00:00:00.000","50-64","56.7","4",,"14.175",,,,,,,"81163","328883",,"46","13",,"50","64"
"Hospitalizations","2022-05-28T00:00:00.000","30-49","18.4","3.5","3.5","5.2571428571","5.2571428571",,,,,,"119562","287051","340389","22","10","12","30","49"
"Deaths","2022-02-19T00:00:00.000","All","2.9","1","0.8","2.9","3.625","3.5657482966","1.4523052665","0.4903707586","2.4552333307","7.2715353313","660866","918988","874131","19","9","7","999","999"
"Cases","2021-04-24T00:00:00.000","0-4","80.5",,,,,,,,,,"162642",,,"131",,,"0","4"
