Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2018-2019,54,41.6926,-87.605,727 E. 111th St.,,Chicago,IL,60628,United States of America,Chicago Police Department-Area South,,,,11/13/2018,11/13/2018,9:00:00,15:00:00,11/13/2018 09:00:00 AM,11/13/2018 03:00:00 PM,Tuesday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_54,"(41.6926, -87.605)",19,47,21861,601,43
2018-2019,72,41.7299,-87.5469,3201 E. 91st St.,,Chicago,IL,60617,United States of America,Villa Guadalupe,,,,09/30/2018,09/30/2018,10:00:00,14:00:00,09/30/2018 10:00:00 AM,09/30/2018 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_72,"(41.7299, -87.5469)",25,42,21202,510,47
2018-2019,40,41.96658,-87.64925,4646 N. Marine Drive,,Chicago,IL,60640,United States of America,46th Ward-Weiss Hospital,,,,12/07/2018,12/07/2018,11:00:00,15:00:00,12/07/2018 11:00:00 AM,12/07/2018 03:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_40,"(41.96658, -87.64925)",15,31,22616,636,39
2018-2019,59,41.97013,-87.70986,4850 N. Sawyer Ave.,,Chicago,IL,60625,United States of America,Cherubim & Seraphim Church,,,,10/14/2018,10/14/2018,11:00:00,14:00:00,10/14/2018 11:00:00 AM,10/14/2018 02:00:00 PM,Sunday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_59,"(41.97013, -87.70986)",20,14,21849,750,20
2018-2019,150,41.70261,-87.53613,3611 E 106TH ST,,Chicago,IL,60617,United States of America,Walgreens,http://www.Walgreens.com,773-978-1988,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_150,"(41.70261, -87.53613)",25,49,21202,602,47
2018-2019,16,41.86665,-87.7303,1158 S. Keeler Ave.,,Chicago,IL,60624,United States of America,24th Ward Office,,,,11/05/2018,11/05/2018,10:00:00,13:00:00,11/05/2018 10:00:00 AM,11/05/2018 01:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_16,"(41.86665, -87.7303)",30,30,21572,98,14
2018-2019,205,41.9393,-87.6704,1649 W BELMONT AVE,,Chicago,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-281-8439,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_205,"(41.9393, -87.6704)",22,57,4449,711,40
2018-2019,184,41.9538,-87.68644,2301 W IRVING PARK RD,,Chicago,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-267-8410,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2018-2019_184,"(41.9538, -87.68644)",39,46,21538,613,18
2018-2019,181,41.89107,-87.6177,342 E ILLINOIS ST,,Chicago,IL,60611,United States of America,Walgreens,http://www.Walgreens.com,312-467-485,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2018-2019_181,"(41.89107, -87.6177)",6,37,21182,159,36
2018-2019,131,41.88585,-87.62034,205 NORTH COLUMBUS DRIVE,,Chicago,IL,60601,United States of America,CVS/pharmacy,http://www.cvs.com,312-861-0315,,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 7:00 AM-9:00 PM, Tue: 7:00 AM-9:00 PM, Wed: 7:00 AM-9:00 PM, Thu: 7:00 AM-9:00 PM, Fri: 7:00 AM-9:00 PM, Sat:  9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2018-2019_131,"(41.88585, -87.62034)",42,38,14309,580,36
2018-2019,67,41.74704,-87.70266,8030 S. Kedzie Ave.,,Chicago,IL,60652,United States of America,Noblest Islamic Community,,,,11/03/2018,11/03/2018,11:00:00,14:00:00,11/03/2018 11:00:00 AM,11/03/2018 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_67,"(41.74704, -87.70266)",8,69,4300,199,30
2018-2019,237,41.80856,-87.66524,1614 W 47TH ST,,Chicago,IL,60609,United States of America,Walgreens,http://www.Walgreens.com,773-247-3051,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_237,"(41.80856, -87.66524)",37,59,14924,740,4
2018-2019,26,41.9542,-87.7031,3001 W. Irving Park Rd.,,Chicago,IL,60618,United States of America,33rd Ward Office,,,,10/20/2018,10/20/2018,9:00:00,14:00:00,10/20/2018 09:00:00 AM,10/20/2018 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_26,"(41.9542, -87.7031)",39,16,21538,116,20
2018-2019,218,41.7786,-87.7027,6315 S KEDZIE AVE,,Chicago,IL,60629,United States of America,Walgreens,http://www.Walgreens.com,773-776-4040,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 8:00 AM-10:00 PM",,Call for details.,,2018-2019_218,"(41.7786, -87.7027)",58,64,21867,319,31
2018-2019,190,41.8935,-87.6309,641 N CLARK ST,,Chicago,IL,60654,United States of America,Walgreens,http://www.Walgreens.com,312-587-1416,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2018-2019_190,"(41.8935, -87.6309)",55,37,4446,670,36
2018-2019,238,41.9679,-87.64986,4720 N MARINE DR,,Chicago,IL,60640,United States of America,Walgreens,http://www.Walgreens.com,773-769-1315,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_238,"(41.9679, -87.64986)",15,31,22616,636,39
2018-2019,178,41.83954,-87.64679,3000 S HALSTED ST,,Chicago,IL,60608,United States of America,Walgreens,http://www.Walgreens.com,312-225-537,Pharmacy,09/01/2018,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2018-2019_178,"(41.83954, -87.64679)",43,58,14920,59,48
