"day","date","park","park_phone","title","cc","rating","underwriter","park_address","location"
"Sun","2018-08-05T00:00:00.000","Hamilton Park","(312) 747-6174","Black Panther","Y","PG-13",,"513 W. 72nd St.","513 W. 72nd St.
Chicago, IL 
(41.763495, -87.637669)"
"Fri","2018-06-15T00:00:00.000","Vittum Park","(773) 284-6022","Justice League","Y","PG-13",,"5010 W. 50th St.","5010 W. 50th St.
Chicago, IL 
(41.802024, -87.748205)"
"Sun","2018-07-22T00:00:00.000","Bessemer Park","(312) 747-6023","Star Wars: The Last Jedi","Y","PG-13",,"8930 S. Muskegon Ave.","8930 S. Muskegon Ave.
Chicago, IL 
(41.732921, -87.555452)"
"Thu","2018-06-21T00:00:00.000","Osterman Beach","(312) 742-1134","Donkey Skin (Peau d'ane)","Y","NR","The Cultural Services at the Consulate General of France in Chicago","5800 N. Lake Shore Dr.","5800 N. Lake Shore Dr.
Chicago, IL "
"Thu","2018-06-21T00:00:00.000","Altgeld Park","(312) 746-5001","Justice League","Y","PG-13",,"515 S. Washtenaw Ave.","515 S. Washtenaw Ave.
Chicago, IL 
(41.874341, -87.693699)"
"Thu","2018-08-16T00:00:00.000","West Pullman Park","(312) 747-7090","The Fate of the Furious","Y","PG-13",,"401 W. 123rd St.","401 W. 123rd St.
Chicago, IL 
(41.670629, -87.6324)"
"Fri","2018-07-20T00:00:00.000","Armour Square Park","(312) 747-6012","Cars 3","Y","G",,"3309 S. Shields Ave.","3309 S. Shields Ave.
Chicago, IL 
(41.834212, -87.635226)"
"Sun","2018-06-17T00:00:00.000","Jonquil Playlot Park","(312) 742-7816","Paddington 2","Y","PG","The Wrightwood Neighbors Association","1001 W. Wrightwood Ave.","1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
"Mon","2018-07-16T00:00:00.000","Osterman Beach","(312) 742-1134","9 to 5","Y","PG",,"5800 N. Lake Shore Dr.","5800 N. Lake Shore Dr.
Chicago, IL "
"Sat","2018-08-25T00:00:00.000","Oz Park","(312) 742-7898","The Wizard of Oz","Y","G",,"2021 N. Burling St.","2021 N. Burling St.
Chicago, IL 
(41.919044, -87.647303)"
"Fri","2018-06-29T00:00:00.000","Kelly Park","(312) 747-6197","Jumanji: Welcome to the Jungle","Y","PG-13",,"2725 W. 41st St.","2725 W. 41st St.
Chicago, IL 
(41.819371, -87.693257)"
"Sun","2018-08-12T00:00:00.000","La Villita Park","(312) 747-6608","LVEJO Film Showcase","N","NR",,"2800 S. Sacramento Blvd.","2800 S. Sacramento Blvd.
Chicago, IL "
"Fri","2018-07-06T00:00:00.000","Dunham Park","(773) 685-3257","The Sandlot","Y","PG",,"4638 N. Melvina Ave.","4638 N. Melvina Ave.
Chicago, IL 
(41.965863, -87.781985)"
"Tue","2018-08-07T00:00:00.000","A. Montgomery Ward Park","(312) 742-7895","The Post","Y","PG-13","The River North Residents Association","630 N. Kingsbury St.","630 N. Kingsbury St.
Chicago, IL 
(41.892852, -87.640929)"
"Fri","2018-06-15T00:00:00.000","Bell Park","(312) 746-5008","Wonder","Y","PG",,"3020 N. Oak Park Ave.","3020 N. Oak Park Ave.
Chicago, IL 
(41.935253, -87.795593)"
"Wed","2018-08-01T00:00:00.000","Merrimac Park","(773) 685-3382","Coco","Y","PG",,"6343 W. Irving Park Rd.","6343 W. Irving Park Rd.
Chicago, IL 
(41.952941, -87.785768)"
"Sun","2018-08-26T00:00:00.000","Jonquil Playlot Park","(312) 742-7816","Mary Poppins","Y","G","The Wrightwood Neighbors Association","1001 W. Wrightwood Ave.","1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
"Thu","2018-07-05T00:00:00.000","Wicker Park","(312) 742-7553","Ghost","Y","PG-13","The Wormhole Coffee","1425 N. Damen Avenue","1425 N. Damen Avenue
Chicago, IL 
(41.907977, -87.677399)"
"Tue","2018-06-19T00:00:00.000","A. Montgomery Ward Park","(312) 742-7895","Jumanji: Welcome to the Jungle","Y","PG-13","The River North Residents Association","630 N. Kingsbury St.","630 N. Kingsbury St.
Chicago, IL 
(41.892852, -87.640929)"
"Fri","2018-08-03T00:00:00.000","Nat King Cole Park","(312) 747-6063","Justice League","Y","PG-13",,"361 E. 85th St.","361 E. 85th St.
Chicago, IL 
(41.740144, -87.615445)"
"Mon","2018-07-30T00:00:00.000","Chippewa Park","(773) 731-0380","Trolls","Y","PG","Debra & Ira Silverstein","6748 N. Sacramento Ave.","6748 N. Sacramento Ave.
Chicago, IL 
(42.004271, -87.70461)"
"Sat","2018-08-25T00:00:00.000","Wolfe Playground Park","(312) 747-7005","Cars 3","Y","G",,"3325 E. 108th St.","3325 E. 108th St.
Chicago, IL 
(41.699136, -87.543168)"
