Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2016-2017,272,41.96739,-87.7599,4777 NORTH MILWAUKEE AVENUE,,CHICAGO,IL,60630,United States of America,CVS/pharmacy,http://www.cvs.com,773-205-3270,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_272,"(41.96739, -87.7599)",48,15,21869,260,50
2016-2017,127,41.9244041,-87.7665174,5600 W FULLERTON AVE,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-745-1640,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: Midnight - Mindnight, Sat: Midnight - Mindnight, Sun: Midnight - Mindnight",,Call for details.,,2016-2017_127,"(41.9244041, -87.7665174)",2,19,22615,58,21
2016-2017,196,41.993701,-87.6900988,6140 N WESTERN AVE,,CHICAGO,IL,60659,United States of America,Walgreens,http://www.Walgreens.com,773-764-50,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_196,"(41.993701, -87.6900988)",50,20,4450,31,24
2016-2017,40,41.801751,-87.630697,5101 S. Wentworth Ave.,,Chicago,IL,60609,United States of America,Chicago Police Department - 2nd District,,312-745-3490,PO Melvin Bailey,10/26/2015,10/26/2015,9:00:00,15:00:00,10/26/2015 09:00:00 AM,10/26/2015 03:00:00 PM,Monday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_40,"(41.801751, -87.630697)",37,3,14924,224,9
2016-2017,148,41.706799,-87.620699,10300 S MICHIGAN AVE,,CHICAGO,IL,60628,United States of America,Walgreens,http://www.Walgreens.com,773-468-602,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2016-2017_148,"(41.706799, -87.620699)",19,45,21861,236,43
2016-2017,83,41.844099,-87.724799,4005 W 26TH ST,,CHICAGO,IL,60623,United States of America,Walgreens,http://www.Walgreens.com,773-521-9504,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2016-2017_83,"(41.844099, -87.724799)",57,32,21569,194,28
2016-2017,125,41.8814413,-87.6853785,2340 W MADISON ST,,CHICAGO,IL,60612,United States of America,Walgreens,http://www.Walgreens.com,312-226-7913,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_125,"(41.8814413, -87.6853785)",28,29,21184,37,46
2016-2017,87,41.8962701,-87.6692183,1650 W CHICAGO AVE,,CHICAGO,IL,60622,United States of America,Walgreens,http://www.Walgreens.com,312-829-6186,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_87,"(41.8962701, -87.6692183)",4,25,21560,518,41
2016-2017,112,41.965499,-87.667099,1500 W WILSON AVE,,CHICAGO,IL,60640,United States of America,Walgreens,http://www.Walgreens.com,773-907-8995,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details.,,2016-2017_112,"(41.965499, -87.667099)",15,31,22616,559,18
2016-2017,51,41.9674,-87.6491,4700 N. Marine Drive,,Chicago,IL,60640,United States of America,46th Ward-Weiss Hospital,,773-878-4646,Caitlin Mc Elroy,11/05/2015,11/05/2015,10:00:00,14:00:00,11/05/2015 10:00:00 AM,11/05/2015 02:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_51,"(41.9674, -87.6491)",15,31,22616,636,39
2016-2017,102,41.9751784,-87.7676689,5230 N MILWAUKEE AVE,,CHICAGO,IL,60630,United States of America,Walgreens,http://www.Walgreens.com,773-736-8920,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2016-2017_102,"(41.9751784, -87.7676689)",48,11,21869,780,50
2016-2017,32,41.882847,-87.630614,77 W. Washington St.,2nd Floor,Chicago,IL,60602,United States of America,42nd Ward-FUMC Chicago Temple,,312-236-4548 ext. 120,Nuntida Sirisornbatwattana,10/19/2016,10/19/2016,11:00:00,15:00:00,10/19/2016 11:00:00 AM,10/19/2016 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_32,"(41.882847, -87.630614)",41,38,14310,92,36
2016-2017,256,41.93005,-87.76645,2722 NORTH CENTRAL AVENUE,,CHICAGO,IL,60639,United States of America,CVS/pharmacy,http://www.cvs.com,773-804-1692,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_256,"(41.93005, -87.76645)",2,19,22615,58,21
2016-2017,207,41.9398795,-87.6625923,1333 W BELMONT AVE,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-549-9485,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-7:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_207,"(41.9398795, -87.6625923)",22,57,4449,741,25
2016-2017,91,41.924299,-87.639499,2317 N CLARK ST,,CHICAGO,IL,60614,United States of America,Walgreens,http://www.Walgreens.com,773-929-7488,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_91,"(41.924299, -87.639499)",16,68,21190,207,34
2016-2017,25,41.8231,-87.6785833,2210 W. Pershing Rd.,,Chicago,IL,60609,United States of America,12th Ward-McKinley Park,,562-676-8395,Jennifer Nunez,10/16/2015,10/16/2015,9:00:00,13:00:00,10/16/2015 09:00:00 AM,10/16/2015 01:00:00 PM,Friday,,,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_25,"(41.8231, -87.6785833)",37,56,14924,719,1
2016-2017,281,41.87979,-87.62729,137 SOUTH STATE STREET,,CHICAGO,IL,60603,United States of America,CVS/pharmacy,http://www.cvs.com,312-609-1215,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 7:00 AM-7:00 PM, Tue: 7:00 AM-7:00 PM, Wed: 7:00 AM-7:00 PM, Thu: 7:00 AM-7:00 PM, Fri: 7:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2016-2017_281,"(41.87979, -87.62729)",34,38,14311,367,36
2016-2017,73,41.7796924,-87.6414279,641 W 63RD ST,Lower Level,CHICAGO,IL,60621,United States of America,Englewood Neighborhood Health Center,http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html,312-745-1000,,10/01/2016,09/01/2020,,,,,"Thursday, Friday","Thursdays: 9:00 AM-4:30 PM, Fridays: 8:00 AM to 3:30 PM",,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2016-2017_73,"(41.7796924, -87.6414279)",11,66,21559,435,4
2016-2017,179,41.9534185,-87.7280564,4001 W IRVING PARK RD,,CHICAGO,IL,60641,United States of America,Walgreens,http://www.Walgreens.com,773-685-3527,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2016-2017_179,"(41.9534185, -87.7280564)",21,16,22618,295,50
