Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Mon,08/07/2017,Oakwood Beach,(312) 742-1134,Home Alone,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL",,,,,
Tue,06/13/2017,Grant Park,(312) 742-3918,Jumanji,Y,PG,Underwritten by the Greater South Loop Association,Columbus Drive,"Columbus Drive
Chicago, IL",,,,,
Mon,07/24/2017,Calumet Park,(312) 747-6039,Sing,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47
Wed,08/09/2017,Kelly Park,(312) 747-6197,Zootopia,,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL
(41.819371, -87.693257)",56,55,22248,641,1
Sat,07/29/2017,Wolfe Playground Park,(312) 747-7005,Instructions Not Included,Y,PG-13,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL
(41.699134, -87.542709)",25,49,21202,602,47
Mon,07/17/2017,Webster Park,(312) 745-1479,Raiders of the Lost Ark,Y,PG,Underwritten by the Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL
(41.864392, -87.622376)",35,34,14913,374,9
Tue,07/25/2017,Maggie Daley Park,(312) 742-3918,Big Hero 6,Y,PG,Underwritten by the Museum of Science and Industry,337 E. Randolph St.,"337 E. Randolph St.
Chicago, IL
(41.884351, -87.620142)",41,38,14309,580,36
Thu,07/20/2017,Bessemer Park,(312) 747-6023,Monster Trucks,Y,PG,,8930 S. Muskegon Ave.,"8930 S. Muskegon Ave.
Chicago, IL
(41.733131, -87.555461)",25,42,21202,175,47
Tue,08/01/2017,West Lawn Park,(773) 284-2803,Sing,Y,PG,,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL
(41.774943, -87.728278)",58,63,21867,6,15
Fri,08/25/2017,Jonquil Playlot Park,(312) 742-7816,Wall-E,Y,G,Underwritten by the Museum of Science and Industry,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Thu,06/29/2017,Sumner Park,(312) 746-5394,Trolls,Y,PG,,4320 W. 5th Ave.,"4320 W. 5th Ave.
Chicago, IL
(41.870728, -87.733605)",30,27,21572,703,14
Wed,07/12/2017,Lincoln Park Cultural Center,(312) 742-7726,The Lego Movie,Y,PG,Underwritten bythe Museum of Science and Industry,2045 N. Lincoln Park West,"2045 N. Lincoln Park West
Chicago, IL
(41.9197, -87.63638)",16,68,21190,207,34
Mon,07/10/2017,Oakwood Beach,(312) 742-1134,Apollo 13,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL",,,,,
Sat,08/26/2017,Pulaski Park,(312) 742-7559,X-Men: Apocalypse,Y,PG-13,,1419 W. Blackhawk St.,"1419 W. Blackhawk St.
Chicago, IL
(41.907049, -87.663404)",49,25,22620,483,11
Mon,08/21/2017,Clarendon Park Community Center,(312) 742-7512,Queen of Katwe,Y,PG,,4501 N. Clarendon Ave.,"4501 N. Clarendon Ave.
Chicago, IL
(41.963681, -87.649962)",15,31,22616,636,39
Sat,07/01/2017,Seward Park,(312) 742-7895,Pete's Dragon,Y,PG,,375 W. Elm St.,"375 W. Elm St.
Chicago, IL
(41.902735, -87.639498)",54,37,14926,148,46
Sun,08/13/2017,Jonquil Playlot Park,(312) 742-7816,Fantastic Beasts and Where to Find Them,Y,PG-13,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Fri,08/25/2017,Palmer Park,(312) 747-6577,Ghostbusters (2016),Y,PG-13,,201 E. 111th St.,"201 E. 111th St.
Chicago, IL
(41.692654, -87.617721)",19,45,21861,253,43
Sat,07/15/2017,Horner Park,(773) 478-3499,Toy Story,Y,PG,Underwritten by the Horner Park Advisory Council,2741 W. Montrose Ave.,"2741 W. Montrose Ave.
Chicago, IL
(41.961286, -87.697294)",20,14,21538,258,20
Wed,07/05/2017,Brainerd Park,(312) 747-6027,Captain America: Civil War,Y,PG-13,,1246 W. 92nd St.,"1246 W. 92nd St.
Chicago, IL
(41.726792, -87.654282)",59,72,21554,195,13
Mon,08/14/2017,Tilton Park,(773) 287-0806,Almost Christmas,Y,PG-13,,305 N. Kostner Ave.,"305 N. Kostner Ave.
Chicago, IL
(41.885906, -87.735629)",30,27,21572,619,23
Thu,08/17/2017,Eugene Field Park,(773) 478-9744,Rudy,Y,PG,,5100 N. Ridgeway Ave.,"5100 N. Ridgeway Ave.
Chicago, IL
(41.973843, -87.722074)",20,14,21849,127,38
Wed,07/19/2017,Dvorak Park,(312) 746-5083,Vengo Volviendo/Here and There,Y,NR,Underwritten by the International Latino Cultural Center,1119 W. Cullerton St.,"1119 W. Cullerton St.
Chicago, IL
(41.855228, -87.653947)",43,33,14920,251,26
Thu,08/31/2017,Chase Park,(312) 742-7518,National Treasure,Y,PG,Produced by the Chase Park Advisory Council,4701 N. Ashland Ave.,"4701 N. Ashland Ave.
Chicago, IL
(41.967097, -87.669326)",15,31,22616,559,18
Wed,08/02/2017,Union Park,(312) 746-5494,X-Men: Apocalypse,Y,PG-13,,1501 W. Randolph St.,"1501 W. Randolph St.
Chicago, IL
(41.884747, -87.66427)",44,29,14917,63,46
Tue,07/18/2017,Dunbar Park,(312) 747-6287,The Angry Birds Movie,Y,PG,,300 E. 31st St.,"300 E. 31st St.
Chicago, IL
(41.838421, -87.618745)",40,1,21194,191,10
Tue,06/20/2017,Archer Park,(773) 284-7029,Angels in the Outfield,Y,PG,Underwritten by Archer Manor Little League,4901 S.Kilbourn Ave.,"4901 S.Kilbourn Ave.
Chicago, IL
(41.803782, -87.735659)",56,54,22248,697,8
Fri,06/30/2017,Oz Park,(312) 742-7898,Hook,Y,PG,,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Sun,07/16/2017,Piotrowski Park,(312) 745-4801,Fantastic Beasts and Where to Find Them,Y,PG-13,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836813, -87.731076)",57,32,21569,248,28
Thu,07/06/2017,Wicker Park,(312) 742-7553,National Treasure,Y,PG,Underwritten by The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41
Fri,07/07/2017,Meyering Playground Park,(312) 747-6545,X-Men: Apocalypse,Y,PG-13,,7140 S. Martin Luther King Dr.,"7140 S. Martin Luther King Dr.
Chicago, IL
(41.764855, -87.615274)",61,67,21546,474,32
Tue,07/25/2017,Mann Park,(773) 646-0210,The Secret Life of Pets,Y,PG,,3035 E. 130st St.,"3035 E. 130st St.
Chicago, IL
(41.659159, -87.5502)",26,52,22250,586,47
Fri,06/23/2017,Athletic Field Park,(773) 478-2889,Fantastic Beasts and Where to Find Them,Y,PG-13,Produced by the Athletic Field Park Advisory Council,3546 W. Addison St.,"3546 W. Addison St.
Chicago, IL
(41.946538, -87.715942)",39,16,21538,325,12
Tue,08/08/2017,Roosevelt Park,(312) 747-7640,Moana,Y,PG,,62 W. Roosevelt Rd.,"62 W. Roosevelt Rd.
Chicago, IL
(41.867444, -87.629875)",35,38,14913,12,10
Mon,08/28/2017,South Shore Cultural Center,(773) 256-0149,Queen of Katwe,Y,PG,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37
Fri,08/25/2017,Jensen Park,(312) 742-7054,Trolls,Y,PG,,4650 N. Lawndale Ave.,"4650 N. Lawndale Ave.
Chicago, IL
(41.9657, -87.720608)",20,14,21849,119,12
Sat,08/12/2017,Chicago Women's Park and Gardens,(312) 328-0821,Moana,Y,PG,Underwritten by the Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9
Wed,07/19/2017,La Follette Park,(773) 287-0541,The Secret Life of Pets,Y,PG,,1333 N. Laramie Ave.,"1333 N. Laramie Ave.
Chicago, IL
(41.9051, -87.755826)",5,26,4299,600,45
Tue,07/25/2017,Shabbona Park,(773) 685-6205,Mrs. Doubtfire,Y,PG-13,,6935 W. Addison St.,"6935 W. Addison St.
Chicago, IL
(41.945407, -87.800259)",52,17,22254,444,19
Fri,08/04/2017,Lindblom Park,(312) 747-6443,Fences,Y,PG-13,,6054 S. Damen Ave.,"6054 S. Damen Ave.
Chicago, IL
(41.783375, -87.67402)",23,65,22257,274,2
Thu,06/15/2017,Chicago Women's Park and Gardens,(312) 328-0821,Pride & Prejudice,Y,PG,"Underwritten by the Clarke House Museum, The National Society of the Colonial Dames of America, The Prairie District Neighborhood Alliance and the Glessner House Museum",1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL
(41.857935, -87.622279)",40,34,21194,374,9
Thu,08/24/2017,Park No. 574,(312) 746-5560,Ghostbusters (2016),Y,PG-13,,2540 W. Jackson Blvd.,"2540 W. Jackson Blvd.
Chicago, IL
(41.877529, -87.690647)",28,29,21184,785,46
Sat,06/17/2017,Hermitage Park,(312) 747-6179,Trolls,Y,PG,,5839 S. Wood St.,"5839 S. Wood St.
Chicago, IL
(41.787531, -87.669252)",23,65,22257,385,3
Sat,07/29/2017,Harrison Park,(312) 746-5491,A Monster in Paris,Y,PG,Underwritten by the Consulate General of France in Chicago,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL
(41.856811, -87.671063)",43,33,14920,343,26
Thu,07/20/2017,Senka Park,(312) 747-4386,The Secret Life of Pets,Y,PG,,5656 S. St. Louis Ave.,"5656 S. St. Louis Ave.
Chicago, IL
(41.790475, -87.710771)",58,61,21867,801,8
Wed,06/14/2017,Winnemac Park,(312) 742-5101,A Cat in Paris,,PG,Underwritten by the Consulate General of France in Chicago,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL
(41.974286, -87.684226)",20,6,21849,106,24
Thu,08/17/2017,Edgebrook Park,(773) 631-7461,The LEGO Batman Movie,Y,PG,,6525 N. Hiawatha Ave.,"6525 N. Hiawatha Ave.
Chicago, IL
(41.999284, -87.761796)",18,12,22532,782,29
Wed,06/14/2017,"Bartelme, Mary Park",(312) 746-5962,La La Land,Y,PG-13,Underwritten by the Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26
Mon,06/12/2017,Belmont Harbor,(312) 742-1134,North by Northwest,,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL
(41.940216, -87.63955)",22,57,4449,535,25
Wed,07/26/2017,Gage Park,(312) 747-6147,Ice Age,Y,PG,,2411 W. 55th St.,"2411 W. 55th St.
Chicago, IL
(41.793908, -87.684334)",56,61,14924,778,3
Tue,07/18/2017,Park No. 571,(312) 747-6184,Zootopia,Y,PG,,2754-2860 S. Eleanor St.,"2754-2860 S. Eleanor St.
Chicago, IL
(41.843471, -87.662306)",43,58,14920,723,48
Thu,08/31/2017,Ellis Park,(773) 285-7099,Chicago Onscreen Local Film Showcase,,NR,,3520 S. Cottage Grove Ave.,"3520 S. Cottage Grove Ave.
Chicago, IL
(41.830713, -87.610379)",36,2,4301,582,10
Sat,09/02/2017,Chase Park,(312) 742-7518,Chicago Onscreen Local Film Showcase,,NR,,4701 N. Ashland Ave.,"4701 N. Ashland Ave.
Chicago, IL
(41.967097, -87.669326)",15,31,22616,559,18
Thu,08/10/2017,DuSable Museum of African American History,(312) 742-1134,I Am Not Your Negro,Y,PG-13,Underwritten by the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
