"ward","alderman","address","city","state","zipcode","ward_phone","website","email","location","city_hall_address","city_hall_city","city_hall_state","city_hall_zipcode","city_hall_phone"
"1","JOE MORENO","2058 N WESTERN AVE","CHICAGO","IL","60647","773-278-0101","http://www.cityofchicago.org/city/en/about/wards/01.html","ward01@cityofchicago.org","2058 WESTERN AVE
CHICAGO, IL 60647
(41.91935384551596, -87.68747462738725)","121 N. La Salle Room 300, Office 5","CHICAGO","IL","60602","312-744-3063"
"2","ROBERT FIORETTI","1319 S STATE ST","CHICAGO","IL","60605","312-263-9273","http://www.cityofchicago.org/city/en/about/wards/02.html","ward02@cityofchicago.org","1319 STATE ST
CHICAGO, IL 60605
(41.86539246094477, -87.62723989925449)","121 N. La Salle Room 300, Office 2","CHICAGO","IL","60602","312-744-6836"
"5","LESLIE HAIRSTON","2325 E 71ST ST","CHICAGO","IL","60649","773-324-5555","http://www.cityofchicago.org/city/en/about/wards/05.html","LHairston@cityofchicago.org","2325 71ST ST
CHICAGO, IL 60649
(41.76613635138409, -87.56800868901502)","121 N. La Salle Room 300","CHICAGO","IL","60602","312-744-6832"
"6","RODERICK SAWYER","463 1/2 E 83RD ST ","CHICAGO","IL","60619","773-635-0006","http://www.cityofchicago.org/city/en/about/wards/06.html","service@6thwardchicago.com","463 1 2 E 83RD ST
CHICAGO, IL 60619
(41.74379084125005, -87.612534391811)","121 N. La Salle Room 200","CHICAGO","IL","60602","312-744-0670"
"7","SANDI JACKSON","7123 S EXCHANGE","CHICAGO","IL","60649","773-375-9180","http://www.cityofchicago.org/city/en/about/wards/07.html","ward07@cityofchicago.org","7123 EXCHANGE
CHICAGO, IL 60649
(41.765692576947295, -87.56590779847369)","121 N. La Salle Room 207, Office 13","CHICAGO","IL","60602","312-744-6833"
"8","MICHELLE HARRIS","8539 S COTTAGE GROVE AVE","CHICAGO","IL","60619","773-874-3300","http://www.cityofchicago.org/city/en/about/wards/08.html","ward08@cityofchicago.org","8539 COTTAGE GROVE AVE
CHICAGO, IL 60619
(41.739565213263866, -87.60483466101032)","121 N. La Salle Room 203","CHICAGO","IL","60602","312-744-3075"
"9","ANTHONY BEALE","34 E 112TH PL","CHICAGO","IL","60628","773-785-1100","http://www.cityofchicago.org/city/en/about/wards/09.html","ward09@cityofchicago.org","34 112TH PL
CHICAGO, IL 60628
(41.68990981618066, -87.62166224128305)","121 N. La Salle Room 209, Office 13","CHICAGO","IL","60602","312-744-6838"
"10","JOHN POPE","3522 E 106TH ST","CHICAGO","IL","60617","773-721-1999","http://www.cityofchicago.org/city/en/about/wards/10.html","ward10@cityofchicago.org","3522 106TH ST
CHICAGO, IL 60617
(41.7027979643193, -87.53796452410876)","121 N. La Salle Room 300, Office 19","CHICAGO","IL","60602","312-744-3078"
"12","GEORGE A. CARDENAS","2458 W 38TH ST","CHICAGO","IL","60632","773-523-8250","http://www.cityofchicago.org/city/en/about/wards/12.html","ward12@cityofchicago.org","2458 38TH ST
CHICAGO, IL 60632
(41.82481636791304, -87.6871415635549)","121 N. La Salle Room 203","CHICAGO","IL","60602","312-744-3040"
"14","EDWARD M. BURKE","2650 W 51ST ST","CHICAGO","IL","60632","773-471-1414","http://www.cityofchicago.org/city/en/about/wards/14.html","eburke@cityofchicago.org","2650 51ST ST
CHICAGO, IL 60632
(41.80106601900212, -87.69117084092767)","121 N. La Salle Room 302","CHICAGO","IL","60602","312-744-3380"
"15","TONI FOULKES","3045 W 63RD ST","CHICAGO","IL","60629","773-863-0220","http://www.cityofchicago.org/city/en/about/wards/15.html","Toni.Foulkes@cityofchicago.org","3045 63RD ST
CHICAGO, IL 60629
(41.7789786699625, -87.70002016969596)","121 N. La Salle Room 300, Office 26","CHICAGO","IL","60602","312-744-6850"
"16","JOANN THOMPSON","5335 S WESTERN BLVD","CHICAGO","IL","60609","773-434-3399","http://www.cityofchicago.org/city/en/about/wards/16.html","JoAnn.Thompson@cityofchicago.org","5335 WESTERN BLVD
CHICAGO, IL 60609
(41.796281625806216, -87.6834906307974)","121 N. La Salle Room 300, Office 20","CHICAGO","IL","60602","312-744-3184"
"17","LATASHA R. THOMAS","7811 S RACINE AVE","CHICAGO","IL","60620","773-723-0908","http://www.cityofchicago.org/city/en/about/wards/17.html","ward17@cityofchicago.org","7811 RACINE AVE
CHICAGO, IL 60620
(41.751955412101765, -87.65369651097284)","121 N. La Salle Room 305","CHICAGO","IL","60602","312-744-7738"
"21","HOWARD BROOKINS, JR.","9011 S ASHLAND AVE","CHICAGO","IL","60620","773-881-9300","http://www.cityofchicago.org/city/en/about/wards/21.html","ward21@cityofchicago.org","9011 ASHLAND AVE
CHICAGO, IL 60620
(41.73014409654223, -87.66282015532013)","121 N. La Salle Room 300, Office 19","CHICAGO","IL","60602","312-744-4810"
"22","RICARDO MUNOZ","2500 S ST LOUIS AVE","CHICAGO","IL","60623","773-762-1771","http://www.cityofchicago.org/city/en/about/wards/22.html","Ward22@cityofchicago.org","2500 ST LOUIS AVE
CHICAGO, IL 60623
(41.846059100128, -87.71240383403943)","121 N. La Salle Room 300, Office 22","CHICAGO","IL","60602","312-744-9491"
"31","RAY SUAREZ","4502 W FULLERTON AVE","CHICAGO","IL","60639","773-486-6488","http://www.cityofchicago.org/city/en/about/wards/31.html","rsuarez@cityofchicago.org","4502 FULLERTON AVE
CHICAGO, IL 60639
(41.92437208575167, -87.7391066050652)","121 N. La Salle Room 203, Office 19","CHICAGO","IL","60602","312-744-6102"
"33","RICHARD F. MELL","3649 N KEDZIE AVE","CHICAGO","IL","60618","773-478-8040","http://www.cityofchicago.org/city/en/about/wards/33.html","rmell@cityofchicago.org","3649 KEDZIE AVE
CHICAGO, IL 60618
(41.94753599467188, -87.70776090846171)","121 N. La Salle Room 208","CHICAGO","IL","60602","312-744-6825"
"3","PAT DOWELL","5046 S STATE ST","CHICAGO","IL","60609","773-373-9273","http://www.cityofchicago.org/city/en/about/wards/03.html","ward03@cityofchicago.org","5046 STATE ST
CHICAGO, IL 60609
(41.80288694419043, -87.62597882636014)","121 N. La Salle Room 300, Office 3","CHICAGO","IL","60602","312-744-8734"
"4","WILLIAM BURNS","435 E 35TH ST ","CHICAGO","IL","60616","773-536-8103","http://www.cityofchicago.org/city/en/about/wards/04.html","ward04@cityofchicago.org","435 35TH ST
CHICAGO, IL 60616
(41.8311231075376, -87.61610009347004)","121 N. La Salle Room 200","CHICAGO","IL","60602","312-744-2690"
"11","JAMES A. BALCER","3659 S HALSTED ST","CHICAGO","IL","60609","773-254-6677","http://www.cityofchicago.org/city/en/about/wards/11.html","james.balcer@cityofchicago.org","3659 HALSTED ST
CHICAGO, IL 60609
(41.82720931039387, -87.645970915735)","121 N. La Salle Room 203, Office 9","CHICAGO","IL","60602","312-744-6663"
"13","MARTY QUINN","6500 S PULASKI","CHICAGO","IL","60629","773-581-8000","http://www.cityofchicago.org/city/en/about/wards/13.html",,"6500 PULASKI
CHICAGO, IL 60629
(41.77498460083439, -87.72272906902552)","121 N. LaSalle, Room 300","CHICAGO","IL","60602","312-744-3058"
"23","MICHAEL R. ZALEWSKI","6247 S ARCHER AVE","CHICAGO","IL","60638","773-582-4444","http://www.cityofchicago.org/city/en/about/wards/23.html","mzalewski@cityofchicago.org","6247 ARCHER AVE
CHICAGO, IL 60638
(41.79353557089485, -87.77628479665086)","121 N. La Salle Room 203, Office 6","CHICAGO","IL","60602","312-744-6828"
"24","MICHAEL CHANDLER","1158 S KEELER  AVE","CHICAGO","IL","60624","773-533-2400","http://www.cityofchicago.org/city/en/about/wards/24.html","ward24@cityofchicago.org","1158 KEELER AVE
CHICAGO, IL 60624
(41.86663619329791, -87.73014831102147)","121 N. La Salle Room 200","CHICAGO","IL","60602","312-744-6839"
"25","DANIEL S. SOLIS","2439 S OAKLEY BLVD","CHICAGO","IL","60608","773-523-4100","http://www.cityofchicago.org/city/en/about/wards/25.html","daniel.solis@cityofchicago.org","2439 OAKLEY BLVD
CHICAGO, IL 60608
(41.84722821876608, -87.6830229833422)","121 N. La Salle Room 203, Office 14","CHICAGO","IL","60602","312-744-6845"
"26","ROBERTO MOLDONADO","2434 W DIVISION ST","CHICAGO","IL","60622","773-395-0143","http://www.cityofchicago.org/city/en/about/wards/26.html",,"2434 DIVISION ST
CHICAGO, IL 60622
(41.90303115068417, -87.68841891551801)","121 N. La Salle Room 300, Office 13","CHICAGO","IL","60602","312-744-6853"
"27","WALTER BURNETT, JR.","1463 W CHICAGO AVE","CHICAGO","IL","60622","312-432-1995","http://www.cityofchicago.org/city/en/about/wards/27.html","wburnett@cityofchicago.org","1463 CHICAGO AVE
CHICAGO, IL 60622
(41.8960155753968, -87.6673234287445)","121 N. La Salle Room 300","CHICAGO","IL","60602","312-744-6124"
"28","JASON ERVIN","259 N PULASKI RD ","CHICAGO","IL","60624","773-533-0900","http://www.cityofchicago.org/city/en/about/wards/28.html","jason.ervin@cityofchicago.org","259 PULASKI RD
CHICAGO, IL 60624
(41.88462154074204, -87.72570022394746)","121 N. La Salle Room 200","CHICAGO","IL","60602","312-744-3066"
"29","DEBORAH GRAHAM","5755 W DIVISION ST","CHICAGO","IL","60651","773-261-4646","http://www.cityofchicago.org/city/en/about/wards/29.html","Ward29@cityofchicago.org","5755 DIVISION ST
CHICAGO, IL 60651
(41.90203453715418, -87.76969345547309)","121 N. La Salle Room 300","CHICAGO","IL","60602","312-744-3070"
"32","SCOTT WAGUESPACK","2657 N CLYBOURN","CHICAGO","IL","60614","773-248-1330","http://www.cityofchicago.org/city/en/about/wards/32.html","info@ward32.org","2657 CLYBOURN
CHICAGO, IL 60614
(41.92988490647906, -87.6752978071105)","121 N. La Salle Room 300","CHICAGO","IL","60602","312-744-6567"
"18","LONA LANE","8108 S WESTERN AVE","CHICAGO","IL","60652","773-471-1991","http://www.cityofchicago.org/city/en/about/wards/18.html","ward18@cityofchicago.org","8108 WESTERN AVE
CHICAGO, IL 60652
(41.746135429452465, -87.68275318673341)","121 N. La Salle Room 300","CHICAGO","IL","60602","312-744-6856"
"19","MATTHEW O'SHEA","10400 S WESTERN AVE ","CHICAGO","IL","60643","773-238-8766","http://www.cityofchicago.org/city/en/about/wards/19.html","mattoshea@The19thWard.com","10400 WESTERN AVE
CHICAGO, IL 60643
(41.7044518533944, -87.6815930613156)","121 N. La Salle Room 200","CHICAGO","IL","60602","312-744-3072"
"20","WILLIE COCHRAN","6357 S COTTAGE GROVE","CHICAGO","IL","60637","773-955-5610","http://www.cityofchicago.org/city/en/about/wards/20.html","Willie.Cochran@cityofchicago.org","6357 COTTAGE GROVE
CHICAGO, IL 60637
(41.78278999975885, -87.60392999976955)","121 N. La Salle Room 300, Office 2","CHICAGO","IL","60602","312-744-6840"
