"facility_name","location_1","postal_code","begin_date","end_date","begin_time","end_time","phone","url","cost","notes"
"Moos Elementary School","1711 N. California
Chicago, IL 60647
(41.9125311, -87.69690545)","60647","2015-08-08T00:00:00.000","2015-08-08T00:00:00.000","9:00:00","13:00:00","312.747.9884",,,
"International Deliverance Ministries","5954 W. Roosevelt Rd.
Chicago, IL 60644
(41.86557113, -87.77390653)","60644","2015-08-14T00:00:00.000","2015-08-14T00:00:00.000","10:00:00","14:00:00",,,,
"Marshall Metro High School","3250 W. Adams St.
Chicago, IL 60624
(41.87847194, -87.70801612)","60624","2015-08-19T00:00:00.000","2015-08-19T00:00:00.000","10:00:00","14:00:00",,,,
"Morgan Park H.S.","1744 W. Pryor Ave.
Chicago, IL 60643
(41.69206041, -87.66564309)","60643","2015-09-02T00:00:00.000","2015-09-02T00:00:00.000","10:00:00","14:00:00","312.747.9884",,,
"N. Lawndale School","1615 S. Christiana
Chicago, IL 60623
(41.85853654, -87.70894972)","60623","2015-09-04T00:00:00.000","2015-09-04T00:00:00.000","10:00:00","14:00:00","312.747.9884",,,
"Foreman High School","3235 N. LeClaire Ave.
Chicago, IL 60641
(41.93981043, -87.7541302)","60641","2015-08-22T00:00:00.000","2015-08-22T00:00:00.000","10:00:00","14:00:00",,,,
"CPD - 3rd District","7040 S. Cottage Grove Ave.
Chicago, IL 60637
(41.76643089, -87.60574786)","60637","2015-08-29T00:00:00.000","2015-08-29T00:00:00.000","11:00:00","14:00:00",,,,
"Englewood Neighborhood Health Center","641 W 63RD ST
Chicago, IL 60621
(41.77969238, -87.64142791)","60621","2015-09-02T00:00:00.000","2016-09-01T00:00:00.000","8:00:00","15:30:00","312-745-1000","http://www.cityofchicago.org/city/en/depts/cdph/supp_info/clinical_health/immunizations_walk-inclinics.html","Free","Thursdays 9:00 am - 4:30 pm, Fridays 8:00 am - 3:30 pm"
"St. Agnes Church","2647 S. Central Park
Chicago, IL 60623
(41.84298622, -87.71460061)","60623","2015-08-08T00:00:00.000","2015-08-08T00:00:00.000","10:00:00","14:00:00","312.747.9884",,,
"King College Prep High School","4445 S. Drexel Blvd.
Chicago, IL 60653
(41.81369471, -87.60383761)","60653","2015-08-15T00:00:00.000","2015-08-15T00:00:00.000","10:00:00","15:00:00",,,,
