"id","violation_last_modified_date","violation_date","violation_code","violation_status","violation_status_date","violation_description","violation_location","violation_inspector_comments","violation_ordinance","inspector_id","inspection_number","inspection_status","inspection_waived","inspection_category","department_bureau","address","street_number","street_direction","street_name","street_type","property_group","ssa","latitude","longitude","location"
"6840271","2022-08-25T15:48:36.000","2022-08-25T00:00:00.000","CN077014","OPEN",,"REPAIR FENCE","EXTERIOR:W   :","REAR OF BUILDING / WEST ELEVATION / FENCE - LEANING, RAILING HANGING.","Failed to maintain fence in good condition and repair.  (7-28-060, 13-196-630, 13-196-641)","447020","12320669","FAILED","N","PERIODIC","CONSERVATION","4537 W CONGRESS PKWY","4537","W","CONGRESS","PKWY","14640",,"41.874072595","-87.739247719","
,  
(41.874072594796345, -87.73924771937381)"
"6840106","2022-08-25T11:47:48.000","2022-08-25T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","INTERIOR:001 :","ARRANGE PREMISE INSPECTIONMOST APARTMENTS - NO RESPONSE, UNVERIFIED DETECTORS, CONDITIONS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS.","Arrange for inspection of premises. (13-12-100)","447020","13859617","FAILED","N","COMPLAINT","CONSERVATION","3022 N NOTTINGHAM AVE","3022","N","NOTTINGHAM","AVE","126652",,"41.935120946","-87.804030803","
,  
(41.93512094612538, -87.80403080253765)"
"6840219","2022-08-25T15:23:26.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"CORRECT ALL VIOLATIONS AND RESCHEDULE INSPECTION WITH THE CITY BY CALLING 311 OR 312-743-3594 AND LEAVE A MESSAGE WITH ADDRESS.","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6840269","2022-08-25T15:48:36.000","2022-08-25T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","INTERIOR:002 :","ARRANGE PREMISE INSPECTIONMOST APARTMENTS - NO RESPONSE, UNVERIFIED DETECTORS, CONDITIONS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAYS.","Arrange for inspection of premises. (13-12-100)","447020","12320669","FAILED","N","PERIODIC","CONSERVATION","4537 W CONGRESS PKWY","4537","W","CONGRESS","PKWY","14640",,"41.874072595","-87.739247719","
,  
(41.874072594796345, -87.73924771937381)"
"6840209","2022-08-25T15:15:12.000","2022-08-25T00:00:00.000","EV1110","OPEN",,"MAINTAIN OR REPAIR ELECT ELEVA",,"A BUILDING #1: ALARM BELL NOT OPERATIONAL","Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6839994","2022-08-25T10:01:55.000","2022-08-25T00:00:00.000","CN138106","OPEN",,"STOP/REMOVE NUISANCE","EXTERIOR:W   :REAR YARD","STORING APPLIANCES IN REAR YARD. 5 REFIRIGERATORS AND STOVE. MISC JUNK AND DEBRIS.","Remove and stop nuisance. (7-28-060)","BL00942","13859543","FAILED","N","COMPLAINT","CONSERVATION","3114 S KOMENSKY AVE","3114","S","KOMENSKY","AVE","296189",,"41.836377698","-87.725703341","
,  
(41.83637769815186, -87.72570334146975)"
"6839909","2022-08-25T09:22:36.000","2022-08-25T00:00:00.000","CN190029","OPEN",,"ARRANGE FOR REINSPECTION REGAR","OTHER   :    :OTHER","INTERIOR OF BUILDING /MOST APARTMENTS- NO RESPONSE. UNVERIFIED DETECTORS, CONDITIONS AND OCCUPANCY. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS.","pending notice reinspection","451988","13859492","FAILED","N","COMPLAINT","CONSERVATION","2345 N LATROBE AVE","2345","N","LATROBE","AVE","94798",,"41.923605315","-87.757212152","
,  
(41.92360531485238, -87.75721215241019)"
"6840007","2022-08-25T10:22:37.000","2022-08-25T00:00:00.000","CN190019","OPEN",,"ARRANGE PREMISE INSPECTION","OTHER   :    :OTHER","INTERIOR OF BUILDING - NO RESPONSE. UNVERIFIED DETECTORS AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS. UNABLE TO CONFIRM BASEMENT AND ATTIC OCCUPANCY.","Arrange for inspection of premises. (13-12-100)","451988","13859556","FAILED","N","COMPLAINT","CONSERVATION","3305 N OKETO AVE","3305","N","OKETO","AVE","142338",,"41.939920508","-87.811299558","
,  
(41.93992050832913, -87.81129955813846)"
"6840207","2022-08-25T15:14:16.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"ALL ELEVATORS: RESTRICTOR NOT ENGAGING","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6840214","2022-08-25T15:19:48.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"B BUILDING #2: PROVIDE SELF-CLOSING HOISTWAY DOORS. SPIRAITOR IS BROKEN ON 3RD FLOOR. GO OVER ALL HOISTWAY DOORS.","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6840211","2022-08-25T15:16:29.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"A BUILDING #1: LOCK ESCAPE HATCH","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6839902","2022-08-25T09:20:29.000","2022-08-25T00:00:00.000","RF301051","OPEN",,"ARRANGE FOR RE-INSPECTION","ROOF","CONTACT THE REFRIGERATION DEPT AT 132 743 3562","Arrange for refrigeration/air conditioning reinspection. (13-192-760, 13-12-100)","BL00983","13853559","FAILED","N","PERMIT","REFRIGERATION","6402 S EBERHART AVE","6402","S","EBERHART","AVE","24882",,"41.778316926","-87.613308186","
,  
(41.7783169258583, -87.6133081855294)"
"6840202","2022-08-25T15:11:51.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"ALL ELEVATORS: PROVIDE KEY TO MACHINE ROOM. MUST BE READILY AVAILABLE","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
"6840206","2022-08-25T15:14:08.000","2022-08-25T00:00:00.000","PL151137","OPEN",,"OPEN",,,,"290668","13815911","FAILED","N","PERMIT","PLUMBING","1000 W WASHINGTON BLVD","1000","W","WASHINGTON","BLVD","1182",,"41.883171835","-87.6521331","
,  
(41.88317183484875, -87.65213310038212)"
"6840216","2022-08-25T15:20:43.000","2022-08-25T00:00:00.000","EV1111","OPEN",,"MAINTAIN OR REPAIR HYDRO ELEVA",,"B BUILDING #2 & C BUILDING #3: REPLACE WORN COP JEWELS","Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)","425425","13679828","FAILED","N","PERIODIC","ELEVATOR","901 E 104TH ST","901","E","104TH","ST","21614",,"41.705566594","-87.60107403","
,  
(41.70556659418179, -87.60107403032647)"
