DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
SOLITA,SOLITA,2857386,Restaurant,Risk 3 (Low),431 N WELLS ST ,CHICAGO,IL,60654,08/09/2022,License,Pass,,41.89002468212031,-87.63388240330882,"(-87.63388240330882, 41.89002468212031)",,,,,
CHEZ JOEL,CHEZ JOEL,32359,Restaurant,Risk 1 (High),1119 W TAYLOR ST ,CHICAGO,IL,60607,06/15/2022,Non-Inspection,No Entry,,41.86933227916697,-87.65510678669794,"(-87.65510678669794, 41.86933227916697)",,,,,
ROJO GUSANO,ROJO GUSANO,1305286,Restaurant,Risk 1 (High),3830 W LAWRENCE AVE ,CHICAGO,IL,60625,06/28/2022,Canvass,Out of Business,,41.968390431264375,-87.72444785924317,"(-87.72444785924317, 41.968390431264375)",,,,,
HOST INTERNATIONAL B05,LA TAPENADE  (T1-B5),34203,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666,04/20/2022,Canvass,Pass,,42.008536400868735,-87.91442843927047,"(-87.91442843927047, 42.008536400868735)",,,,,
LITTLE HARVARD ACADEMY,LITTLE HARVARD ACADEMY,2215573,Daycare (2 - 6 Years),Risk 1 (High),2708 W PETERSON AVE ,CHICAGO,IL,60659,04/05/2022,Canvass,Out of Business,,41.99056361928264,-87.69736479750581,"(-87.69736479750581, 41.99056361928264)",,,,,
JOLLIBEE,JOLLIBEE,2785819,Restaurant,Risk 1 (High),116 S MICHIGAN AVE ,CHICAGO,IL,60603,10/29/2021,License,Pass,,41.88039583825962,-87.62450172159464,"(-87.62450172159464, 41.88039583825962)",,,,,
SUBWAY,SUBWAY,1488966,Restaurant,Risk 1 (High),3601 N WESTERN AVE ,CHICAGO,IL,60618,02/18/2022,Canvass,Out of Business,,41.94682340031816,-87.688112633821,"(-87.688112633821, 41.94682340031816)",,,,,
LARDON & THE UNION TAPROOM & THE MEADOWLARK,LARDON & THE UNION TAPROOM & THE MEADOWLARK,2712521,Restaurant,Risk 1 (High),2200-2202 N CALIFORNIA AVE ,CHICAGO,IL,60647,07/14/2022,Canvass,Pass,,41.921723514279485,-87.69746847935866,"(-87.69746847935866, 41.921723514279485)",,,,,
CHARTWELLS THOMPSON HOSPITALITY,ROWE-CLARK MATH & SCIENCE ACADEMY,2202622,School,Risk 1 (High),3645 W CHICAGO AVE ,CHICAGO,IL,60651,07/11/2022,Canvass,Out of Business,,41.89533477965775,-87.71805030259755,"(-87.71805030259755, 41.89533477965775)",,,,,
AMARIT RESTAURANT,AMARIT RESTAURANT,1801618,Restaurant,Risk 1 (High),600 S DEARBORN ST ,CHICAGO,IL,60605,07/07/2022,Canvass Re-Inspection,Pass,,41.87448116568133,-87.62935653990546,"(-87.62935653990546, 41.87448116568133)",,,,,
