"day","date","park","park_phone","title","cc","rating","underwriter","park_address","location"
"Mon","2019-07-08T00:00:00.000","Chippewa Park","(773) 731-0380","Bee Movie","Y","PG","JCC Chicago","6748 N. Sacramento Ave.","(42.00438076, -87.70475177)"
"Tue","2019-08-06T00:00:00.000","Lawler Park","(773) 284-7328","Coco","Y","PG",,"5210 W. 64th St.","(41.77611338, -87.75229515)"
"Mon","2019-07-08T00:00:00.000","Calumet Park","(312) 747-6039","The Wizard of Oz","Y","G",,"9801 S. Ave G","(41.71772004, -87.53150812)"
"Thu","2019-08-01T00:00:00.000","Harrison Park","(312) 746-5491","Black Panther","Y","PG-13",,"1824 S. Wood St.","(41.85692162, -87.67122476)"
"Thu","2019-07-18T00:00:00.000","Hoard Playground Park","(773) 256-1903","Black Panther","Y","PG-13",,"7201 S. Dobson Ave.","(41.7640317, -87.59928813)"
"Fri","2019-06-07T00:00:00.000","Berger Park Cultural Center","(773) 761-0376","Some Like It Hot","Y","NR",,"6205 N. Sheridan Rd.","(41.99480562, -87.65538421)"
"Sat","2019-07-13T00:00:00.000","Skinner Park","(312) 746-5560","Big Hero 6","Y","PG","The Museum of Science and Industry","1331 W. Monroe St.","(41.88015941, -87.66077867)"
"Mon","2019-08-12T00:00:00.000","River Park","(312) 742-7516","Hotel Transylvania 3","Y","PG",,"5100 N. Francisco Ave.","(41.97406838, -87.70144885)"
"Wed","2019-07-24T00:00:00.000","Kilbourn Park","(773) 685-3351","El Reality","Y","NR","The International Latino Cultural Center","3501 N. Kilbourn Ave.","(41.94450485, -87.73951111)"
"Wed","2019-06-12T00:00:00.000","Union Park","(312) 746-5494","Black Panther","Y","PG-13",,"1501 W. Randolph St.","(41.88471128, -87.66428183)"
"Thu","2019-07-25T00:00:00.000","Wicker Park","(312) 742-7553","The Rainmaker","Y","PG-13","The Wicker Park Bucktown Chamber of Commerce Members and the Wicker Park Advisory Council","1425 N. Damen Avenue","(41.90795225, -87.67724924)"
"Fri","2019-08-23T00:00:00.000","Shedd Park","(773) 762-3168","The Star","Y","PG",,"3660 W. 23rd St.","(41.84992518, -87.71735905)"
"Fri","2019-06-14T00:00:00.000","Pottawattomie Park","(773) 262-5835","Ghostbusters (1984)","Y","PG",,"7340 N. Rogers Ave.","(42.01468225, -87.67838211)"
"Sat","2019-06-29T00:00:00.000","Rowan Park","(773) 646-3180","Aquaman","Y","PG-13","The Forest Preserve District of Cook County","11546 S. Avenue L","(41.68500208, -87.53661565)"
"Fri","2019-08-02T00:00:00.000","Maplewood Playlot Park","(312) 742-7554","Ralph Breaks the Internet","Y","PG",,"1640 N.Maplewood Ave.","(41.91149995, -87.69106224)"
"Wed","2019-08-07T00:00:00.000","Heritage Green","(312) 746-5494","Smallfoot","Y","PG","The West Loop Community Organization","610-30 W. Adams St.","(41.87937955, -87.6430924)"
"Wed","2019-08-14T00:00:00.000","Hayes Park","(312) 747-6177","Spider-Man: Into the Spider-Verse","Y","PG","The Forest Preserve District of Cook County","2936 W. 85th St.","(41.73874188, -87.69676781)"
"Sat","2019-08-17T00:00:00.000","DuSable Museum of African American History","(312) 742-1134","Trinity Goodheart","Y","NR","The DuSable Museum of African American History","740 E. 56th Pl.","(41.79248002, -87.60685252)"
"Wed","2019-06-26T00:00:00.000","Horner Park","(773) 478-3499","Wonder","Y","PG","JCC Chicago","2741 W. Montrose Ave.","(41.9611441, -87.69770153)"
"Thu","2019-06-20T00:00:00.000","Maggie Daley Park","(312) 742-3918","Ralph Breaks the Internet","Y","PG",,"337 E. Randolph St.","(41.88422161, -87.61933906)"
"Mon","2019-06-24T00:00:00.000","Harold Washington Playlot Park","(312) 747-6620","Cabaret","Y","PG",,"5200 S. Hyde Park Blvd.","(41.80047033, -87.58450476)"
"Thu","2019-06-20T00:00:00.000","McKiernan Playground Park","(312) 747-2883","Avengers: Infinity War","Y","PG-13",,"10714 S. Sawyer Ave.","(41.69846337, -87.70242508)"
"Fri","2019-06-28T00:00:00.000","Portage Park","(773) 685-7235","Dirty Dancing","Y","PG-13",,"4100 N. Long Ave.","(41.95510787, -87.76228458)"
"Sat","2019-06-15T00:00:00.000","Tuley Park","(312) 747-6763","Night School","Y","PG-13",,"501 E. 90th Pl.","(41.73008229, -87.61181885)"
"Fri","2019-08-16T00:00:00.000","Tilton Park","(773) 287-0806","Avengers: Infinity War","Y","PG-13",,"305 N. Kostner Ave.","(41.88560476, -87.73548782)"
"Mon","2019-07-22T00:00:00.000","Haas Park","(312) 742-7552","Spider-Man: Into the Spider-Verse","Y","PG",,"2402 N. Washtenaw Ave.","(41.92494165, -87.69512119)"
"Sat","2019-07-27T00:00:00.000","Buttercup Playlot Park","(312) 742-7502","Come Drink With Me","N","NR",,"4901 N. Sheridan Rd.","(41.97166865, -87.65473895)"
"Wed","2019-08-21T00:00:00.000","Gill Park","(312) 742-7802","Wonder","Y","PG","JCC Chicago","825 W. Sheridan Rd.","(41.9526213, -87.65067083)"
"Thu","2019-08-08T00:00:00.000","Burnside Park","(312) 747-6015","A Wrinkle in Time","Y","PG",,"9400 S. Greenwood Ave.","(41.72400937, -87.59741566)"
"Mon","2019-08-19T00:00:00.000","Grant Park: Logan Monument","(312) 742-1134","Grease","Y","PG","The Greater South Loop Association","900 S. Michigan Ave.","(41.87055847, -87.62428661)"
"Wed","2019-06-19T00:00:00.000","Green Briar Park","(773) 761-0582","Alice in Wonderland","Y","G",,"2650 W. Peterson Ave.","(41.99056874, -87.69659414)"
"Thu","2019-06-27T00:00:00.000","Gross Park","(312) 742-7528","Mary Poppins Returns","Y","PG",,"2708 W. Lawrence Ave.","(41.96865935, -87.69662091)"
"Tue","2019-07-16T00:00:00.000","Beverly Park","(312) 747-6024","Cars (2006)","Y","G",,"2460 W. 102nd St.","(41.70829186, -87.68413609)"
"Tue","2019-08-06T00:00:00.000","West Lawn Park","(773) 284-2803","Coco","Y","PG",,"4233 W. 65th St.","(41.77486501, -87.72884225)"
"Sun","2019-06-30T00:00:00.000","Chicago Women's Park and Gardens","(312) 328-0821","The Incredibles 2","Y","PG","The Prairie District Neighborhood Alliance","1801 S. Indiana Ave.","(41.85783824, -87.62218405)"
"Thu","2019-07-11T00:00:00.000","Dunbar Park","(312) 747-6287","Black Panther","Y","PG-13",,"300 E. 31st St.","(41.83849698, -87.62015738)"
"Fri","2019-06-21T00:00:00.000","Mandrake Park","(312) 747-6446","Spider-Man: Into the Spider-Verse","Y","PG",,"900 E. Pershing Rd.","(41.82509196, -87.60390798)"
"Sat","2019-08-10T00:00:00.000","Humboldt Park","(312) 742-7549","Smallfoot","Y","PG",,"1440 N. Sacramento","(-87.701792, 41.902822)"
"Thu","2019-08-15T00:00:00.000","West Pullman Park","(312) 747-7090","Black Panther","Y","PG-13",,"401 W. 123rd St.","(41.6705255, -87.63211402)"
"Sat","2019-07-20T00:00:00.000","Bradley Park","(312) 747-6022","Black Panther","Y","PG-13",,"9729 S.Yates Ave.","(41.71809861, -87.56450116)"
"Fri","2019-07-26T00:00:00.000","Clarendon Park Community Center","(312) 742-7512","Spider-Man: Into the Spider-Verse","Y","PG",,"4501 N. Clarendon Ave.","(41.96371269, -87.64981992)"
"Fri","2019-07-12T00:00:00.000","Moore Park","(773) 287-0561","Creed II","Y","PG-13",,"5085 W. Adams","(41.87839125, -87.75274341)"
"Mon","2019-08-05T00:00:00.000","Julia de Burgos Park","(312) 742-7529","Trolls","Y","NR","The 606","1805 N. Albany Ave.","(41.91389527, -87.70502242)"
"Tue","2019-07-02T00:00:00.000","Harold Washington Playlot Park","(312) 747-6620","Leap!","Y","PG","The Cultural Service at the Consulate General of France","5200 S. Hyde Park Blvd.","(41.80047033, -87.58450476)"
"Tue","2019-07-30T00:00:00.000","Humboldt Park","(312) 742-7549","The Incredibles 2","Y","PG",,"1440 N. Sacramento","(-87.701792, 41.902822)"
"Sun","2019-07-14T00:00:00.000","Jonquil Playlot Park","(312) 742-7816","Spider-Man: Homecoming","Y","PG-13","The Wrightwood Neighbors Association","1001 W. Wrightwood Ave.","(41.92889597, -87.65385229)"
"Wed","2019-07-31T00:00:00.000","Chicago History Museum","(312) 742-1134","My Favorite Wife","Y","NR","The Chicago History Museum","1601 N. Clark St.",
"Wed","2019-07-24T00:00:00.000","La Villita Park","(312) 747-6608","Smallfoot","Y","PG",,"2800 S. Sacramento Blvd.","(41.8408764, -87.70018045)"
"Mon","2019-06-10T00:00:00.000","Belmont Harbor","(312) 742-1134","The 39 Steps","Y","NR",,"3200 N. Lake Shore Dr.","(41.94090916, -87.63936916)"
"Tue","2019-07-09T00:00:00.000","Ward (A. Montgomery) Park","(312) 742-7895","Mary Poppins Returns","Y","PG","The River North Resident's Association","630 N. Kingsbury St.","(41.893015, -87.64125791)"
"Sat","2019-08-24T00:00:00.000","Oz Park","(312) 742-7898","The Wizard of Oz","Y","G",,"2021 N. Burling St.","(41.9189011, -87.64717807)"
"Thu","2019-06-13T00:00:00.000","Bartelme (Mary) Park","(312) 746-5962","Adventures in Babysitting","Y","PG-13","The Mary Bartelme Park Advisory Council","115 S. Sangamon St.","(41.87994748, -87.65066137)"
"Mon","2019-07-01T00:00:00.000","Oakwood Beach","(312) 742-1134","Grease","Y","PG",,"3900 S. Lake Shore Dr.","(41.82588259, -87.60097185)"
"Wed","2019-07-24T00:00:00.000","White (Willye B.) Park","(773) 262-5051","Aquaman","Y","PG-13","The Forest Preserve District of Cook County","7631 N. Ashland Ave.","(42.02087112, -87.67057561)"
"Sat","2019-07-13T00:00:00.000","Buttercup Playlot Park","(312) 742-7502","Napoleon Dynamite","Y","PG",,"4901 N. Sheridan Rd.","(41.97166865, -87.65473895)"
"Fri","2019-08-23T00:00:00.000","Indian Road Park","(773) 631-3761","The Incredibles 2","Y","PG",,"6010 W. Matson Ave.","(41.99284157, -87.77835042)"
"Fri","2019-07-19T00:00:00.000","Douglas Park Cultural and Community Center","(773) 762-2842","Little Shop of Horrors (1986)","Y","PG-13",,"1401 S. Sacramento Dr.","(41.862904, -87.70186654)"
"Fri","2019-06-21T00:00:00.000","Independence Park","(773) 478-3538","The Sandlot","Y","PG",,"3945 N. Springfield Ave.","(41.95322543, -87.72494811)"
