"address","latitude","longitude","location"
"3333 S Iron Street ","41.83322271","-87.66102208","(41.83322271, -87.66102208)"
"444 W Chicago ","41.89661725","-87.64044485","(41.89661725, -87.64044485)"
"71st & Prairie","41.76564492","-87.61847785","(41.76564492, -87.61847785)"
"58th & Wood","41.7885099","-87.66929524","(41.7885099, -87.66929524)"
"1100 W Roosevelt ","41.86714301","-87.65442626","(41.86714301, -87.65442626)"
"4400 S Stewart ","41.81444995","-87.63587876","(41.81444995, -87.63587876)"
"400 N Kedzie ","41.88831522","-87.70648607","(41.88831522, -87.70648607)"
"5700 S Perry ","41.79090671","-87.62786143","(41.79090671, -87.62786143)"
"4400 S State","41.81460224","-87.62637112","(41.81460224, -87.62637112)"
"89th & Commercial","41.7337305","-87.5513461","(41.7337305, -87.5513461)"
"600 E 130th St ","41.65925479","-87.60742878","(41.65925479, -87.60742878)"
