"school_id","name_of_school","street_address","city","state","zip","phone_number","website","blue_ribbon_award","cps_performance_policy_level","cps_performance_policy_status","probation_length","my_voice_my_school_overall_rating","student_response_rate","teacher_response_rate","involved_family","supportive_environment","ambitious_instruction","effective_leaders","collaborative_teachers","safe","school_community","parent_teacher_partnership","quality_of_facilities","healthy_schools_certification","creative_schools_certification","nwea_reading_growth_percentile_all_grades","nwea_reading_growth_percentile_grade_3","nwea_reading_growth_percentile_grade_4","nwea_reading_growth_percentile_grade_5","nwea_reading_growth_percentile_grade_6","nwea_reading_growth_percentile_grade_7","nwea_reading_growth_percentile_grade_8","nwea_math_growth_all_grades","nwea_math_growth_grade_3","nwea_math_growth_grade_4","nwea_math_growth_grade_5","nwea_math_growth_grade_6","nwea_math_growth_grade_7","nwea_math_growth_grade_8","nwea_reading_attainment_percentile_all_grades","nwea_reading_attainment_percentile_grade_2","nwea_reading_attainment_percentile_grade_3","nwea_reading_attainment_percentile_grade_4","nwea_reading_attainment_percentile_grade_5","nwea_reading_attainment_percentile_grade_6","nwea_reading_attainment_percentile_grade_7","nwea_reading_attainment_percentile_grade_8","nwea_math_attainment_percentile_all_grades","nwea_math_attainment_percentile_grade_2","nwea_math_attainment_percentile_grade_3","nwea_math_attainment_percentile_grade_4","nwea_math_attainment_percentile_grade_5","nwea_math_attainment_percentile_grade_6","nwea_math_attainment_percentile_grade_7","nwea_math_attainment_percentile_grade_8","epas_growth_percentile","explore_growth_percentile_grade_9","plan_growth_percentile_grade_10","act_growth_percentile_grade_11","epas_attainment_percentile","explore_attainment_percentile_grade_9","plan_attainment_percentile_grade_10","grade_act_attainment_percentile_grade_11","explore_spring_2013_average_grade_9","explore_spring_2013_average_grade_10","explore_fall_2011_average_grade_9","plan_fall_2012_average_grade_10","act_spring_2013_average_grade_11","freshmen_on_track_rate_percentage_2013","freshmen_on_track_rate_percentage_2012","_4_year_graduation_rate_percentage_2013","_4_year_graduation_rate_percentage_2012","_5_year_graduation_rate_percentage_2013","_5_year_graduation_rate_percentage_2012","college_enrollment_rate_percentage_2013","college_enrollment_rate_percentage_2012","college_persistence_rate_percentage_2013","college_persistence_rate_percentage_2012","suspensions_per_100_2013","suspensions_per_100_2012","percentage_of_misconducts_resulting_in_suspension_2013","percentage_of_misconducts_resulting_in_suspension_2012","average_length_of_suspensions_2013","average_length_of_suspensions_2012","student_attendance_percentage_2013","student_attendance_percentage_2012","teacher_attendance_percentage_2013","teacher_attendance_percentage_2012","gr3_8_on_track_percentage_2013","one_year_dropout_rate_percentage_2013","one_year_dropout_rate_percentage_2012","x_coordinate","y_coordinate","longitude","latitude","location"
"610572","Camelot Safe Academy Elementary","125 S Clark St","Chicago","IL","60603","(773) 902-7297 ","http://www.cps.edu",,,,,"NOT ENOUGH DATA",,,"NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA",,,,"NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1175596.702","1899641.066","41.87998851","-87.63068884","(-87.63068884, 41.87998851)"
"400133","YCCS-Innovations of Arts Integration HS","220 W 45th Pl","Chicago","IL","60609","(312) 999-9360 ","http://www.cps.edu",,,,,"WELL-ORGANIZED","50.50","100","NEUTRAL","STRONG","STRONG","NEUTRAL","STRONG","STRONG","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,"7",,,,,"14.3",,,,,,,,,,,,,,,,,"74.70",,,,,"40.20",,"1175448.685","1874817.069","41.8118729","-87.63197673","(-87.63197673, 41.8118729)"
"400148","Instituto Justice and Leadership Acad Charter HS","2570 S Blue Island Blvd","Chicago","IL","60608","(773) 696-3610 ","http://www.cps.edu",,,,,"WELL-ORGANIZED","56","55.60","WEAK","STRONG","STRONG","STRONG","STRONG","NEUTRAL","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,"8",,,,,"14.6",,,,,,,,,,,,,,,,,"82.90",,,,,"27.60",,"1161156.132","1886950.606","41.84547684","-87.68406506","(-87.68406506, 41.84547684)"
"609761","George H Corliss High School","821 E 103rd St","Chicago","IL","60628","(773) 535-5115","http://www.corliss.cps.k12.il.us",,"LEVEL 3","ON PROBATION","12","MODERATELY ORGANIZED","83.10","90.20","NEUTRAL","NEUTRAL","NEUTRAL","NEUTRAL","NEUTRAL","WEAK","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90","41","1","99","5","6","6","5","13.1","13.3","11.3","13","13.9","73.20","60","41.40","48.50","53.30","45.50","38.70","45.30","45.60","61.40","88.7","51.5","78.50","68.60","2.6","5.3","78.10","73.60","94.70","95.20",,"2.10","7.10","1183649.971","1836810.314","41.70739096","-87.60307842","(-87.60307842, 41.70739096)"
"609716","Kelvyn Park High School","4343 W Wrightwood Ave","Chicago","IL","60639","(773) 534-4200","http://www.kelvynparkhs.org/",,"LEVEL 3","ON PROBATION","18","NOT YET ORGANIZED","66.70","82.10","WEAK","WEAK","WEAK","VERY WEAK","WEAK","WEAK","NEUTRAL","WEAK","WEAK","NOT CERTIFIED","STRONG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63","59","80","42","14","14","22","10","13.6","15.1","12.1","14.2","14.8","74.70","65.30","55.60","55","59.30","58.50","40","36.30","47.50","53","82.7","39.7","51.80","10.30","1.6","2.8","78.10","76.30","94.10","94.90",,"8","11.80","1146795.845","1916879.493","41.92789092","-87.73600171","(-87.73600171, 41.92789092)"
"400010","Architecture, Construction, and Engineering(ACE) Technical Charter","5410 S State St","Chicago","IL","60609","(773) 548-8705","http://www.acetechnical.org/",,"LEVEL 2","NOT APPLICABLE",,"PARTIALLY ORGANIZED","45.30","71.80","NEUTRAL","NOT ENOUGH DATA","NOT ENOUGH DATA","NEUTRAL","WEAK","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0",,"9","5","7","17","12.8","13.4","13.2","14.1","16.3",,,"65.30","61.50","67.30","78.80","56.60","64.70","67.10","66.70",,,,,,,"90.80","91.40",,,,"1.90","7.30","1177156.659","1869082.035","41.79609702","-87.62588513","(-87.62588513, 41.79609702)"
"609698","William J Bogan High School","3939 W 79th St","Chicago","IL","60652","(773) 535-2180","http://www.cps.edu",,"LEVEL 2","NOT ON PROBATION",,"NOT YET ORGANIZED","69.20","74.20","NEUTRAL","WEAK","WEAK","WEAK","WEAK","WEAK","WEAK","WEAK","WEAK","NOT CERTIFIED","DEVELOPING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","12","0","42","11","9","14","11","13.4","14.4","13.4","14.1","15.3","83","74.90","65.90","58.30","65.10","56","53.10","52.90","61.90","62.90","42.6","41.9","20.30","24.20","3.1","4.6","84","80.30","94.20","93.80",,"0.70","0.30","1151315.548","1851847.859","41.74934817","-87.72109673","(-87.72109673, 41.74934817)"
"610518","VOISE Academy High School","231 N Pine Ave","Chicago","IL","60644","(773) 534-0660","http://voise.cps.k12.il.us",,"LEVEL 3","ON PROBATION","3","ORGANIZED","86.30","92.30","NEUTRAL","NEUTRAL","NEUTRAL","STRONG","STRONG","NEUTRAL","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","INCOMPLETE DATA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","24","1","21","7","8","7","8","13.4","13.5","12.5","14.1","14.7","83.30","77.30","47.80","64.80","70.60",,"51.60",,,,"160.7","81.7","58.60","57.10","2.7","3.3","79.90","82","95.70","95.30",,"2.20","0.60","1139494.763","1901274.258","41.88520477","-87.76321191","(-87.76321191, 41.88520477)"
"609732","Charles P Steinmetz College Preparatory HS","3030 N Mobile Ave","Chicago","IL","60634","(773) 534-3030","http://www.steinmetzac.com/",,"LEVEL 2","NOT ON PROBATION",,"PARTIALLY ORGANIZED","79.30","94.10","NEUTRAL","NEUTRAL","NEUTRAL","NEUTRAL","WEAK","NEUTRAL","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","HEALTHY SCHOOLS CERTIFIED","DEVELOPING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39","68","8","58","20","23","23","17","14.9","15.4","13.7","14.7","16.2","85","73.60","57.60","53.80","62.30","58.60","48.20","46.80","58.10","61.30","60.8","58.6","34.90","36.50","2.2","3","87","82.20","94.50","95.70",,"0.50","8.20","1133838.348","1919613.694","41.93563171","-87.78355194","(-87.78355194, 41.93563171)"
"400022","Chicago High School for the Arts","521 E 35th St","Chicago","IL","60616","(773) 534-9710","http://www.chiarts.org/site/",,"LEVEL 2","NOT ON PROBATION",,"NOT ENOUGH DATA","0.70","0","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT ENOUGH DATA","NOT CERTIFIED","EXCELLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","59","39","27","54","49","60","54","16.7","18.2","16.6","17.2","19.9",,,"81.90",,,,,,,,"17","8.8","73.50","77.10","2.1","3.6","94.50","96.10",,,,"1.70","2.90","1180388.648","1881861.054","41.83109008","-87.61364086","(-87.61364086, 41.83109008)"
