Site Name,Clinic Type,Site Number,Hours of Operation,Street Address,City,State,ZIP,Phone 1,Phone 2,Phone 3,Phone 4,Phone 5,Fax ,Public Health Nursing,Family Case Management,Healthy Start Program,Healthy Families Program,WIC,Latitude,Longitude,Location,Wards,Census Tracts,Zip Codes,Community Areas,Historical Wards 2003-2015
Alivio Medical Center,WIC Clinic,106,"Mon, Tues, Thurs & Fri: 8:00 a.m. - 4:30 p.m.; Wed: 10:30 a.m. - 7:00 p.m.",2355 S. Western Ave.,Chicago,IL,60608,773-843-4220,773-650-1205,,,,773-650-1232,,,,,Y,41.8485826627697,-87.6853941892416,"(41.848583, -87.685394)",26,204,14920,33,8
Alivio Medical Center - Morgan,WIC Clinic,,Mon - Fri: 8:30 a.m. – 2:00 p.m.,966 W. 21st St.,Chicago,IL,60608,312-829-6838,,,,,312-949-7625,,,,,Y,41.8541501,-87.6532229,"(41.85415, -87.653223)",26,251,14920,33,8
"Asian Human Services Family Health Center, Inc.",WIC Clinic,,"Mon, Wed, Thurs & Fri: 9:00 a.m. - 5:00 p.m.; Tues: 11:00 a.m. - 7:00 p.m.",2424 W. Peterson Ave.,Chicago,IL,60659,773-761-2324,773-564-8114,,,,773-761-0009,,,,,Y,41.990601390534,-87.6907388634942,"(41.990601, -87.690739)",24,31,4450,20,46
Austin Clinic,WIC Clinic,19,Mon - Fri: 8:00 a.m. - 4:00 p.m.,4909 W. Division St.,Chicago,IL,60651,312-746-4797,312-746-4796,,,,312-746-4799,,,,,Y,41.9022123009897,-87.7488454100337,"(41.902212, -87.748845)",45,585,4299,26,4
Chicago Family Health Center,WIC Clinic,33,Mon - Fri: 8:00 a.m. - 4:00 p.m.,9119 S. Exchange Ave.,Chicago,IL,60617,"773-768-0373 ext. 1180, 1181, 1182",,,,,773-768-5264,,Y,,Y,Y,41.7294571200879,-87.5524778181968,"(41.729457, -87.552478)",47,510,21202,42,47
Englewood NHC,WIC Clinic,28,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues & Thurs: 9:00 a.m. - 5:00 p.m.",641 W. 63rd St.,Chicago,IL,60621,312-747-4814,312-747-4815,312-747-1241,312-745-0606,312-745-4261,312-745-7654,Y,Y,Y,,Y,41.7796923798942,-87.6414279129933,"(41.779692, -87.641428)",4,435,21559,66,53
Erie Health Center ,WIC Clinic,12,"Mon, Wed & Fri: 8:00 a.m. - 4:00 p.m.; Tues & Thurs: 10:00 a.m. - 6:00 p.m.",2418 W. Division St.,Chicago,IL,60622,312-744-8118,312-744-8119,,,,312-742-3415,,,,,Y,41.9031180442705,-87.6877798637138,"(41.903118, -87.68778)",49,302,21560,25,10
Erie Health Center ,WIC Clinic,,"Mon, Tues, Thurs & Fri: 8:30 a.m. - 5:00 p.m.; Wed: 10:00 a.m. - 5:00 p.m.",1701 W. Superior St.,Chicago,IL,60610,312-432-7372 ,,,,,312-666-6228,,,,,Y,41.8950055462436,-87.6698132252845,"(41.895006, -87.669813)",41,520,21560,25,24
Friend Family Health Center Inc.,WIC Clinic,23,Mon - Fri: 8:00 a.m. - 4:00 p.m.,800 E. 55th St.,Chicago,IL,60615,773-702-3719,773-795-9971,773-795-6299,,,773-702-9377,,,,,Y,41.7950752068089,-87.6060966092832,"(41.795075, -87.606097)",33,440,21192,8,32
Greater Lawn Health Center,WIC Clinic,5,Mon - Fri: 8:00 a.m. - 4:00 p.m.,4150 W. 55th St.,Chicago,IL,60632,312-747-5415,312-747-5416 ,312-745-0062,312-745-0064,312-745-0065,312-745-1435,,Y,,,Y,41.7932745562102,-87.7276640853016,"(41.793275, -87.727664)",6,793,22248,60,35
Henry Booth House,WIC Clinic,103,Mon - Fri: 9:00 a.m. - 5:00 p.m.; Sat: 9:00 a.m. - 4:00 p.m.,2907 S. Wabash,Chicago,IL,60616,312-225-1982 ,312-949-2132,312-949-2156 ,312-949-2129,,312-265-0643,,,,,Y,41.8416928120434,-87.6250831018228,"(41.841693, -87.625083)",9,191,21194,1,48
Lower West Side NHC,WIC Clinic,17,Mon - Fri: 8:00 a.m. - 4:00 p.m.,1713 S. Ashland Ave.,Chicago,IL,60608,312-743-0600,312-743-0597,312-743-743-0596,,,312-743-0599,,Y,,,Y,41.858282101206,-87.6660132643974,"(41.858282, -87.666013)",26,270,14920,33,8
Uptown NHC,WIC Clinic,1,"Mon, Wed & Fri :8:00 a.m. - 4:00 p.m.; Tues & Thurs: 9:00 a.m. - 5:00 p.m.",845 W. Wilson Ave.,Chicago,IL,60640,312-744-0073,312-744-1365,312-744-1354,312-744-1353,312-742-3661,312-742-1733,Y,Y,,,Y,41.9653665320897,-87.6517602437067,"(41.965367, -87.65176)",39,20,22616,31,37
Westside Health Partnership,WIC Clinic,121,Mon - Fri: 8:00 a.m. - 4:00 p.m.,2400 S. Kedzie Ave.,Chicago,IL,60623,773-542-0288,773-542-0289,773-542-0311,,,773-522-2161,,,,,Y,41.8480495688783,-87.7052946635722,"(41.84805, -87.705295)",1,291,21569,32,14
WIC Main Office,WIC Clinic,,Mon - Fri: 8:00 a.m. - 4:00 p.m.,"333 S. State St., 2nd Floor",Chicago,IL,60604,312-747-9140 ,312-747-9142,,,,312-747-8799,,,,,Y,41.8773969370361,-87.6275149317109,"(41.877397, -87.627515)",10,367,14912,38,48
