Name,Location Type,Category,Notes,Status,Latitude,Longitude,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
"606 Path  & Miwaukee Ave, Chicago, IL",Luftwerk Installation,,,Live,41.9140942,-87.683022,"(41.9140942, -87.683022)",1,23,22535,373,40
"Ashland & 63rd St., Chicago, IL",,Vision Zero - Pedestrian High Crash Intersection,,Live,41.779465,-87.664221,"(41.779465, -87.664221)",23,65,22257,277,2
"Ashland Av  & Division St, Chicago, IL",CDOT Placemaking Project,Urban Placemaking,,Live,41.9035068,-87.6671648,"(41.9035068, -87.6671648)",49,25,21560,483,11
"Ashland Ave  & 18th St, Chicago, IL",AQ,Urban Air Quality and Health Education,,Live,41.857779,-87.6683327,"(41.857779, -87.6683327)",43,33,14920,343,26
"Ashland Ave. & 31st Pl , Chicago, IL",,BRT,,Live,41.838713,-87.665778,"(41.838713, -87.665778)",43,33,14920,126,26
"Ashland Ave. & 47th, Chicago, IL",,COMPASS Study,,Live,41.808604,-87.664973,"(41.808604, -87.664973)",37,59,14924,123,4
"Ashland Ave. & 59th St., Chicago, IL",,Vision Zero - Other High Crash Locations,,Live,41.786747,-87.664394,"(41.786747, -87.664394)",23,65,22257,384,2
"Ashland Ave. & 79th St., Chicago, IL",,Vision Zero - Pedestrian High Crash Intersection,,Live,41.750357,-87.663437,"(41.750357, -87.663437)",59,70,21554,557,13
"Ashland Ave. & Elston, Chicago, IL",,North Branch Framework Project,,Live,41.924278,-87.668112,"(41.924278, -87.668112)",16,68,21190,210,40
"Ashland Ave. & Harrison, Chicago, IL",,BRT,,Live,41.8742,-87.666599,"(41.8742, -87.666599)",28,29,14917,5,46
"Ashland Ave. & Roosevelt Rd., Chicago, IL",,BRT,,Live,41.866861,-87.666384,"(41.866861, -87.666384)",43,29,14920,758,23
"Ashland Ave. & Washington, Chicago, IL",,BRT,,Live,41.885329,-87.66696,"(41.885329, -87.66696)",28,29,14917,63,46
"Ave L & 100th, Chicago, IL",,Public Health Air Quality Bloomberg Project,,Live,41.713883,-87.536487,"(41.713883, -87.536487)",25,49,21202,528,47
"Ave O & 126th, Chicago, IL",,Public Health Air Quality Bloomberg Project,,Live,41.666114,-87.539297,"(41.666114, -87.539297)",26,52,22250,787,47
"Broadway Ave. & Elmdale Ave., Chicago, IL",,COMPASS Study,,Planned,41.990916,-87.660294,"(41.990916, -87.660294)",14,76,4451,213,16
"Broadway Ave. & Lawrence Ave., Chicago, IL",,Vision Zero - Other High Crash Locations,,Live,41.969025,-87.65967,"(41.969025, -87.65967)",15,31,22616,634,39
"California Ave. & Devon Ave., Chicago, IL",,COMPASS Study,,Planned,41.997561,-87.699642,"(41.997561, -87.699642)",12,20,4450,40,27
"Campbell Ave & Addison St, Chicago, IL",Other-Education-Partners,Urban Air Quality and Health Education,,Live,41.946724,-87.692869,"(41.946724, -87.692869)",39,46,21538,110,18
"Chicago Ave. & Noble St., Chicago, IL",,Vision Zero - Other High Crash Locations,,Live,41.89615,-87.662405,"(41.89615, -87.662405)",49,25,22620,109,41
"Cicero Ave. & Chicago Ave., Chicago, IL",,Vision Zero - Pedestrian High Crash Intersection,,Live,41.895004,-87.745807,"(41.895004, -87.745807)",32,26,4299,578,23
"Cicero Ave. & Madison St., Chicago, IL",,Vision Zero - Pedestrian High Crash Intersection,,Live,41.880498,-87.745278,"(41.880498, -87.745278)",32,26,22216,696,23
"Clark St. & Montrose Ave., Chicago, IL",,Studio Gang/BET Study,,Live,41.961635,-87.665954,"(41.961635, -87.665954)",15,31,21186,611,18
