"tow_date","make","style","model","color","plate","state","towed_to_address","tow_facility_phone","inventory_number"
"2022-09-02T00:00:00.000","ACUR","4D",,"SIL","HE8302","IN","400 E. Lower Wacker","(312) 744-7550","0264952"
"2022-09-02T00:00:00.000","ACUR","4D",,"SIL","CY21129","IL","701 N. Sacramento","(773) 265-7605","7038451"
"2022-09-02T00:00:00.000","ACUR","LL",,"GRY","CW76923","IL","701 N. Sacramento","(773) 265-7605","7038440"
"2022-09-02T00:00:00.000","ALFA","4D",,"BLK","S177891","IL","400 E. Lower Wacker","(312) 744-7550","0264958"
"2022-09-02T00:00:00.000","ALFA","4D",,"BLK","S177891","IL","400 E. Lower Wacker","(312) 744-7550","0264958"
"2022-09-02T00:00:00.000","AUDI","4D",,"GRY","CB71680","IL","701 N. Sacramento","(773) 265-7605","7038432"
"2022-09-02T00:00:00.000","BMW","4D",,"BLK","AJD3752","WI","701 N. Sacramento","(773) 265-7605","7038439"
"2022-09-02T00:00:00.000","BUIC","LL",,"BRZ","AKS6552","WI","701 N. Sacramento","(773) 265-7605","7038450"
"2022-09-02T00:00:00.000","CADI","LL",,"BLK","7390LY","IL","10300 S. Doty","(773) 568-8495","2937180"
"2022-09-02T00:00:00.000","CHEV","4D",,"TAN",,"IL","10300 S. Doty","(773) 568-8495","2937175"
"2022-09-02T00:00:00.000","CHEV","4D",,"BLU","TNG909","IN","10300 S. Doty","(773) 568-8495","2937184"
"2022-09-02T00:00:00.000","CHEV","4D",,"GRY","AY85495","IL","400 E. Lower Wacker","(312) 744-7550","0264949"
"2022-09-02T00:00:00.000","CHEV","LD",,"SIL","CEP358","MI","400 E. Lower Wacker","(312) 744-7550","0264948"
"2022-09-02T00:00:00.000","CHEV","LL",,"SIL","S736784","IL","400 E. Lower Wacker","(312) 744-7550","0264939"
"2022-09-02T00:00:00.000","CHEV","LL",,"MAR","0029488A","IL","400 E. Lower Wacker","(312) 744-7550","0264950"
"2022-09-02T00:00:00.000","CHEV","LL",,"BLK","Z474173","IL","10300 S. Doty","(773) 568-8495","2937177"
"2022-09-02T00:00:00.000","CHEV","LL",,"RED","EMC5067","MI","701 N. Sacramento","(773) 265-7605","7038441"
"2022-09-02T00:00:00.000","CHEV","LL",,"BLK","CT51852","IL","701 N. Sacramento","(773) 265-7605","7038442"
"2022-09-02T00:00:00.000","CHEV","LL",,"BLK","IAX782","IA","400 E. Lower Wacker","(312) 744-7550","0264962"
"2022-09-02T00:00:00.000","CHRY","2D",,"RED","CD21714","IL","701 N. Sacramento","(773) 265-7605","7038452"
"2022-09-02T00:00:00.000","CHRY","4D",,"GLD","4481IP","IL","701 N. Sacramento","(773) 265-7605","7038445"
"2022-09-02T00:00:00.000","DODG","4D",,"GRY","CS21209","IL","701 N. Sacramento","(773) 265-7605","7038427"
"2022-09-02T00:00:00.000","DODG","VN",,"BLU",,"IL","701 N. Sacramento","(773) 265-1846","1544164"
"2022-09-02T00:00:00.000","DODG","VN",,"SIL","P553671","IL","400 E. Lower Wacker","(312) 744-7550","0264964"
"2022-09-02T00:00:00.000","FIAT","2D",,"RED","CE26605","IL","400 E. Lower Wacker","(312) 744-7550","0264961"
"2022-09-02T00:00:00.000","FORD","4D",,"WHI","3081A26","IL","10300 S. Doty","(773) 568-8495","2937178"
"2022-09-02T00:00:00.000","FORD","4D",,"BLK","ZV90705","IL","701 N. Sacramento","(773) 265-7605","7038433"
"2022-09-02T00:00:00.000","FORD","LL",,"SIL","ZY83408","IL","400 E. Lower Wacker","(312) 744-7550","0264963"
"2022-09-02T00:00:00.000","FORD","LL",,"BLU","509ZJA","CO","701 N. Sacramento","(773) 265-7605","7038428"
"2022-09-02T00:00:00.000","FORD","LL",,"BGE","DD94060","IL","10300 S. Doty","(773) 568-8495","2937174"
"2022-09-02T00:00:00.000","HOND","4D",,"WHI","BP23279","IL","701 N. Sacramento","(773) 265-7605","7038447"
"2022-09-02T00:00:00.000","HOND","4D",,"GRY","DA35591","IL","701 N. Sacramento","(773) 265-7605","7038443"
