"type","facility","street_address","city","state","zip","phone","website","hours","appointment","internet","wifi","training","location"
"Chicago Public Library","Dunning","7455 W. Cornelia Avenue","Chicago","IL","60634","(312) 743-0480","http://www.chipublib.org/branch/details/library/dunning/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","7455 W. Cornelia Avenue
Chicago, IL 60634
(41.94327523068454, -87.81342276248131)"
"Chicago Public Library","Toman","2708 S. Pulaski Road","Chicago","IL","60623","(312) 745-1660","http://www.chipublib.org/branch/details/library/toman/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","2708 S. Pulaski Road
Chicago, IL 60623
(41.842057117097625, -87.72449072211322)"
"Community Technology Center","Employment Resource Center","1623 W. Howard  ","Chicago","IL","60626","(773) 262-3515","http://www.howardarea.org","M-F: 9AM-5PM; SA: 9AM-1PM","No","true","false","true","1623 W. Howard
Chicago, IL 60626
(42.01932161883411, -87.67234371410865)"
"Chicago Public Library","Albany Park","5150 N. Kimball Avenue","Chicago","IL","60625","(312) 744-1933","http://www.chipublib.org/branch/details/library/albany-park/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","5150 N. Kimball Avenue
Chicago, IL 60625
(41.9748233717849, -87.71358525318179)"
"Chicago Public School","Sawyer Elementary School","5248 S Sawyer Ave","Chicago","IL","60632","(773) 535-9275","http://www.sawyer.cps.k12.il.us/","Call for hours","Yes ","true","true","false","5248 S Sawyer Ave
Chicago, IL 60632
(41.79807487236341, -87.70496379130239)"
"Community Technology Center","Continental Plaza CTC","1330 W. 76th St.","Chicago","IL","60620","(773) 487-3300","http://www.hhdc.org","T-TH: 10AM-7:30PM; F: 12:30PM-4:30PM","No","true","false","true","1330 W. 76th St.
Chicago, IL 60620
(41.75604636138337, -87.65702070974254)"
"Community Technology Center","Onward Neighborhood House","5423 W. Diversey Avenue","Chicago","IL","60639","(312) 666-6726","http://www.onwardhouse.org/","M-TH: 9AM-8PM; F: 12PM-8PM",,"true","false","true","5423 W. Diversey Avenue
Chicago, IL 60639
(41.93129013649463, -87.76233188616958)"
"Chicago Public School","Monroe Elementary School","3651 W Schubert Ave","Chicago","IL","60647","(773) 534-4155","http://www.jamesmonroeschool.org/education/school/school.php?sectionid=3","Call for hours","Yes ","true","true","false","3651 W Schubert Ave
Chicago, IL 60647
(41.930034174246124, -87.71872522327924)"
"Chicago Public Library","South Chicago","9055 S. Houston Avenue","Chicago","IL","60617","(312) 747-8065","http://www.chipublib.org/branch/details/library/south-chicago/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","9055 S. Houston Avenue
Chicago, IL 60617
(41.73091178472393, -87.54977619813424)"
"Community Technology Center","Jobs For Youth Chicago","17 North State Street, Sixth Floor","Chicago","IL","60602","(312) 499-4778","http://www.jfychicago.org","M-F: 9AM-5PM","No","true","false","false","17 North State Street, Sixth Floor
Chicago, IL 60602
(41.882571574517556, -87.62783159040407)"
"Community Technology Center","Centro Romero","6216 N. Clark St","Chicago","IL","60660","(773) 508-5300","http://www.centroromero.org","Call for hours","Yes","true","true","true","6216 N. Clark St
Chicago, IL 60660
(41.99489977625038, -87.67034334045123)"
"Community Technology Center","Jane Addams Resource Corporation Training CTC Satellite","4222 N. Ravenswood, Chicago, IL","Chicago","IL","60613","(773) 728-9769 x. 19","http://www.jane-addams.org","M-F: 9AM-5PM","No","true","false","true","4222 N. Ravenswood, Chicago, IL
Chicago, IL 60613
(41.9583650003377, -87.67445031787796)"
"Chicago Public Library","Altgeld","13281 S. Corliss Avenue","Chicago","IL","60827","(312) 747-3270","http://www.chipublib.org/branch/details/library/altgeld/","M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","false","13281 S. Corliss Avenue
Chicago, IL 60827
(41.654748194923336, -87.60220329340268)"
"Community Technology Center","Street-Level Youth Media","2459 W. Augusta Blvd.","Chicago","IL","60622","(773) 862-5331","http://www.street-level.org","M-F: 3PM-6PM",,"true","true","true","2459 W. Augusta Blvd.
Chicago, IL 60622
(41.89935292358433, -87.68922830534433)"
"Chicago Public School","Saucedo Scholastic Academy","2850 W 24th Blvd # 4250","Chicago","IL","60623","(773) 534-1770","http://www.cps.edu/Schools/Pages/school.aspx?unit=4250","SA: 11AM-12:45PM   ","Yes ","true","false","true","2850 W 24th Blvd # 4250
Chicago, IL 60623
(41.84792730804921, -87.69627163358797)"
"City Colleges of Chicago","Harold Washington College","30 E. Lake Street","Chicago","IL","60601","(312) 553-5655","http://hwashington.ccc.edu/","Call for hours","No","true","true","true","30 E. Lake Street
Chicago, IL 60601
(41.88581899050217, -87.62680071753468)"
"Chicago Public Library","Hall","4801 S. Michigan Avenue","Chicago","IL","60615","(312) 747-2541","http://www.chipublib.org/branch/details/library/hall/","M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed","NA","true","true","true","4801 S. Michigan Avenue
Chicago, IL 60615
(41.80740636174217, -87.62272923100159)"
"Community Technology Center","Rogers Park Computer Lab and Technology Center","1557 W. Howard","Chicago","IL","60626","(773) 508-5885","http://www.rogers-park.com","M-F: 9AM-5PM","Yes","true","true","true","1557 W. Howard
Chicago, IL 60626
(42.01930998858192, -87.67013118740422)"
