Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2017-2018,191,41.73715,-87.58437,1616 E 87TH ST,,CHICAGO,IL,60617,United States of America,Walgreens,http://www.Walgreens.com,773-978-7174,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_191,"(41.73715, -87.58437)",25,41,21202,431,35
2017-2018,26,41.9542,-87.7031,3001 W. Irving Park Rd.,,Chicago,IL,60618,United States of America,33rd Ward Office,,,,10/21/2017,10/21/2017,9:00:00,14:00:00,10/21/2017 09:00:00 AM,10/21/2017 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_26,"(41.9542, -87.7031)",39,16,21538,116,20
2017-2018,167,41.83196,-87.61641,3405 S KING DR,,CHICAGO,IL,60616,United States of America,Walgreens,http://www.Walgreens.com,312-326-4058,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_167,"(41.83196, -87.61641)",40,1,21194,581,10
2017-2018,100,41.79587,-87.68446,5360 SOUTH WESTERN AVENUE,,Chicago,IL,60609,United States of America,CVS/pharmacy,http://www.cvs.com,773-471-3160,,10/01/2016,09/01/2020,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 10:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_100,"(41.79587, -87.68446)",56,61,14924,778,3
2017-2018,205,41.9316,-87.7557,5140 W DIVERSEY AVE,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-685-8759,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2017-2018_205,"(41.9316, -87.7557)",21,19,22615,355,17
2017-2018,53,41.91838,-87.76475,5555 W. Grand Ave.,,Chicago,IL,60639,United States of America,Chicago Police Department - 25th District,,,,11/15/2017,11/15/2017,9:00:00,15:00:00,11/15/2017 09:00:00 AM,11/15/2017 03:00:00 PM,Wednesday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_53,"(41.91838, -87.76475)",2,19,22615,307,45
2017-2018,282,41.91082,-87.64665,711 W NORTH AVE STE 204,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,312-944-867,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 10:00 AM-5:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2017-2018_282,"(41.91082, -87.64665)",54,37,14926,108,11
2017-2018,97,41.9133,-87.8056,1819 NORTH HARLEM AVENUE,,Chicago,IL,60707,United States of America,CVS/pharmacy,http://www.cvs.com,773-237-8927,,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-10:00 PM, Tue: 8:00 AM-10:00 PM, Wed: 8:00 AM-10:00 PM, Thu: 8:00 AM-10:00 PM, Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details. Minimum Age Requirement for Flu Shot: 10.,,2017-2018_97,"(41.9133, -87.8056)",3,26,4454,598,7
2017-2018,207,41.9607,-87.7078,4343 N KEDZIE AVE,,CHICAGO,IL,60618,United States of America,Walgreens,http://www.Walgreens.com,773-604-4419,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2017-2018_207,"(41.9607, -87.7078)",39,16,21538,214,20
2017-2018,20,41.8595,-87.69085,2602 W. 16th St.,,Chicago,IL,60608,United States of America,28th Ward Office,,,,10/19/2017,10/19/2017,10:00:00,13:00:00,10/19/2017 10:00:00 AM,10/19/2017 01:00:00 PM,Thursday,,,"No cost to individual. If insured, insurance will be billed. Earn 200 Park Points here! Obtenga 200 Puntos Para Los Parques de Chicago!",,2017-2018_20,"(41.8595, -87.69085)",43,30,14920,16,23
