"business_name","dba_name","phone","fax","email","address_1","address_2","address_3","city","state","zip","zip4","business_description","primary_owner_salutation","primary_owner_first_name","primary_owner_last_name","primary_owner_suffix","certification_date","renewal_date","expiration_date","certified_description","location"
"WAECHTER ARCHITECTS, PC",,"773-728-3920","773-728-3927","MICHAEL@W-ARCH.COM","4536 NORTH RAVENSWOOD AVE.",,,"CHICAGO","IL","60640",,"Construction - Architecture Services","Mr.","Michael","Waechter",,"2018-01-24T00:00:00.000","2019-01-24T00:00:00.000","2022-01-24T00:00:00.000","Licensed Professional Services:  Architectural Design Services","4536 NORTH RAVENSWOOD AVE.
CHICAGO, IL 60640
(41.964098, -87.674568)"
"Miller's Heating and Cooling Consultants","Miller's Heating and Cooling","773-444-8432","773-233-7485","millersheatingandcooling2012@gmail.com","P.O. Box 557683",,,"Chicago","IL","60655",,"Construction",,"Maurice","Miller",,"2017-09-15T00:00:00.000","2018-11-14T00:00:00.000","2021-09-15T00:00:00.000","Construction:  HVAC Services","P.O. Box 557683
Chicago, IL 60655"
"Motion Solutions LLC",,"847-636-8477","847-729-5398","ts@motionsolutionsllc.com","9912 Irving Park Road",,,"Schiller Park","IL","60176",,"Construction","Mr.","Anthony E.","Swan",,"2017-05-24T00:00:00.000","2018-05-24T00:00:00.000","2021-05-24T00:00:00.000","Construction:  Elevator Installation and Repair","9912 Irving Park Road
Schiller Park, IL 60176
(41.955885, -87.87386)"
"Vernate Construction Inc.",,"708-420-8396","708-420-8396","nbrown@vernateconstruction.com","1392 west 103rd st. Chicago IL 60643",,,"Chicago","IL","60643",,"Construction:  Carpentry, Drywall, Taping and Painting","Mr.","Nate","Brown",,"2016-04-04T00:00:00.000","2017-06-03T00:00:00.000","2020-04-04T00:00:00.000",,"1392 west 103rd st. Chicago IL 60643
Chicago, IL 60643
(41.706764, -87.656984)"
"Vernate Construction Inc.",,"708-420-8396","708-420-8396","nbrown@vernateconstruction.com","1392 west 103rd st. Chicago IL 60643",,,"Chicago","IL","60643",,"Construction:  Carpentry, Drywall, Taping and Painting","Mr.","Nate","Brown",,"2017-04-04T00:00:00.000","2018-04-03T00:00:00.000","2020-04-04T00:00:00.000","Construction:  Carpentry, Drywall, Taping and Painting","1392 west 103rd st. Chicago IL 60643
Chicago, IL 60643
(41.706764, -87.656984)"
"PC Net Services",,"815-545-4439","630-897-3944","k.pyles@comcast.net","2534 Simon Drive",,,"Montgomery","IL","60538",,"Technology","Mr","Kelly","Pyles",,"2016-08-17T00:00:00.000","2017-08-17T00:00:00.000","2020-08-17T00:00:00.000","Technology:  IT Consulting, LAN WAN Design Management and Administration, Disaster Recovery and Business Continuity Planning Data Communication","2534 Simon Drive
Montgomery, IL 60538
(41.708578, -88.405491)"
"R & S Construction, Inc.",,"773-256-8348","773-256-8348","rsconstruction28@yahoo.com","1512 E 73rd place",,,"Chicago","IL","60619",,"Construction:  General Contractor - Rehab & New Construction, Painting, Carpentry",,"Jerry","Robertson",,"2017-02-27T00:00:00.000","2018-02-27T00:00:00.000","2021-02-27T00:00:00.000","Construction:  General Contractor - Rehab & New Construction, Painting, Carpentry","1512 E 73rd place
Chicago, IL 60619
(41.761456, -87.587899)"
"EMT Demolition Inc","EMT Demolition Inc","773-407-3836","773-483-0452","emtdemo2@yahoo.com","8159 S. Morgan",,,"Chicago","IL","60620",,"Construction:  Interior & Exterior Demolition; Excavation",,"Lamar","Smith",,"2017-05-22T00:00:00.000","2018-05-22T00:00:00.000","2022-05-22T00:00:00.000","Construction:  Interior & Exterior Demolition; Excavation","8159 S. Morgan
Chicago, IL 60620
(41.745165, -87.648752)"
"Gideon's 300 Security Services, Inc.",,"708-335-4380","708-335-4514","info@g300security.com","16901 Dixie Highway",,,"Hazel Crest","IL","60429","1340","Guard and Security Services (Including Traffic Control)","Mr.","Lawrence","Moore",,"2017-06-28T00:00:00.000","2018-06-28T00:00:00.000","2020-06-28T00:00:00.000","Licensed Professional Services:  Security Guard and Security Services; Safety and Security Consultants","16901 Dixie Highway
Hazel Crest, IL 60429
(41.582461, -87.665526)"
"Junkvets, Inc.",,"708-466-2588",,"hector@junkvets.com","18417 wentworth ave. unit 108",,,"Lansing","IL","60438",,"Facilities:  Cleaning Services � Home & Office",,"Hector","Caballero",,"2017-08-10T00:00:00.000","2018-08-10T00:00:00.000","2022-08-10T00:00:00.000","Facilities:  Cleaning Services � Home & Office","18417 wentworth ave. unit 108
Lansing, IL 60438
(41.56023, -87.529604)"
"Viking Brothers, Inc.",,"630-897-7799","630-897-7798","vbiinc@sbcglobal.net","1665 Eastwood Drive,",,,"Aurora","IL","60506",,"Transportation:  Construction Heavy Debris Removal","Mr.","Craig","Melby",,"2018-08-13T00:00:00.000","2019-08-13T00:00:00.000","2023-08-13T00:00:00.000","Transportation:  Construction Heavy Debris Removal and Aggregate Supplier","1665 Eastwood Drive,
Aurora, IL 60506
(41.789927, -88.336715)"
