SITE TYPE,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,MONDAY-OPEN,MONDAY-CLOSE,TUESDAY-OPEN,TUESDAY-CLOSE,WEDNESDAY-OPEN,WEDNESDAY-CLOSE,THURSDAY-OPEN,THURSDAY-CLOSE,FRIDAY-OPEN,FRIDAY-CLOSE,SATURDAY-OPEN,SATURDAY-CLOSE,SUNDAY-OPEN,SUNDAY-CLOSE,ADDITIONAL NOTES,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards,Historical Wards 2003-2015
Library,Chicago Lawn,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",6120 S Kedzie Ave ,Chicago,IL,60629,(312) 747-0639,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6120 Kedzie Ave
Chicago, IL 60629
(41.781976295716, -87.703294320756)",64,21867,58,344,6,44
Library,Roosevelt,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1101 W Taylor St,Chicago,IL,60607,(312) 746-5656,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1101 Taylor St
Chicago, IL 60607
(41.86943247967, -87.654442529251)",29,14917,44,87,26,8
Library,Avalon,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",8148 S Stony Island Ave ,Chicago,IL,60617,(312) 747-5234,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"8148 Stony Island Ave
Chicago, IL 60617
(41.746342273519, -87.585878217737)",41,21202,61,133,35,9
Police Station,District 4,Open Saturday And Sunday,2255 E 103rd St,Chicago,IL,60617,(312) 747-7581,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"2255 103rd St
Chicago, IL 60617
(41.708010995084, -87.567606260854)",48,21202,25,174,37,47
Community Service Center,King Center,Mon - Fri 9:00 A.M. To 5:00 P.M.,4314 S Cottage Grove Ave,Chicago,IL,60653,311,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,CLOSED,CLOSED,,"4314 Cottage Grove Ave
Chicago, IL 60653
(41.816273554518, -87.606697522715)",5,4301,36,161,10,1
Library,Little Village,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",2311 S Kedzie Ave,Chicago,IL,60623,(312) 745-1862,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"2311 Kedzie Ave
Chicago, IL 60623
(41.849672638623, -87.705112913396)",32,21569,57,261,1,36
Library,Clearing,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",6423 W 63rd Place,Chicago,IL,60638,(312) 747-5657,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"6423 63rd Place
Chicago, IL 60638
(41.776696025249, -87.781792934154)",62,22268,7,336,6,35
Police Station,District 12,Open Saturday And Sunday,100 S Racine Ave,Chicago,IL,60607,(312) 746-8309,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"100 Racine Ave
Chicago, IL 60607
(41.880292540229, -87.657186052803)",29,14917,44,91,46,41
Library,Chicago Bee,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",3647 S State St,Chicago,IL,60609,(312) 747-6872,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3647 State St
Chicago, IL 60609
(41.828144605304, -87.626455627699)",1,14924,36,446,9,12
Library,Harold Washington-HWLC,"M-th: 9am-9pm; F, Sa: 9am-5pm; Su: 1pm-5pm",400 S State St,Chicago,IL,60605,(312) 747-4300,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,9:00PM,9:00AM,5:00PM,9:00AM,5:00PM,1:00PM,5:00PM,,"400 State St
Chicago, IL 60605
(41.876895532792, -87.627724810386)",38,14913,35,92,10,48
Library,Wrightwood-Ashburn,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",8530 S Kedzie Ave,Chicago,IL,60652,(312) 747-2696,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"8530 Kedzie Ave
Chicago, IL 60652
(41.738365456793, -87.702155026949)",69,4300,8,198,30,6
Library,Edgewater,"M: Closed; Tu-th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed; ",1210 W Elmdale Ave,Chicago,IL,60660,(312) 744-0718,CLOSED,CLOSED,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1210 Elmdale Ave
Chicago, IL 60660
(41.990942289427, -87.660789876864)",76,4451,14,536,16,40
Library,West Englewood,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",1745 W 63rd St,Chicago,IL,60636,(312) 747-3481,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1745 63rd St
Chicago, IL 60636
(41.779344520875, -87.668146107172)",65,22257,23,280,3,44
Library,Lozano,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",1805 S Loomis St,Chicago,IL,60608,(312) 746-4329,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"1805 Loomis St
Chicago, IL 60608
(41.857820778175, -87.66122498708)",33,14920,43,365,26,8
Library,Thurgood Marshall,"M, W: 12pm-8pm; Tu, Th: 10am-6pm; F, Sa: 9am-5pm; Su: Closed",7506 S Racine Ave,Chicago,IL,60620,(312) 747-5927,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"7506 Racine Ave
Chicago, IL 60620
(41.757451722089, -87.653982260573)",70,21554,59,572,31,17
Police Station,District 22,Open Saturday And Sunday,1900 W Monterey Ave,Chicago,IL,60643,(312) 745-0710,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"1900 Monterey Ave
Chicago, IL 60643
(41.691375104539, -87.668498787512)",74,22212,13,378,42,33
Police Station,District 5,Open Saturday And Sunday,727 E 111th St,Chicago,IL,60628,(312) 747-8210,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,12:00AM,11:59PM,12:00AM,11:59PM,,"727 111th St
Chicago, IL 60628
(41.692768796775, -87.605464619662)",47,21861,19,601,43,30
Library,Logan Square,"M, W: 10am-6pm;  Tu, Th: 12pm-8pm; F, Sa: 9am-5pm; Su: Closed",3030 W Fullerton Ave,Chicago,IL,60647,(312) 744-5295,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,9:00AM,5:00PM,9:00AM,5:00PM,CLOSED,CLOSED,,"3030 Fullerton Ave
Chicago, IL 60647
(41.924785750573, -87.703419606967)",23,22535,1,549,40,15
