"benchmark_number","northing","easting","elevation","location_description","location_description_2","mark_description","year_benchmark_elevation_fixed","book_number","latitude","longitude","estimated_location"
"336.000000","1938919.693000","1151673.827000","18.742000","8.7' W. OF E. LINE OF DRAKE AVE.","18.6' S. OF S. LINE OF THORNDALE AVE.",,"1975.000000","82.000000","41.98827611790","-87.71749480990","(41.9882761179, -87.7174948099)"
"224.000000","1913219.348000","1129704.525000","66.827000","8.8' S. OF THE N. LINE OF DICKENS AVE.","2.6' W. OF THE W. LINE OF N. NEWLAND AVE.","IN BOOKS 369 - 372","1937.000000","369.000000","41.91815657650","-87.79889078410","(41.9181565765, -87.7988907841)"
"330.000000","1845380.194000","1196564.022000","8.710000","14.5' E. OF W. LINE OF MUSKEAGON AVE.","169.8' N. OF N. LINE OF E. 91ST ST.","N. OF N.W. COR.","1976.000000","404.000000","41.73059723000","-87.55550431940","(41.73059723, -87.5555043194)"
"279.000000","1891401.422000","1173156.595000","11.614000","46.7' S. OF S. LINE OF W. 18TH ST.
3' E. OF E. CURB LINE","6.5' W. OF E. LINE OF S. NORMAL AVE.                                                1.5' S. OF CONCRETE DRIVE","ELEVATION PRIOR TO 1966 WAS 11.72","1966.000000","63.000000","41.85743282520","-87.63989292360","(41.8574328252, -87.6398929236)"
"594.000000","1936971.951000","1153728.135000","16.195000","29.5 FEET SOUTH OF THE SOUTH LINE OF W BRYN MAWR AVENUE","11.5 FEET WEST OF THE EAST LINE OF N SAWYER AVENUE",,"1983.000000","470.000000","41.98289062780","-87.70999097540","(41.9828906278, -87.7099909754)"
"578.000000","1902245.816000","1136410.922000","38.428000","11.0 NORTH OF THE SOUTH LINE OF W LAKE STREET","74.0 FEET EAST OF THE EAST LINE OF N AUSTIN BOULEVARD",,"1982.000000","410.000000","41.88792651560","-87.77451326070","(41.8879265156, -87.7745132607)"
"478.000000","1950168.184000","1155835.609000","17.095000","47.8 FEET SOUTH OF THE SOUTH LINE OF W HOWARD STREET","12.5 FEET WEST OF THE EAST LINE OF N FRANCISCO AVENUE",,"1983.000000","228.000000","42.01905928370","-87.70188219140","(42.0190592837, -87.7018821914)"
"456.000000","1858282.557000","1167037.815000","21.484000","12.0 FEET NORTH OF THE SOUTH LINE OF W 70TH STREET","6.0 FEET WEST OF THE WEST LINE OF ALLEY EAST OF S ASHLAND AVE",,"1970.000000","212.000000","41.76668442190","-87.66330012110","(41.7666844219, -87.6633001211)"
"1.000000","1899922.177000","1175111.006000","17.640000","MARK CUT ON TOP OF BOTTOM STONE OF GRANITE BASE AT S.E. CORNER OF NORTHERN TRUST CO. BANK BUILDING 3.22' ABOVE SIDEWALK. CAISSONS TO ROCK.",,"THIS BENCH MADE PRIMARY BENCH FOR THE CITY OF CHICAGO. SEE ORDINANCE OF SEPT. 12, 1928, PAGE 3460 OF COUNCIL PROCEEDINGS.","1928.000000","0.000000","41.88077079670","-87.63246380610","(41.8807707967, -87.6324638061)"
"261.000000","1903250.331000","1152606.821000","22.286000","21' N OF N. LINE OF FRANKLIN BLVD.","12.7' E. OF W. LINE OF DRAKE AVE.","ELEVATION PRIOR TO 1965 WAS 22.292","1965.000000","262.000000","41.89037817890","-87.71500945480","(41.8903781789, -87.7150094548)"
"600.000000","1831287.119000","1205075.272000","6.456000","4.5 FEET NORTH OF THE SOUTH LINE OF EAST 112TH STREET","20.5 FEET WEST OF THE WEST LINE OF S STATE LINE ROAD",,"1984.000000","484.000000","41.69170951270","-87.52481039340","(41.6917095127, -87.5248103934)"
"368.000000","1864949.376000","1153591.083000","24.135000","9.2' S. OF N. LINE OF W. 59TH PL.","120.2' E. OF E. LINE OF S. CENTRAL PARK AVE.","E. OF N.E. COR.","1968.000000","95.000000","41.78525607520","-87.71241157960","(41.7852560752, -87.7124115796)"
"305.000000","1857590.303000","1188308.503000","7.329000","9.6' S. OF N. LINE OF E. 72ND ST.","11.5' W. OF W. LINE OF 1ST ALLEY E. OF STONY ISLAND AVE.
(98.6' E. OF E. LINE OF STONY ISLAND AVE.)",,"1973.000000","371.000000","41.76430367300","-87.58535770070","(41.764303673, -87.5853577007)"
"429.000000","1947829.066000","1159403.583000","31.973000","8.7 FEET WEST OF EAST LINE OF CLAREMONT AVENUE","77.1 FEET NORTH OF NORTH LINE OF TOUHY AVENUE",,"1983.000000","406.000000","42.01256770050","-87.68881731970","(42.0125677005, -87.6888173197)"
"512.000000","1920641.508000","1138828.701000","39.186000","50.3 FEET SOUTH OF THE SOUTH LINE OF W BELMONT AVENUE","11.0 FEET WEST OF THE EAST LINE OF N LUNA AVENUE",,"1974.000000","377.000000","41.93836285850","-87.76518673880","(41.9383628585, -87.7651867388)"
"547.000000","1859908.303000","1148879.627000","36.825000","50.0 FEET NORTH OF THE NORTH LINE OF W MARQUETTE RD","11.0 FEET WEST OF THE EAST LINE OF S KILDARE AVENUE","CONSTRUCTED IN 1977","1980.000000","450.000000","41.77151462200","-87.72981582150","(41.771514622, -87.7298158215)"
"19.000000","1884621.531000","1172107.075000","13.203000","10.6 FEET E. OF THE W. LINE OF S. UNION AVE.","249.7 FEET N. OF W. 31 STREET","ELEVATION PREVIOUS TO 1966 WAS 13.205","1966.000000","271.000000","41.83885144310","-87.64394502040","(41.8388514431, -87.6439450204)"
