Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Sun,08/05/2018,Hamilton Park,(312) 747-6174,Black Panther,Y,PG-13,,513 W. 72nd St.,"513 W. 72nd St.
Chicago, IL
(41.763495, -87.637669)",11,66,21559,511,32
Fri,06/15/2018,Vittum Park,(773) 284-6022,Justice League,Y,PG-13,,5010 W. 50th St.,"5010 W. 50th St.
Chicago, IL
(41.802024, -87.748205)",7,53,22268,605,28
Sun,07/22/2018,Bessemer Park,(312) 747-6023,Star Wars: The Last Jedi,Y,PG-13,,8930 S. Muskegon Ave.,"8930 S. Muskegon Ave.
Chicago, IL
(41.732921, -87.555452)",25,42,21202,175,47
Thu,06/21/2018,Osterman Beach,(312) 742-1134,Donkey Skin (Peau d'ane),Y,NR,The Cultural Services at the Consulate General of France in Chicago,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Thu,06/21/2018,Altgeld Park,(312) 746-5001,Justice League,Y,PG-13,,515 S. Washtenaw Ave.,"515 S. Washtenaw Ave.
Chicago, IL
(41.874341, -87.693699)",28,28,21184,38,23
Thu,08/16/2018,West Pullman Park,(312) 747-7090,The Fate of the Furious,Y,PG-13,,401 W. 123rd St.,"401 W. 123rd St.
Chicago, IL
(41.670629, -87.6324)",19,50,21861,7,22
Fri,07/20/2018,Armour Square Park,(312) 747-6012,Cars 3,Y,G,,3309 S. Shields Ave.,"3309 S. Shields Ave.
Chicago, IL
(41.834212, -87.635226)",40,35,21194,376,48
Sun,06/17/2018,Jonquil Playlot Park,(312) 742-7816,Paddington 2,Y,PG,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Mon,07/16/2018,Osterman Beach,(312) 742-1134,9 to 5,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,
Sat,08/25/2018,Oz Park,(312) 742-7898,The Wizard of Oz,Y,G,,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)",16,68,21190,798,34
Fri,06/29/2018,Kelly Park,(312) 747-6197,Jumanji: Welcome to the Jungle,Y,PG-13,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL
(41.819371, -87.693257)",56,55,22248,641,1
Sun,08/12/2018,La Villita Park,(312) 747-6608,LVEJO Film Showcase,N,NR,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL",,,,,
Fri,07/06/2018,Dunham Park,(773) 685-3257,The Sandlot,Y,PG,,4638 N. Melvina Ave.,"4638 N. Melvina Ave.
Chicago, IL
(41.965863, -87.781985)",48,15,21869,95,19
Tue,08/07/2018,A. Montgomery Ward Park,(312) 742-7895,The Post,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Fri,06/15/2018,Bell Park,(312) 746-5008,Wonder,Y,PG,,3020 N. Oak Park Ave.,"3020 N. Oak Park Ave.
Chicago, IL
(41.935253, -87.795593)",52,18,22254,397,44
Wed,08/01/2018,Merrimac Park,(773) 685-3382,Coco,Y,PG,,6343 W. Irving Park Rd.,"6343 W. Irving Park Rd.
Chicago, IL
(41.952941, -87.785768)",52,15,22254,131,19
Sun,08/26/2018,Jonquil Playlot Park,(312) 742-7816,Mary Poppins,Y,G,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)",16,68,21190,795,34
Thu,07/05/2018,Wicker Park,(312) 742-7553,Ghost,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)",4,25,21560,481,41
Tue,06/19/2018,A. Montgomery Ward Park,(312) 742-7895,Jumanji: Welcome to the Jungle,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Fri,08/03/2018,Nat King Cole Park,(312) 747-6063,Justice League,Y,PG-13,,361 E. 85th St.,"361 E. 85th St.
Chicago, IL
(41.740144, -87.615445)",61,40,21546,406,32
Mon,07/30/2018,Chippewa Park,(773) 731-0380,Trolls,Y,PG,Debra & Ira Silverstein,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL
(42.004271, -87.70461)",12,20,22528,32,27
Sat,08/25/2018,Wolfe Playground Park,(312) 747-7005,Cars 3,Y,G,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL
(41.699136, -87.543168)",25,49,21202,602,47
Wed,07/11/2018,"Bartelme, Mary Park",(312) 746-5962,The Princess Bride,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26
Sat,08/18/2018,Churchill Field Playlot Park,(312) 742-7554,Roman Holiday,Y,NR,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)",4,23,21560,179,40
Fri,08/17/2018,Revere Park,(773) 478-1220,Spark: A Space Tail,Y,PG,,2509 W. Irving Park Rd.,"2509 W. Irving Park Rd.
Chicago, IL
(41.95398, -87.691084)",39,46,21538,110,18
Tue,08/07/2018,Cragin Park,(312) 746-5065,Selena,Y,PG,,2611 N. Lockwood Ave.,"2611 N. Lockwood Ave.
Chicago, IL
(41.9282, -87.758743)",2,19,22615,80,17
Tue,08/21/2018,McKinley Park,(312) 747-6527,A Dog's Purpose,Y,PG,,2210 W. Pershing Rd.,"2210 W. Pershing Rd.
Chicago, IL
(41.823114, -87.679668)",37,56,14924,719,1
Thu,08/23/2018,DuSable Museum of African American History,(312) 742-1134,Elevator to the Gallows (Ascenseur pour l'Echafaud),Y,NR,The Cultural Services at the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)",60,8,22260,154,33
Sun,08/12/2018,Walsh Playground Park,(312) 742-7769,The Secret Life of Pets,Y,PG,The Wicker Park Bucktown Chamber of Commerce,1722 N. Ashland Ave.,"1722 N. Ashland Ave.
Chicago, IL
(41.912858, -87.667823)",4,25,21560,437,40
Tue,07/10/2018,Chicago History Museum,(312) 742-1134,Back to the Future,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)",16,68,21190,271,34
Tue,08/21/2018,A. Montgomery Ward Park,(312) 742-7895,Coco,Y,PG,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)",55,37,4446,652,36
Mon,07/23/2018,Harold Washington Playlot Park,(312) 747-6620,The Wiz,Y,G,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.801011, -87.584541)",10,8,21192,405,33
