"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1418489","DRIVER","2d3ea3cda8269c4fefd5ef7e3d5d0ec8702f1299d19f8fe1f9304a5f51661dafe6e237b2153fc3354cc47bdb7eeee53fbbca844ab57ca5d2bfbb2c76e6b61217",,"1348013","2022-09-13T00:27:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418478","DRIVER","9e8674548f488a9d104ffa4c00f8c228b00b5899f4375b547f12895f0ca1fa6b174275b833c6d0da6b49cd1bdbb4c2f744b2ffc31421f3373a252fc613ed7e63",,"1347990","2022-09-12T23:30:00.000",,"CHICAGO","IL","60638","F","46","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418472","DRIVER","8e689f900117c0e44bbc082afdc1cc2987dd24f0274eaa80f5701cbcc219f13adea44b264c044fe45f616843cd0a6f5e0bed23d1173e764e33169f57aba1acfc",,"1347989","2022-09-12T22:30:00.000",,"CHICAGO","IL","60623","F","41","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1418473","DRIVER","8e689f900117c0e44bbc082afdc1cc2987dd24f0274eaa80f5701cbcc219f13adea44b264c044fe45f616843cd0a6f5e0bed23d1173e764e33169f57aba1acfc",,"1347993","2022-09-12T22:30:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P315119","PASSENGER","8e689f900117c0e44bbc082afdc1cc2987dd24f0274eaa80f5701cbcc219f13adea44b264c044fe45f616843cd0a6f5e0bed23d1173e764e33169f57aba1acfc",,"1347989","2022-09-12T22:30:00.000","3",,"IL",,,,,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418474","DRIVER","fd8a1b81a3e0b35f4c15d8b3a80a151bfd800425554a04dadb1261a0795015e2686bfbbad357241ef53e5b67da50d850114e3c6df063a03565f17cdcdbcd0fb5",,"1347986","2022-09-12T22:15:00.000",,"CHICAGO","IL","60621","M","59","IL",,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1418475","DRIVER","fd8a1b81a3e0b35f4c15d8b3a80a151bfd800425554a04dadb1261a0795015e2686bfbbad357241ef53e5b67da50d850114e3c6df063a03565f17cdcdbcd0fb5",,"1347988","2022-09-12T22:15:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1418457","DRIVER","de4a2cc5fa9a656c2e59bacd7324f950eaf2273f598b2aa34a4df532fff892da7a73a96935288018e1b42b485a541fae1013a594d05d0e4752463060ff9c71ee",,"1347971","2022-09-12T22:03:00.000",,,,,"M","33",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","DNA",,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P315107","PASSENGER","de4a2cc5fa9a656c2e59bacd7324f950eaf2273f598b2aa34a4df532fff892da7a73a96935288018e1b42b485a541fae1013a594d05d0e4752463060ff9c71ee",,"1347971","2022-09-12T22:03:00.000","3",,,,"F",,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1418466","DRIVER","8932fe8d347da5d68403404cdc48f4d548cb0fd519a13a105883a450a7de6d709adefec0f2cd5a4b94b69e6569265a44de90d09322edacb5935a936dd5114753",,"1347980","2022-09-12T21:24:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
