Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2014-2015,67,41.70260618,-87.53613075,3611 E 106TH ST,,CHICAGO,IL,60617,United States of America,Walgreens,http://www.Walgreens.com,773-978-1988,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,,,2014-2015_67,"(41.70260618, -87.53613075)",25,49,21202,602,47
2014-2015,117,41.88144131,-87.68537847,2340 W MADISON ST,,CHICAGO,IL,60612,United States of America,Walgreens,http://www.Walgreens.com,312-226-7913,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_117,"(41.88144131, -87.68537847)",28,29,21184,37,46
2014-2015,185,41.74982767,-87.68209182,7901 S WESTERN AVE,,CHICAGO,IL,60620,United States of America,Walgreens,http://www.Walgreens.com,773-434-3621,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_185,"(41.74982767, -87.68209182)",59,69,21554,243,30
2014-2015,314,41.96139778,-87.65459297,4355 North Sheridan,,Chicago,IL,60613,United States of America,Jewel-Osco 3455,http://www.jeweloscopharmacies.com,773-525-4766,,08/12/2014,03/01/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2014-2015_314,"(41.96139778, -87.65459297)",53,31,21186,577,39
2014-2015,153,41.939799,-87.653999,1001 W BELMONT AVE,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-477-1151,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-7:00 PM, Sat: Closed, Sun: Closed",,,,2014-2015_153,"(41.939799, -87.653999)",22,57,4449,681,25
2014-2015,265,41.88902,-87.6317,121 WEST KINZIE STREET,,CHICAGO,IL,60610,United States of America,CVS/pharmacy,http://www.cvs.com,312-970-2881,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 8:00 AM-9:00 PM, Tue: 8:00 AM-9:00 PM, Wed: 8:00 AM-9:00 PM, Thu: 8:00 AM-9:00 PM, Fri: 8:00 AM-9:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_265,"(41.88902, -87.6317)",55,37,4446,670,36
2014-2015,186,41.91095006,-87.72605814,1627 N PULASKI RD,,CHICAGO,IL,60639,United States of America,Walgreens,http://www.Walgreens.com,773-772-5432,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_186,"(41.91095006, -87.72605814)",1,24,22615,391,49
2014-2015,44,41.76448442,-87.61540433,7140 S DR MARTIN LUTHER KING JR DR,,CHICAGO,IL,60619,United States of America,6th Ward-Meyering Park,,773-635-0006,Brian Sleet,10/11/2014,10/11/2014,10:00:00,13:00:00,10/11/2014 10:00:00 AM,10/11/2014 01:00:00 PM,Saturday,,No limitations.,"No cost to individual. If insured, insurance will be billed.",Free to individual. Insurance will be billed.,2014-2015_44,"(41.76448442, -87.61540433)",61,67,21546,474,32
2014-2015,216,41.97531,-87.78332,6200 WEST HIGGINS AVENUE,,CHICAGO,IL,60630,United States of America,CVS/pharmacy,http://www.cvs.com,773-775-9316,,09/01/2014,03/31/2015,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 9:00 AM-9:00 PM, Tue: 9:00 AM-9:00 PM, Wed: 9:00 AM-9:00 PM, Thu: 9:00 AM-9:00 PM, Fri: 9:00 AM-9:00 PM, Sat: 9:00 AM-6:00 PM, Sun: 9:00 AM-6:00 PM",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_216,"(41.97531, -87.78332)",48,11,21869,779,50
2014-2015,282,41.8806,-87.62576,105 SOUTH WABASH AVENUE,,CHICAGO,IL,60603,United States of America,CVS/pharmacy,http://www.cvs.com,312-244-1521,,09/01/2014,03/31/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon: 6:30 AM-7:00 PM, Tue: 6:30 AM-7:00 PM, Wed: 6:30 AM-7:00 PM, Thu: 6:30 AM-7:00 PM, Fri: 6:30 AM-7:00 PM, Sat: Closed, Sun: Closed",,Call for details.,Minimum Age Requirement for Flu Shot: 10.,2014-2015_282,"(41.8806, -87.62576)",34,38,14311,367,36
2014-2015,187,41.7987,-87.743095,5414 S ARCHER AVE,,CHICAGO,IL,60638,United States of America,Walgreens,http://www.Walgreens.com,773-581-1664,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-10:00 PM, Sat: 10:00 AM-6:00 PM, Sun: 9:00 AM-5:00 PM",,,,2014-2015_187,"(41.7987, -87.743095)",7,53,22268,173,8
