"committee","seat_code","seat_name","appointer","firstname","lastname","term_start","term_end","appointment_start","appointment_end"
"Animal Control Commission","C-1","Council Appointment","Common Council","Sita","Cohen","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Animal Control Commission","C-2","Council Appointment","Common Council","Chris","Hazel","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Animal Control Commission","M-1","Veterinarian","Mayor","Laura","Soto","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Animal Control Commission","M-2","Mayoral Appointment","Mayor","Nancy","Riggert","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Animal Control Commission","M-3","Mayoral Appointment","Mayor","Sue","Allmon","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-02T00:00:00.000",
"Animal Control Commission","MCC","Monroe County Commissioners Appointment","Monroe County Commissioners","Valerie","Pena","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","C-1","Council Appointment","Common Council","Ann","Edmonds","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-04-07T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","C-2","Council Appointment","Common Council","Casey","Green","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-04-07T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","C-3","Council Appointment","Common Council","Mitch","Rice","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-16T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","M-1","Mayoral Appointment","Mayor","Jaclyn","Ray","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","M-2","Mayoral Appointment","Mayor","Paul","Ash","2022-02-01T00:00:00.000","2024-01-31T00:00:00.000","2022-02-01T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","M-3","Mayoral Appointment","Mayor","Zac","Huneck","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"Bicycle and Pedestrian Safety Commission","M-4","Mayoral Appointment","Mayor","Sarah Isabella","Waters","2021-02-01T00:00:00.000","2023-01-31T00:00:00.000","2021-02-01T00:00:00.000",
"BIDAC (Bloomington Industrial Development Advisory Commission)","G-1","Governor's Appointment","Governor",,,,,,
"BIDAC (Bloomington Industrial Development Advisory Commission)","LG-1","Lieutenant Governor Appointment","Lieutenant Governor",,,,,,
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-1","Bloomington Resident","Mayor",,,,,,
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-2","City Employee","Mayor","Philippa","Guthrie",,,"2017-12-29T00:00:00.000",
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-3","Local Bank Rep","Mayor","Cindy","Kinnarney",,,"2018-03-27T00:00:00.000",
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-4","Local Industrial Development Committee Member","Mayor","Joyce","Poling",,,"2004-01-21T00:00:00.000",
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-5","Organized Labor Rep","Mayor","Roger","Kent",,,"2004-06-08T00:00:00.000",
