"id","type","name","website","video_archive","email","phone_number","address","city","state","zip","statutory_name","year_formed","end_date","seats","vacancies"
"3","seated","Animal Control Commission","https://bloomington.in.gov/boards/animal-control",,,,,,,,"Animal Control Commission","1983",,"6","0"
"6","seated","Bicycle and Pedestrian Safety Commission","https://bloomington.in.gov/bpsc",,"planning@bloomington.in.gov","812-349-3423","401 N Morton St
Suite 130","Bloomington","IN","47404","Bicycle and Pedestrian Safety Commission","1989",,"7","0"
"7","seated","BIDAC (Bloomington Industrial Development Advisory Commission)","https://bloomington.in.gov/boards/industrial-development",,,,,,,,"BIDAC (Bloomington Industrial Development Advisory Commission)","1997",,"9","3"
"5","seated","Bloomington Arts Commission","https://bloomington.in.gov/bac",,,,"401 N Morton",,,,"Bloomington Arts Commission","1980",,"11","0"
"10","seated","Bloomington Digital Underground Advisory Committee","http://bloomington.in.gov/bduac",,"dietzr@bloomington.in.gov","812-349-3485","401 N Morton St
Suite 160","Bloomington","IN","47404","Bloomington Digital Underground Advisory Committee","2003",,"7","0"
"22","seated","Board of Park Commissioners","https://bloomington.in.gov/boards/park-commissioners","http://catstv.net/government.php?issearch=govt&meeterid=114","parks@bloomington.in.gov","812.349.3700","401 N Morton St
Suite 250","Bloomington","IN","47404","Board of Park Commissioners","1986",,"4","0"
"25","seated","Board of Public Safety","https://bloomington.in.gov/boards/public-safety",,,"812-349-3438","401 N Morton St
Suite 220","Bloomington","IN","47404","Board of Public Safety",,,"5","0"
"27","seated","Board of Public Works","https://bloomington.in.gov/boards/public-works","http://catstv.net/government.php?issearch=govt&meeterid=115","public.works@bloomington.in.gov","812.349.3410","401 N. Morton Street
Suite 120","Bloomington","IN","47404","Board of Public Works",,,"3","0"
"4","seated","Board of Zoning Appeals","https://bloomington.in.gov/boards/zoning-appeals","http://catstv.net/government.php?issearch=govt&meeterid=116","planning@bloomington.in.gov","812.349.3423","401 N Morton St
Suite 130","Bloomington","IN","47404","Advisory Board of Zoning Appeals",,,"5","0"
"63","seated","Cascades Golf Course Advisory Council","https://bloomington.in.gov/parks/facilities/cascades-golf-course",,"parks@bloomington.in.gov","812.349.3700",,,,,,"2019",,"5","1"
"51","seated","CDBG Funding Citizens Advisory Committee","https://bloomington.in.gov/boards/cdbg-funding","http://catstv.net/government.php?issearch=govt&meeterid=118","hand@bloomington.in.gov","812-349-3420","401 N Morton St
Suite 130","Bloomington","IN","47404",,,,"22","6"
"74","seated","Citizens' Redistricting Advisory Commission","https://bloomington.in.gov/council/redistricting",,"council@bloomington.in.gov","812 349-3409","401 N. Morton Street","Bloomington","IN","47404",,"2021",,"9","0"
