"unit","descript","inci_no","inci_type","inci_desc","resp_code","resp_desc","alm_datetime","notif_datetime","roll_datetime","arv_datetime","addr_type","address","addr_2","xstreet","rural","city","state","zip","fire","medical","rescue","other","resp_time","fdid"
"R-1","Rescue 1","17-0000024","322","Motor vehicle accident with injuries","1","Emergency","2017-01-03T18:47:36.000","2017-01-03T18:47:36.000","2017-01-03T18:49:18.000","2017-01-03T18:54:24.000","2","E 7TH",,"SR 46",,"Bloomington","IN","47402","false","true","false","false","6","53003"
"R-1","Rescue 1","17-0000028","651","Smoke scare, odor of smoke","1","Emergency","2017-01-03T20:28:10.000","2017-01-03T20:28:10.000","2017-01-03T20:29:18.000","2017-01-03T20:33:28.000","1","3801 E MORNINGSIDE         4",,,,"Bloomington","IN","47402","false","false","false","true","5","53003"
"E-4","Engine 4","17-0000030","321","EMS call, excluding vehicle accident with injury","1","Emergency","2017-01-03T23:37:49.000","2017-01-03T23:37:49.000","2017-01-03T23:39:48.000","2017-01-03T23:42:04.000","1","2420 E 3RD",,,,"Bloomington","IN","47402","false","true","false","false","4","53003"
"E-1","Engine 1","17-0000018","552","Police matter","C","Cancelled","2017-01-03T06:48:08.000","2017-01-03T06:48:08.000","2017-01-03T06:48:50.000",,"1","winslow /winslow farm",,,,"Bloomington","IN","47402","false","false","false","true",,"53003"
"E-1","Engine 1","17-0000019","311","Medical assist, assist EMS crew","1","Emergency","2017-01-03T13:09:16.000","2017-01-03T13:09:16.000","2017-01-03T13:09:42.000","2017-01-03T13:15:36.000","1","911 N OOLITIC",,,,"Bloomington","IN","47402","false","true","false","false","6","53003"
"B-1","Battalion 1","17-0000028","651","Smoke scare, odor of smoke","1","Emergency","2017-01-03T20:28:10.000","2017-01-03T20:28:10.000","2017-01-03T20:30:08.000","2017-01-03T20:39:07.000","1","3801 E MORNINGSIDE         4",,,,"Bloomington","IN","47402","true","false","false","true","10","53003"
"E-1","Engine 1","17-0000031","321","EMS call, excluding vehicle accident with injury","1","Emergency","2017-01-04T05:35:37.000","2017-01-04T05:35:37.000","2017-01-04T05:36:51.000","2017-01-04T05:39:45.000","1","514 N WASHINGTON",,,,"Bloomington","IN","47402","false","true","false","false","4","53003"
"E-4","Engine 4","17-0000032","734","Heat detector activation due to malfunction","1","Emergency","2017-01-04T07:49:25.000","2017-01-04T07:49:25.000","2017-01-04T07:50:50.000","2017-01-04T07:52:35.000","1","1001 E 3rd street",,,,"Bloomington","IN","47402","false","false","false","true","3","53003"
"B-1","Battalion 1","17-0000032","734","Heat detector activation due to malfunction","2","Non-emergency","2017-01-04T07:49:25.000","2017-01-04T07:49:25.000","2017-01-04T07:50:59.000","2017-01-04T07:55:01.000","1","1001 E 3rd street",,,,"Bloomington","IN","47402","false","false","false","true","5","53003"
"E-4","Engine 4","17-0000013","424","Carbon monoxide incident","1","Emergency","2017-01-02T20:55:18.000","2017-01-02T20:55:18.000","2017-01-02T20:57:08.000","2017-01-02T20:59:50.000","1","1217 E UNIVERSITY",,,,"Bloomington","IN","47402","false","false","false","true","4","53003"
"R-1","Rescue 1","17-0000012","324","Motor Vehicle Accident with no injuries","1","Emergency","2017-01-02T17:35:38.000","2017-01-02T17:35:38.000","2017-01-02T17:36:20.000",,"2","E HILLSIDE",,"S DORCHESTER        DR",,"Bloomington","IN","47402","false","true","false","false",,"53003"
"E-5","Engine 5","17-0000012","324","Motor Vehicle Accident with no injuries","1","Emergency","2017-01-02T17:35:38.000","2017-01-02T17:35:40.000","2017-01-02T17:36:05.000","2017-01-02T17:39:07.000","2","E HILLSIDE",,"S DORCHESTER        DR",,"Bloomington","IN","47402","false","true","false","false","3","53003"
"E-4","Engine 4","17-0000011","321","EMS call, excluding vehicle accident with injury","1","Emergency","2017-01-02T13:13:06.000","2017-01-02T13:13:06.000","2017-01-02T13:14:50.000","2017-01-02T13:18:48.000","1","517 N CABOT",,,,"Bloomington","IN","47402","false","true","false","false","5","53003"
"E-4","Engine 4","17-0000010","321","EMS call, excluding vehicle accident with injury","1","Emergency","2017-01-02T10:02:06.000","2017-01-02T10:02:06.000","2017-01-02T10:04:16.000","2017-01-02T10:08:53.000","1","963 S 446",,,,"Bloomington","IN","47402","false","true","false","false","6","53003"
"R-1","Rescue 1","17-0000009","531","Smoke or odor removal","1","Emergency","2017-01-01T19:57:09.000","2017-01-01T19:57:09.000","2017-01-01T19:57:23.000","2017-01-01T20:01:54.000","1","1908 E ARDEN",,,,"Bloomington","IN","47402","false","false","false","true","4","53003"
"E-5","Engine 5","17-0000009","531","Smoke or odor removal","1","Emergency","2017-01-01T19:57:09.000","2017-01-01T19:57:09.000","2017-01-01T19:58:17.000","2017-01-01T20:03:09.000","1","1908 E ARDEN",,,,"Bloomington","IN","47402","false","false","false","true","6","53003"
"B-1","Battalion 1","17-0000006","111","Building fire","C","Cancelled","2017-01-01T11:22:18.000","2017-01-01T11:22:18.000",,,"1","2722 S ADAMS            4",,,,"Bloomington","IN","47402","true","false","false","false",,"53003"
"R-1","Rescue 1","17-0000007","111","Building fire","1","Emergency","2017-01-01T12:17:32.000","2017-01-01T12:17:32.000","2017-01-01T12:19:12.000","2017-01-01T12:32:12.000","1","cutright boat ramp",,,,"Bloomington","IN","47402","true","false","false","false","14","53003"
"E-4","Engine 4","17-0000007","111","Building fire","1","Emergency","2017-01-01T12:17:32.000","2017-01-01T12:17:32.000","2017-01-01T12:18:59.000","2017-01-01T12:31:34.000","1","cutright boat ramp",,,,"Bloomington","IN","47402","true","false","false","false","14","53003"
"R-2","Rescue 2","17-0000008","622","No Incident found on arrival at dispatch address","1","Emergency","2017-01-01T12:21:01.000","2017-01-01T12:21:01.000","2017-01-01T12:22:34.000",,"1","S. Rogers & Country Club",,,,"Bloomington","IN","47402","false","false","false","true",,"53003"
