"committee","seat_code","seat_name","appointer","firstname","lastname","term_start","term_end","appointment_start","appointment_end"
"BIDAC (Bloomington Industrial Development Advisory Commission)","G-1","Governor's Appointment","Governor",,,,,,
"BIDAC (Bloomington Industrial Development Advisory Commission)","LG-1","Lieutenant Governor Appointment","Lieutenant Governor",,,,,,
"BIDAC (Bloomington Industrial Development Advisory Commission)","M-1","Bloomington Resident","Mayor",,,,,,
"Cascades Golf Course Advisory Council","M-3","Council Member","Board of Park Commissioners",,,,,,
"CDBG Funding Citizens Advisory Committee","M-05","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-08","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-11","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-15","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","M-16","Mayoral Appointment","Mayor",,,,,,
"CDBG Funding Citizens Advisory Committee","R-1","Redevelopment Commission","Redevelopment Commission",,,,,,
"Commission on Hispanic and Latino Affairs","C-4","Advisory Seat","Common Council",,,,,,
"Commission on Hispanic and Latino Affairs","C-5","Advisory Seat","Common Council",,,,,,
"Commission on Sustainability","IU Sustainabilit","IU Sustainability","IU Office of Sustainability",,,,,,
"Commission on the Status of Black Males","M-1","Mayoral Appointment","Mayor",,,,,,
"Commission on the Status of Black Males","M-3","Mayoral Appointment","Mayor",,,,,,
"Commission on the Status of Children & Youth","M-2","Mayor","Mayor",,,,,,
"Commission on the Status of Children & Youth","M-4","Mayor","Mayor",,,,,,
"Commission on the Status of Women","M-1","Mayoral Appointment","Mayor",,,,,,
"Dr. Martin Luther King Jr. Birthday Commission","C-1","Council Appointment","Common Council",,,,,,
"Farmers' Market Advisory Council","C-1","Customers 1","Board of Park Commissioners","Janice","Lilly","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","C-2","Customers 2","Board of Park Commissioners","Mara Lea","Rosenbarger","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","C-3","Customers 3","Board of Park Commissioners","Michael","Gleeson","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","C-4","Customers 4","Board of Park Commissioners","Lynn","Schwartzberg","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","FBA-1","Food and Beverage Artisan","Board of Park Commissioners","Nelia","Hostetter","2021-04-01T00:00:00.000","2022-03-31T00:00:00.000","2021-07-06T00:00:00.000",
"Farmers' Market Advisory Council","FBA-2","Food and Beverage Artisan","Board of Park Commissioners",,,,,,
"Farmers' Market Advisory Council","V-1","Vendors 1","Board of Park Commissioners","Rebeca","Vadas","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","V-2","Vendors 2","Board of Park Commissioners","Cortland","Carrington","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","V-3","Vendors 3","Board of Park Commissioners","Whitney","Schlegel","2020-03-01T00:00:00.000","2022-03-31T00:00:00.000","2020-03-01T00:00:00.000",
"Farmers' Market Advisory Council","V-4","Vendors 4","Board of Park Commissioners",,,,,,
"Firefighters Pension Board","FD-1","Active Fire Department","Fire Department","Bryan","Hutchinson","2014-10-22T00:00:00.000","2018-10-21T00:00:00.000","2014-10-22T00:00:00.000",
"Firefighters Pension Board","FD-2","Active Fire Department","Fire Department","Jason","Zeeks","2014-10-22T00:00:00.000","2018-10-21T00:00:00.000","2014-10-22T00:00:00.000",
"Firefighters Pension Board","FD-3","Active Fire Department","Fire Department","Jeff","Kerr","2014-10-22T00:00:00.000","2018-10-21T00:00:00.000","2014-10-22T00:00:00.000",
"Firefighters Pension Board","FD-4","Active Fire Department","Fire Department","Roger","Kerr","2014-10-22T00:00:00.000","2018-10-21T00:00:00.000","2018-05-07T00:00:00.000",
"Firefighters Pension Board","RFD-1","Retired Fire Department","Fire Department","Terry","Williams","2016-10-22T00:00:00.000","2018-10-21T00:00:00.000","2018-05-07T00:00:00.000",
"Hearing Officer","P-2 (Alternate)","AICP","Plan Commission",,,,,,
"Historic Preservation Commission","C-2","Council Appointment","Common Council",,,,,,
"Human Rights Commission","M-1","Mayoral Appointment","Mayor",,,,,,
"Plan Commission","MCC-1","County Residents 1","Monroe County Commissioners",,,,,,
"Plan Commission","MCC-2","County Residents 2","Monroe County Commissioners",,,,,,
"Plan Commission","MCPC-1","Non-Voting","Monroe County Plan Commission","Trohn","Enright-Randolph","2016-01-04T00:00:00.000","2020-01-03T00:00:00.000","2016-06-03T00:00:00.000",
"Plat Committee","P-1","Plan Commission Appointment","Plan Commission","Roy","Aten","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","2021-01-01T00:00:00.000",
"Plat Committee","P-2","Plan Commission Appointment","Plan Commission","Jillian","Kinzie","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","2021-11-01T00:00:00.000",
"Plat Committee","P-3","Plan Commission Appointment","Plan Commission",,,,,,
"Police Pension Board","P-3","Active Police Officer 3","Police Department","Kevin","Frank","2018-02-12T00:00:00.000","2021-02-07T00:00:00.000","2019-08-28T00:00:00.000",
"Police Pension Board","P-4","Active Police Officer 4","Police Department","Jason","Shaevitz","2018-02-12T00:00:00.000","2021-02-07T00:00:00.000","2018-02-12T00:00:00.000",
"Police Pension Board","P-5","Active Police Officer 5","Police Department","Lucas","Tate","2019-02-11T00:00:00.000","2022-02-13T00:00:00.000","2019-02-11T00:00:00.000",
"Police Pension Board","RP-1","Retired Police Officer","Police Department","Bill","Parker","2019-02-01T00:00:00.000","2022-01-31T00:00:00.000","2019-02-01T00:00:00.000",
"Redevelopment Commission","MCCSC","School Board Appointment","MCCSC","Cathy","Fuentes-Rohwer","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","2021-01-01T00:00:00.000",
"Traffic Commission","PWD","Public Works Director Designee","Public Works Director","Joe","VanDeventer","2020-02-01T00:00:00.000","2022-01-31T00:00:00.000","2020-02-01T00:00:00.000",
"Urban Enterprise Association","C-4","Zone Resident 2","Common Council",,,,,,
"Urban Enterprise Association","G-1","IDOC","Governor",,,,,,
"Urban Enterprise Association","G-2","State Representative","Governor",,,,,,
