"service_request_id","requested_datetime","updated_datetime","closed_date","status_description","source","service_name","description","agency_responsible","address","city","state","zip","lat","long","geocoded_column","sladays"
"496","2011-06-23T04:00:00.000","2016-09-11T22:02:05.000","2011-08-05T13:25:12.000","closed","Phone Call","Excessive Growth","lawn not mowed","HAND","2611 E Roundhill LN","Bloomington","IN","47401","39.13965225","-86.50093842","POINT (-86.50093842 39.13965225)","9"
"506","2011-06-22T04:00:00.000","2016-09-11T22:02:05.000","2011-08-05T13:25:48.000","closed","Phone Call","Excessive Growth","Never mows grass, two cars that never move parked in drive.","HAND","2611 E Roundhill LN","Bloomington","IN","47401","39.13965225","-86.50093842","POINT (-86.50093842 39.13965225)","9"
"546","2011-06-21T04:00:00.000","2016-09-11T22:02:05.000","2012-03-02T16:00:57.000","closed","Phone Call","Excessive Growth","Tall grass.","HAND","3209 S Autumn LN","Bloomington","IN","47401","39.13451385","-86.50647736","POINT (-86.50647736 39.13451385)","9"
"569","2011-06-20T04:00:00.000","2016-09-11T22:02:05.000","2011-06-20T04:00:00.000","closed","Phone Call","Excessive Growth","This is the property that was formally the Downtown Motel and Uncle E's at the corner of 9th & Morton Street.  The grass is very high and unsightly.","HAND","508 N Morton ST","Bloomington","IN","47404","39.17077637","-86.53593445","POINT (-86.53593445 39.17077637)","9"
"620","2011-06-13T04:00:00.000","2020-10-05T14:42:52.000","2011-06-13T04:00:00.000","closed","Phone Call","Excessive Growth","Tall grass",,"1301 W Woodhill DR","Bloomington","IN","47403","39.15700150","-86.54748535","POINT (-86.54748535 39.1570015)","9"
"621","2011-06-13T04:00:00.000","2020-10-05T14:42:52.000","2011-06-13T04:00:00.000","closed","Phone Call","Excessive Growth","Tall grass.",,"1401 W Woodhill DR","Bloomington","IN","47403","39.15693283","-86.54839325","POINT (-86.54839325 39.15693283)","9"
"684","2011-06-08T04:00:00.000","2020-10-05T14:42:52.000","2011-06-08T04:00:00.000","closed","Phone Call","Excessive Growth",,,"1301 W Woodhill DR","Bloomington","IN","47403","39.15700150","-86.54748535","POINT (-86.54748535 39.1570015)","9"
"1057","2011-05-10T04:00:00.000","2020-10-05T14:42:52.000","2011-05-10T04:00:00.000","closed","Phone Call","Excessive Growth",,,"816 S Larkspur LN","Bloomington","IN","47403","39.15740204","-86.54760742","POINT (-86.54760742 39.15740204)","9"
"1470","2011-06-30T19:02:59.000","2016-09-11T22:02:05.000","2011-11-03T20:49:31.000","closed",,"Excessive Growth",,,"816 S Larkspur LN","Bloomington","IN","47403","39.15740204","-86.54760742","POINT (-86.54760742 39.15740204)","9"
"1471","2011-06-30T19:43:35.000","2016-09-11T22:02:05.000","2011-11-03T20:49:21.000","closed",,"Excessive Growth",,,"1301 W Woodhill DR","Bloomington","IN","47403","39.15700150","-86.54748535","POINT (-86.54748535 39.1570015)","9"
