"river","date_sampled","date_as_text","year_sampled","month_sampled","sampling_conditions","paramter","result","result_less_than","units"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Atrazine","< 0.03","0.03","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Azinphos-methyl","< 0.03","0.03","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Azoxystrobin","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Carbofuran","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Chlorantraniliprole","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Chlorothalonil","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Chlorpyrifos","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Clothianidin","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Cypermethrin","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Dimethoate","< 0.04","0.04","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Endosulfan I","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Endosulfan II","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Fluazifop-p-butyl","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Fludioxonil","< 0.01","0.01","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Hexazinone","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Imidacloprid","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Linuron","< 0.02","0.02","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Mancozeb","< 0.1","0.1","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Metalaxyl","< 0.03","0.03","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Methamidophos","< 5.0","5","mg/kg"
"Mill River","2014-07-29T00:00:00.000","2014-07-29T00:00:00.000","2014","7","normal (dry)","Metiram","< 1","1","mg/kg"
