"provincial_park_name","period","year","month","sites_sold","sites_available"
"Brudenell River Provincial Park","2005-05","2005","5","47","1140"
"Mill River Provincial Park","2005-05","2005","5","16","792"
"Brudenell River Provincial Park","2005-06","2005","6","509","2850"
"Cabot Beach Provincial Park","2005-06","2005","6","367","1512"
"Cedar Dunes Provincial Park","2005-06","2005","6","118","826"
"Green Park Provincial Park","2005-06","2005","6","78","812"
"Jacques Cartier Provincial Park","2005-06","2005","6","104","1036"
"Linkletter Provincial Park","2005-06","2005","6","361","2520"
"Lord Selkirk Provincial Park","2005-06","2005","6","143","1659"
"Mill River Provincial Park","2005-06","2005","6","425","2160"
"Northumberland Provincial Park","2005-06","2005","6","196","1800"
"Panmure Island Provincial Park","2005-06","2005","6","67","903"
"Red Point Provincial Park","2005-06","2005","6","401","2970"
"Brudenell River Provincial Park","2005-07","2005","7","1849","2945"
"Cabot Beach Provincial Park","2005-07","2005","7","3124","5053"
"Cedar Dunes Provincial Park","2005-07","2005","7","1432","1829"
"Green Park Provincial Park","2005-07","2005","7","575","1798"
"Jacques Cartier Provincial Park","2005-07","2005","7","1126","1612"
"Linkletter Provincial Park","2005-07","2005","7","1432","2604"
"Lord Selkirk Provincial Park","2005-07","2005","7","901","2449"
"Mill River Provincial Park","2005-07","2005","7","1356","2232"
"Northumberland Provincial Park","2005-07","2005","7","903","1860"
"Panmure Island Provincial Park","2005-07","2005","7","631","1333"
"Red Point Provincial Park","2005-07","2005","7","2730","3069"
"Brudenell River Provincial Park","2005-08","2005","8","1722","2945"
"Cabot Beach Provincial Park","2005-08","2005","8","2656","5053"
"Cedar Dunes Provincial Park","2005-08","2005","8","1097","1829"
"Green Park Provincial Park","2005-08","2005","8","503","1798"
"Jacques Cartier Provincial Park","2005-08","2005","8","961","1612"
"Linkletter Provincial Park","2005-08","2005","8","1444","2604"
"Lord Selkirk Provincial Park","2005-08","2005","8","841","2449"
"Mill River Provincial Park","2005-08","2005","8","1116","2232"
"Northumberland Provincial Park","2005-08","2005","8","990","1860"
"Panmure Island Provincial Park","2005-08","2005","8","778","1333"
"Red Point Provincial Park","2005-08","2005","8","2306","3069"
"Brudenell River Provincial Park","2005-09","2005","9","617","2850"
"Cabot Beach Provincial Park","2005-09","2005","9","298","3912"
"Cedar Dunes Provincial Park","2005-09","2005","9","126","590"
"Green Park Provincial Park","2005-09","2005","9","29","464"
"Jacques Cartier Provincial Park","2005-09","2005","9","144","1248"
"Linkletter Provincial Park","2005-09","2005","9","276","2016"
"Lord Selkirk Provincial Park","2005-09","2005","9","142","1422"
"Mill River Provincial Park","2005-09","2005","9","428","2160"
"Northumberland Provincial Park","2005-09","2005","9","285","1440"
"Panmure Island Provincial Park","2005-09","2005","9","71","731"
"Red Point Provincial Park","2005-09","2005","9","211","1683"
"Brudenell River Provincial Park","2005-10","2005","10","105","760"
"Mill River Provincial Park","2005-10","2005","10","12","72"
"Brudenell River Provincial Park","2006-05","2006","5","129","1235"
"Mill River Provincial Park","2006-05","2006","5","19","936"
"Brudenell River Provincial Park","2006-06","2006","6","552","2850"
"Cabot Beach Provincial Park","2006-06","2006","6","274","4727"
"Cedar Dunes Provincial Park","2006-06","2006","6","173","885"
"Green Park Provincial Park","2006-06","2006","6","72","870"
"Jacques Cartier Provincial Park","2006-06","2006","6","223","900"
"Linkletter Provincial Park","2006-06","2006","6","274","2436"
"Lord Selkirk Provincial Park","2006-06","2006","6","184","1738"
"Mill River Provincial Park","2006-06","2006","6","468","2160"
"Northumberland Provincial Park","2006-06","2006","6","160","1740"
"Panmure Island Provincial Park","2006-06","2006","6","40","1032"
"Red Point Provincial Park","2006-06","2006","6","299","2871"
"Brudenell River Provincial Park","2006-07","2006","7","1614","2945"
"Cabot Beach Provincial Park","2006-07","2006","7","2406","5053"
"Cedar Dunes Provincial Park","2006-07","2006","7","1402","1829"
"Green Park Provincial Park","2006-07","2006","7","470","1798"
"Jacques Cartier Provincial Park","2006-07","2006","7","1133","1860"
"Linkletter Provincial Park","2006-07","2006","7","1328","2604"
"Lord Selkirk Provincial Park","2006-07","2006","7","715","2449"
"Mill River Provincial Park","2006-07","2006","7","1347","2232"
"Northumberland Provincial Park","2006-07","2006","7","812","1860"
"Panmure Island Provincial Park","2006-07","2006","7","700","1333"
"Red Point Provincial Park","2006-07","2006","7","2455","3069"
"Brudenell River Provincial Park","2006-08","2006","8","1614","2945"
"Cabot Beach Provincial Park","2006-08","2006","8","2384","5053"
