"fiscal_year","reason_for_leaving","sex","number_of_staff"
"2015-2016","Retirement","Male","48"
"2015-2016","Retirement","Female","44"
"2015-2016","Resignation","Male","15"
"2015-2016","Resignation","Female","12"
"2016-2017","Retirement","Male","42"
"2016-2017","Retirement","Female","50"
"2016-2017","Resignation","Male","14"
"2016-2017","Resignation","Female","14"
"2017-2018","Retirement","Male","38"
"2017-2018","Retirement","Female","42"
"2017-2018","Resignation","Male","13"
"2017-2018","Resignation","Female","14"
"2018-2019","Retirement","Male","36"
"2018-2019","Retirement","Female","54"
"2018-2019","Resignation","Male","15"
"2018-2019","Resignation","Female","30"
"2019-2020","Retirement","Male","45"
"2019-2020","Retirement","Female","42"
"2019-2020","Resignation","Male","17"
"2019-2020","Resignation","Female","19"
