"vmv_code","value_flag","value","lab_analysis_date","station_id","sample_date","year_month_day","sample_type_code","watershed","water_type","station_description","units","variable_name","variable_group","method_description","latitude","longitude","georeference"
"39",,"0.5","2021-03-04T14:57:21.000","MGR 29","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(m)","Sample Depth","descriptive",,"46.1671","-62.6363","POINT (-62.6363 46.1671)"
"27",,"19.3","2021-03-04T14:57:21.000","MGR 29","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(°C)","Temperature","physicals","field multi meter","46.1671","-62.6363","POINT (-62.6363 46.1671)"
"30",,"24.8","2021-03-04T14:59:56.000","MGR 42","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est - 700 m SW of Brudenell Pt","(ppt)","Salinity","physicals","field multi meter","46.1744","-62.5613","POINT (-62.5613 46.1744)"
"92",,"1.5","2021-03-04T14:56:50.000","MGR 29B","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(m)","Secchi Depth","descriptive",,"46.1671","-62.6363","POINT (-62.6363 46.1671)"
"27",,"16.2","2021-03-04T14:56:50.000","MGR 29B","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(°C)","Temperature","physicals","field multi meter","46.1671","-62.6363","POINT (-62.6363 46.1671)"
"28",,"7.9","2021-03-04T14:58:52.000","MGR 42B","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est - 700 m SW of Brudenell Pt","(mg/L)","Oxygen, Diss","oxygen","field multi meter","46.1744","-62.5613","POINT (-62.5613 46.1744)"
"28",,"6.4","2021-03-04T14:56:50.000","MGR 29B","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(mg/L)","Oxygen, Diss","oxygen","field multi meter","46.1671","-62.6363","POINT (-62.6363 46.1671)"
"97",,"130.5","2021-03-04T14:59:56.000","MGR 42","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est - 700 m SW of Brudenell Pt","%","Oxygen Saturation, Diss","oxygen","field multi meter","46.1744","-62.5613","POINT (-62.5613 46.1744)"
"27",,"20.5","2021-03-04T14:59:56.000","MGR 42","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est - 700 m SW of Brudenell Pt","(°C)","Temperature","physicals","field multi meter","46.1744","-62.5613","POINT (-62.5613 46.1744)"
"92",,"1.5","2021-03-04T14:57:21.000","MGR 29","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est 1 km downstream of Rt 4 bridge","(m)","Secchi Depth","descriptive",,"46.1671","-62.6363","POINT (-62.6363 46.1671)"
"39",,"5.9","2021-03-04T14:57:47.000","MGR 31B","2018-08-01T00:00:00.000","2018-08-01","2","Montague River","MW","Montague R Est - mid estuary off Dewars Pt","(m)","Sample Depth","descriptive",,"46.1717","-62.6156","POINT (-62.6156 46.1717)"
