"name","provider","address","city","state","zipcode","phone","website","description","primary_care_location","chemical_dependency_outpatient","chemical_dependency_inpatient","mental_health_outpatient","mental_health_inpatient","self_referral","medicaid","medicare","private_insurance","uninsured","adult","youth","mental_health_wraparound","chemical_dependency_wraparound","community_supports","crisis_services","voluntary","geocoded_column"
"Tacoma Behavioral Health Child and Family Services","SeaMar Community Health Centers","2121 S. 19th  St.","Tacoma","WA","98405","253-280-9830","https://www.seamar.org/pierce-bh-tacoma-family.html","child and family","false","false","false","true","false","true","true","false","true","true","true","true","false","false","false","false","true","POINT (-122.465267 47.242685)"
"Asian Counseling Services in Pierce County (MultiCare)","MultiCare","4301 S Pine St, Suite 456","Tacoma","WA","98409","253-301-5250","https://www.multicare.org/behavioral-health-programs-adults-asian/","Our Asian Counseling program delivers a broad range of care and support in our clients’ homes, their communities and in our Asian Counseling offices. From help obtaining U.S. citizenship to dealing with post-traumatic stress disorder (PTSD), we offer compassionate, culturally appropriate care. Our program provides a wide range of service and support to our clients, including:
•Individual, group and family therapy for mental health issues, including depression, anxiety and trauma and PTSD
•Help applying for public programs, including disability benefits, the supplemental nutrition assistance program (SNAP) and Washington Apple Health (Medicaid)
•Help accessing community resources, such as legal resources, job training services and education
•Free counseling to victims of sexual assault or other crimes, including identity theft","false","false","false","true","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.473625 47.217765)"
"Greater Lakes Mental Healthcare","Greater Lakes Mental Healthcare","9330 59th Ave SW","Lakewood","WA","98499","253-581-7020","http://www.glmhc.org/","Greater Lakes provides mental health services for adults. We focus on recovery and trauma-informed care as an approach to all aspects of assessment and treatment. Our adult outpatient mental health services include case management, counseling and psychoterapy services, psychiatric evaluation, medication management, and peer support.","false","false","false","true","false","true","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.515573 47.171825)"
"MultiCare Spanaway Clinic","MultiCare","225 176th St S.","Spanaway","WA","98387","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.435801 47.097324)"
"Telecare Community Alterntative Teams (TCAT)","Telecare","3901 S. Fife St, Suite 301","Tacoma","WA","98409","253-589-5334","https://www.telecarecorp.com/telecare-community-alternative-teams-tcat","A community based, short-term (90 days max) wraparound service to minimize inpatient stays or divert from emergency rooms by providing transition services, crisis outreach, psych medication support, case management and transportatiofor discharge from inpatient mental health treatment facilities. Staff is multi-disciplinary and includes MHP, Peer Recovery Coaches, and Case Managers. 
Access: 253-589-5334. Referral Source: Care managers, MOCT, facilities, or self-referral. Serves only Pierce County Residents","false","false","false","false","false","true","true","false","false","true","true","false","true","true","true","false","true","POINT (-122.471401 47.221409)"
"Tacoma Needle Exchange - Central Tacoma","Dave Purchase Project","S 14th St & S G St","Tacoma","WA","98405","253-272-4857","https://www.tacomaneedleexchange.org/","The Tacoma Needle Exchange seeks to stop the spread of bloodborne pathogens such as HIV/HCV among drug users and reduce the harms to individuals and communities associated with drug use by providing new injection supplies to drug users with the understanding that when a person uses a new syringe and injection supplies the minimize the risks of contracting blood borne virus associated with drug use. Central Tacoma exchange locations: 14th St and G Street from 10a-1p Mon, Tue, Thu, Fri","false","true","false","false","false","true","true","true","true","true","true","false","false","false","false","false","true","POINT (-122.445221 47.249512)"
"Tacoma Fire Department CARES (TFD CARES)","Tacoma Fire Department",,"Tacoma","WA",,"253-591-5201","https://www.cityoftacoma.org/cms/one.aspx?pageId=8021","The City of Tacoma (COT) Fire Department serves the community in both emergency and non-emergency medical service capacities. Starting in 2012, the COT Fire Department started providing non-emergency medical services to assist community members beyond a traditional 911 emergency medical service (EMS) call.

 

TFD CARES is the Fire Department's Non-Emergency Medical Service
COT Fire Department’s non-emergency medical service is known as CARES. CARES stands for Community Assistance Referral and Education Service. It is an expanded fire department-based service supported by Washington State Legislation (RCW 35.21.930). The COT Fire Department provides CARES services to ensure public safety and includes it as a long-term strategic initiative for the department. The CARES Program is available to those residing in Tacoma, Fife, and Fircrest.","false","false","false","false","false","false","true","true","true","true","true","true","true","true","true","true","true","POINT (-122.44153 47.25308)"
"MultiCare Nothshore Clinic","MultiCare","4215 49th Ave NE","Tacoma","WA","98422","888-445-8120","https://www.multicare.org/behavioral-health-locations/","With therapists available in 11 primary care locations in Pierce and South King counties, we make it easy for you to get the care you need. General Counseling Services only accepts private health insurance at this time —  such as an employer’s health insurance plan, under your company's employee assistance program or through individual insurance coverage. We are unable to accept Medicaid or Medicare for general counseling services.","true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","true","POINT (-122.382162 47.294701)"
"Sea Mar Lakewood Behavioral Health Center","SeaMar Community Health Centers","7424 Bridgeport Way W. Suite 305","Lakewood","WA","98499","253-246-6820","https://www.seamar.org/pierce-bh-lakewood.html","Our team of mental health therapists, chemical dependency counselors, psychiatric advanced registered nurse practitioners, and psychiatrists specialize in providing culturally competent services. Our staff receive in-depth training on evidence-based practices to ensure we provide the best tools to help our clients lead healthy lives. Sea Mar accepts most insurances including Medicaid and provides services regardless of a patient’s ability to pay. When insurance is not available, Sea Mar offers a sliding fee scale discount, determined by household size and income.","false","true","false","true","false","true","true","true","true","true","true","false","false","false","false","false","true","POINT (-122.518477 47.189686)"
"Olalla Guest Lodge","Olalla Recovery Centers","12851 Lala Cove Lane SE","Olalla","WA","98359","253-857-6201","http://www.olalla.org","Olalla Guest Lodge offers a holistic approach to treatment and recovery with techniques that help align the mind, body and spirit through inner connectedness including a multi-disciplinary approach to the treatment of alcohol and drug addiction. We believe in treating the whole patient, by using the best treatment modalities, acupuncture (for stress, anxiety, detoxification, etc.), yoga/meditation (to relax both mind & body), nutrition lectures, presentations by our psychologist, etc. as well as Native American cultural and spiritual based recovery choices.  We tailor drug and alcohol treatment programs to meet individual needs as well as address any additional issues, (such as legal, family, or employer issues).","false","false","true","false","false","false","true","false","false","true","true","false","false","false","false","false","true","POINT (-122.54024 47.431982)"
