"year","domain","subdomain","age_group","indicator","overall","gender","household_income","race_ethnicity","special_ed","grade","average","sample_size","total","data_source","data_source_organization","data_provider_organization","notes","indicator_justification","calculation_method","findings","zip_code","location"
"2009",,,,"Proficient or above in early literacy by end of Kindergarten","Overall",,,,,,"76.44","503","658",,,,,,,,,
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,"Middle/High",,,,"91.7","530","578",,,,,,,,,
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,"African American",,,"81.4","48","59",,,,,,,,,
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,"2 or more",,,,,,,,,,,,,,
"2009","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,"Other",,,"81.6","31","38",,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,"Other",,,"0",,,,,,,,,,,
"2012",,,,"Youth (13-17 years) cited for crimes in Santa Monica",,,,,"No",,,,,,,,,,,,,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,"Male",,,,,"86.2","350","406",,,,,,,,,
"2012","Physical Health & Development","Access to Health Care/Nutrition & Fitness","[TBD]","Teen birth rate",,,,,"No",,,,,"Customized Report per Request from HSD","Los Angeles County Department of Public Health","Los Angeles County Department of Public Health","Ages 13-19","Teen birth rate is an important predictor of wellbeing and healhty behavior. Teen parents have more risk factors and stressors than adult parents. ","The number of teen births in Santa Monica was divided by the total number of teens (13-19 years) in Santa Monica. ","Less than 1% of all Santa Monica teens have given birth. ",,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,"Low",,,,,,,,,,,,,,,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,"No",,,,,,,,,,,,,
"2010",,,,"Proficient or above in early literacy by end of Kindergarten","Overall",,,,,,"73.93","392","698",,,,,,,,,
"2010","Learning & School Achievement","Academic Success","High School (14-18)","High school graduation rate",,,,,,,,,,,,,,,,,"Beyond-SM/Unknown",
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"Asian",,,"1",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"African American",,,"7",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,,"No",,,,,,,,,,,,,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"Other",,,"0",,,,,,,,,,,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"2 or more",,,,,,,,,,,,,,
"2012",,,,"Youth (18-24 years) cited for crimes in Santa Monica",,,,"White",,,"42",,,,,,,,,,,
