Incident Number,Incident Date,Call Type Description,Location,Reporting District,Station,Received,Cleared,Disposition,Latitude,Longitude,Map Point,Census Block 2000 GeoId,Census Tract 2000 GeoId,Census Block 2010 GeoId,Census Tract 2010 GeoId,california_census_zipcodes
16017830,12/31/2016,Emergency Medical Service (EMS),1600BLK OCEAN FRONT WALK ,E-1,Station 1 ,12/31/2016 11:20:55 PM,12/31/2016 11:50:06 PM,Report              ,34.010505439786137,-118.49595815921774,"(34.010505439786, -118.495958159218)",,,060377019023030,06037701902,368
16017828,12/31/2016,Automatic Alarm,600BLK CALIFORNIA AVE,E-6,Station 1 ,12/31/2016 10:45:23 PM,12/31/2016 11:15:25 PM,Report              ,34.022406046354156,-118.4975522592739,"(34.022406046354, -118.497552259274)",,,060377014024007,06037701402,365
16017827,12/31/2016,Emergency Medical Service (EMS),300BLK SANTA MONICA PIER ,E-1,Station 1 ,12/31/2016 10:43:39 PM,12/31/2016 11:00:58 PM,Report              ,34.010123810588006,-118.49647884215844,"(34.010123810588, -118.496478842158)",,,060377019023030,06037701902,368
16017826,12/31/2016,Emergency Medical Service (EMS),OCEAN AVE / OLYMPIC DR,E-6,Station 1 ,12/31/2016 10:25:22 PM,12/31/2016 10:49:18 PM,Report              ,34.008964543289451,-118.49200823158681,"(34.00896454329, -118.492008231587)",,,060377019023027,06037701902,368
16017825,12/31/2016,Emergency Medical Service (EMS),600BLK 9TH ST,E-6,Station 1 ,12/31/2016 09:47:26 PM,12/31/2016 10:08:10 PM,Report              ,34.029654515997947,-118.50141207469497,"(34.029654515998, -118.501412074695)",,,060377013044010,06037701304,366
16017824,12/31/2016,Emergency Medical Service (EMS),1400BLK 4TH ST,E-1,Station 1 ,12/31/2016 09:34:10 PM,12/31/2016 09:51:59 PM,Report              ,34.015745142206356,-118.49436725449992,"(34.015745142206, -118.4943672545)",,,060377019021033,06037701902,368
16017822,12/31/2016,Emergency Medical Service (EMS),1400BLK 4TH ST,E-1,Station 1 ,12/31/2016 09:20:31 PM,12/31/2016 09:22:44 PM,Report              ,34.015745142206356,-118.49436725449992,"(34.015745142206, -118.4943672545)",,,060377019021033,06037701902,368
16017815,12/31/2016,Emergency Medical Service (EMS),200BLK ASHLAND AVE,E-2,Station 2 ,12/31/2016 07:43:02 PM,12/31/2016 07:49:48 PM,Report              ,34.000016728672946,-118.4803852502594,"(34.000016728673, -118.480385250259)",,,060377021024010,06037702102,363
16017812,12/31/2016,Emergency Medical Service (EMS),2600BLK 34TH ST,E-5N,Station 5 ,12/31/2016 05:54:00 PM,12/31/2016 06:29:00 PM,Report              ,34.023476790757186,-118.45091122334843,"(34.023476790757, -118.450911223348)",,,060377023001006,06037702300,363
16017811,12/31/2016,Emergency Medical Service (EMS),400BLK 23RD ST,E-4,Station 3 ,12/31/2016 05:49:08 PM,12/31/2016 06:05:57 PM,Report              ,34.042969576017143,-118.4904492913784,"(34.042969576017, -118.490449291378)",,,060377012012003,06037701201,366
16017810,12/31/2016,Emergency Medical Service (EMS),300BLK SANTA MONICA PL,E-1,Station 1 ,12/31/2016 05:43:16 PM,12/31/2016 07:00:30 PM,Report              ,,,,,,060377019022014,06037701902,
16017809,12/31/2016,Emergency Medical Service (EMS),1300BLK FRANKLIN ST,E-3,Station 3 ,12/31/2016 03:45:41 PM,12/31/2016 05:05:23 PM,Report              ,34.038572585180461,-118.46945742210627,"(34.038572585181, -118.469457422106)",,,060377016021007,06037701602,364
16017808,12/31/2016,Structure Fire,2400BLK OAK ST,E-5S,Station 5 ,12/31/2016 03:27:22 PM,12/31/2016 03:42:23 PM,Report              ,34.015922245354069,-118.45880526234632,"(34.015922245354, -118.458805262346)",,,060377023002011,06037702300,363
