"ledger_type","cost_center_type","fund_id","fund_name","department_id","department_name","division_id","division_name","object","object_description","category_code","category_code_description","fiscal_year","july","august","september","october","november","december","january","february","march","april","may","june","total"
"BA","IS","00001","General Fund","130","FINANCE","224","REVENUE DIVISION","400000","REVENUE","600","Revenue","2015","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"BA","IS","00001","General Fund","500","PUBLIC WORKS","452","FACILITIES MAINTENANCE","400000","REVENUE",,"REVENUE","2015","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"BA","IS","00001","General Fund","310","FIRE","312","FIRE - ADMINISTRATION","400000","REVENUE",,"REVENUE","2015","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"B1","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2013","-23621499.00","0.00","0.00","0.00","0.00","0.00","0.00","-920349.00","0.00","0.00","0.00","0.00","-24541848.00"
"BA","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2014","-25230834.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-25230834.00"
"BA","IS","00001","General Fund","130","FINANCE","224","BUSINESS & REVENUE OPERATIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2014","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"B1","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2014","-25230834.00","0.00","0.00","0.00","0.00","0.00","-205095.00","0.00","0.00","0.00","0.00","0.00","-25435929.00"
"BA","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2015","-26715138.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-26715138.00"
"BA","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400010","PROPERTY TAXES - SECURED","602","Property Taxes","2016","-27523549.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-27523549.00"
"B1","IS","00001","General Fund","700","NON-DEPARTMENTAL","274","ALL OTHER TRANSACTIONS","400020","PROPERTY TAXES - UNSECURED","602","Property Taxes","2013","-950000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-950000.00"
