"incident_number","incident_date","call_type_description","location","reporting_district","station","received","cleared","disposition","latitude","longitude","map_point","census_block_2000_geoid","census_tract_2000_geoid","census_block_2010_geoid","census_tract_2010_geoid"
"22013184","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","400BLK WILSHIRE BLVD ","E-6","Station 1 ","2022-09-13T12:43:20.000","2022-09-13T12:48:57.000","Report              ","34.019495409749084","-118.49783253797638","(34.0194954097491, -118.497832537976)",,,,
"22013182","2022-09-13T00:00:00.000","Smoke Investigation","2200BLK VIRGINIA AVE ","E-5N","Station 5 ","2022-09-13T11:57:13.000","2022-09-13T12:03:34.000","Report              ","34.022070290859993","-118.46872565880054","(34.02207029086, -118.468725658801)",,,,
"22013181","2022-09-13T00:00:00.000","Automatic Alarm","600BLK PICO BLVD ","E-2N","Station 2 ","2022-09-13T11:56:58.000","2022-09-13T12:05:25.000","Report              ","34.011152739167052","-118.48508834192614","(34.0111527391671, -118.485088341926)",,,,
"22013180","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","2000BLK SANTA MONICA BLVD","E-3","Station 3 ","2022-09-13T11:35:39.000","2022-09-13T12:05:02.000","Report              ","34.029065058266951","-118.47954200229255","(34.029065058267, -118.479542002293)",,,,
"22013179","2022-09-13T00:00:00.000","Automatic Alarm","300BLK OLYMPIC DR ","E-1","Station 1 ","2022-09-13T11:04:37.000","2022-09-13T11:16:26.000","Report              ",,,,,,,
"22013178","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","2700BLK NEILSON WAY ","E-2S","Station 2 ","2022-09-13T10:49:44.000","2022-09-13T11:13:42.000","Report              ","34.000551753447283","-118.48313032113383","(34.0005517534473, -118.483130321134)",,,,
"22013177","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1200BLK WILSHIRE BLVD ","E-4","Station 3 ","2022-09-13T10:43:48.000","2022-09-13T11:05:15.000","Report              ","34.025625695643143","-118.4902631393698","(34.0256256956431, -118.49026313937)",,,,
"22013176","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1300BLK 20TH ST","E-3","Station 3 ","2022-09-13T10:25:12.000","2022-09-13T10:58:58.000","Report              ","34.029348433412224","-118.48079776393756","(34.0293484334122, -118.480797763938)",,,,
"22013175","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1500BLK OCEAN AVE ","E-1","Station 1 ","2022-09-13T10:09:01.000","2022-09-13T10:25:06.000","Report              ","34.012088541579821","-118.49565711760555","(34.0120885415798, -118.495657117606)",,,,
"22013174","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","2000BLK STEWART ST","E-5N","Station 5 ","2022-09-13T09:32:26.000","2022-09-13T10:21:47.000","Report              ","34.025751152211519","-118.46226338302067","(34.0257511522115, -118.462263383021)",,,,
"22013173","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1900BLK PICO BLVD ","E-5N","Station 5 ","2022-09-13T09:15:00.000","2022-09-13T09:58:00.000","Report              ","34.007724849837608","-118.49000147366751","(34.0077248498376, -118.490001473668)",,,,
"22013172","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","400BLK PICO BLVD","E-2N","Station 2 ","2022-09-13T09:07:28.000","2022-09-13T09:16:03.000","Report              ","34.010014915515022","-118.48671333859362","(34.010014915515, -118.486713338594)",,,,
"22013170","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1400BLK OCEAN AVE ","E-1","Station 1 ","2022-09-13T08:39:45.000","2022-09-13T09:53:28.000","Report              ","34.013424290562163","-118.49722259970113","(34.0134242905622, -118.497222599701)",,,,
"22013169","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1700BLK CENTINELA AVE","E-3","Station 3 ","2022-09-13T08:36:34.000","2022-09-13T09:02:05.000","Report              ","34.033936731574663","-118.46225014679646","(34.0339367315747, -118.462250146796)",,,,
"22013168","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","500BLK OLYMPIC BLVD W","E-1","Station 1 ","2022-09-13T08:17:12.000","2022-09-13T08:41:11.000","Report              ","34.013073554128887","-118.48941315098216","(34.0130735541289, -118.489413150982)",,,,
"22013167","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1600BLK CLOVERFIELD BLVD ","E-3","Station 3 ","2022-09-13T07:11:59.000","2022-09-13T07:31:34.000","Report              ","34.027797729719552","-118.47308936288054","(34.0277977297196, -118.473089362881)",,,,
"22013166","2022-09-13T00:00:00.000","Emergency Medical Service (EMS)","1100BLK 23RD ST","E-4","Station 3 ","2022-09-13T07:09:02.000","2022-09-13T07:58:34.000","Report              ","34.034083235023523","-118.48149043043961","(34.0340832350235, -118.48149043044)",,,,
