"case_number","parcel_id","location","location_description","title","complaintviolation","reported","statusclosedate","department","zone","ownername","complianceinspector","holdpermits","geom"
"19280","199251017","147 HOMESTEAD AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-01T00:00:00.000",,"BAILEY MARK",,,"Kionna","Owens Osayande",
"18651","134387132","22 EVERGREEN AV",,"Public Health Inspector","Rodent (HCE)","2011-01-03T00:00:00.000","2010-12-29T00:00:00.000","BERMAN JUDITH TRUSTEE",,,"Dan","Lusa",
"18654","134387131","16 EVERGREEN AV",,"Public Health Inspector","Rodent (HCE)","2011-01-03T00:00:00.000","2010-12-29T00:00:00.000","WEST END APARTMENTS I LLC",,,"Dan","Lusa",
"18681","198209097","48 EDGEWOOD ST",,"Program Supervisor","Housing Code Enforcement","2011-01-03T00:00:00.000",,"THE HARTFORD COMMUNITIES IV LLC",,,"Tonja","Nelson",
"18658","159480003","53 FRANCIS AV",,"Public Health Inspector","Rodent (HCE)","2011-01-03T00:00:00.000","2010-12-30T00:00:00.000","FRANCIS AVENUE ASSOC LLC",,,"Dan","Lusa",
"18675","250560007","266 MAPLE AV",,"Public Health Inspector","Housing Code Enforcement","2011-01-03T00:00:00.000",,,"MA PROPERTIES, LLC",,"Dan","Lusa",
"18647","201268028","814 ASYLUM AV",,"Public Health Inspector","Rodent (HCE)","2011-01-03T00:00:00.000","2010-12-29T00:00:00.000",,"ASYLUM HILL CONGREGATIONAL CHURCH",,"Dan","Lusa",
"18670","180411063","218 LAUREL ST",,"Housing Code Inspector","Essential Services","2011-01-03T00:00:00.000","2011-01-03T00:00:00.000","LAUREL ZHENG LLC",,,"Kionna","Owens Osayande",
"18660","204536204","873 BROAD ST","1,2FL","Public Health Inspector","Housing Code Enforcement","2011-01-03T00:00:00.000",,"MEIER TODD",,,"Dan","Lusa",
"18680","276802035","50 STANDISH ST",,"Housing Code Inspector","Housing Code Enforcement","2011-01-03T00:00:00.000",,"ALDAVE ABEL M",,,"Rochelle","Little",
"18687","159480003","53 FRANCIS AV",,"Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000","2011-01-03T00:00:00.000","FRANCIS AVENUE ASSOC LLC",,,"Dan","Lusa",
"18704","179411097","282 LAUREL ST",,"Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000",,"YAGS PROPERTIES LLC",,,"Dan","Lusa",
"18722","197203055","46 LENOX ST",,"Housing Code Inspector","Essential Services","2011-01-04T00:00:00.000","2011-01-08T00:00:00.000","MJ REAL ESTATE INVESTMENT LLC",,,"Kionna","Owens Osayande",
"18686","159480002","57 FRANCIS AV",,"Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000","2011-01-03T00:00:00.000","REYDET MARCELO",,,"Dan","Lusa",
"18700","180411065","212 LAUREL ST",,"Housing Code Inspector","Essential Services","2011-01-04T00:00:00.000","2011-01-04T00:00:00.000",,"CARRIAGE PLACE APTS LLC",,"Kionna","Owens Osayande",
"18685","220230212","92 MATHER ST",,"Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000","2011-01-03T00:00:00.000","REID CAROL",,,"Dan","Lusa",
"18684","220230211","96 MATHER ST",,"Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000",,"MATHER STREET VENTURES, LLC",,,"Dan","Lusa",
"18692","152185077","1468 ALBANY AV",,"Program Supervisor","Housing Code Enforcement","2011-01-04T00:00:00.000",,"BILLINGTON CLYDE",,,"Tonja","Nelson",
"18697","250560005","240 MAPLE AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-04T00:00:00.000",,"OTERO MARISOL V",,,"Rochelle","Little",
"18694","208631008","249 NEW BRITAIN AV",,"Public Health Inspector","Housing Code Enforcement","2011-01-04T00:00:00.000",,"MY CT PROPERTY LLC",,,"Dan","Lusa",
"18688","201268030","784 ASYLUM AV","1","Public Health Inspector","Rodent (HCE)","2011-01-04T00:00:00.000","2011-01-03T00:00:00.000","KING VICTOR C",,,"Dan","Lusa",
"18724","179411097","282 LAUREL ST",,"Housing Code Inspector","Housing Code Enforcement","2011-01-05T00:00:00.000",,"YAGS PROPERTIES LLC",,,"Kionna","Owens Osayande",
"18741","249557396","99 WETHERSFIELD AV","3FL","Housing Code Inspector","Housing Code Enforcement","2011-01-05T00:00:00.000",,"CHARTER OAK MANAGEMENT SERVICES LLC",,,"Rochelle","Little",
"18726","177252024","281 SARGEANT ST",,"Housing Code Inspector","Essential Services","2011-01-05T00:00:00.000","2011-01-06T00:00:00.000","GORDON SHANE",,,"Kionna","Owens Osayande",
"18749","295564001","180 STONINGTON ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"STONINGTON ACRES LLC",,,"Dan","Lusa",
"18773","187615009","465 NEW BRITAIN AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"BEERS MICHAEL A",,,"Rochelle","Little",
"18768","188625122","546 HILLSIDE AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"GOMEZ OWEN",,,"Rochelle","Little",
"18751","199219167","12 MAGNOLIA ST",,"Housing Code Inspector","Essential Services","2011-01-06T00:00:00.000","2011-01-06T00:00:00.000","MILLS GEORGIA",,,"Kionna","Owens Osayande",
"18752","199219167","12 MAGNOLIA ST",,"Program Supervisor","Housing Code Enforcement","2011-01-06T00:00:00.000",,"MILLS GEORGIA",,,"Tonja","Nelson",
"18759","250578033","125 FRANKLIN AV",,"Public Health Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"TREMBAL INVESTMENTS #8 LLC",,,"Dan","Lusa",
"18769","188625122","546 HILLSIDE AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"GOMEZ OWEN",,,"Rochelle","Little",
"18767","188625122","548 HILLSIDE AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"GOMEZ OWEN",,,"Rochelle","Little",
"18766","176200179","59 STERLING ST",,"Program Supervisor","Housing Code Enforcement","2011-01-06T00:00:00.000","2011-05-04T00:00:00.000","59 61 STERLING STREET LLC",,,"Tonja","Nelson",
"18746","294564002","79 VAN BLOCK AV",,"Public Health Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"SAPIAIN EDDIE",,,"Dan","Lusa",
"18770","187615009","465 NEW BRITAIN AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"BEERS MICHAEL A",,,"Rochelle","Little",
"18772","187615009","465 NEW BRITAIN AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"BEERS MICHAEL A",,,"Rochelle","Little",
"18771","187615009","465 NEW BRITAIN AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"BEERS MICHAEL A",,,"Rochelle","Little",
"18748","295564001","134 STONINGTON ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-06T00:00:00.000",,"STONINGTON ACRES LLC",,,"Dan","Lusa",
"18800","152185080","1438 ALBANY AV",,"Housing Code Inspector","Essential Services","2011-01-07T00:00:00.000","2011-01-07T00:00:00.000","CAMSTONE LLC",,,"Kionna","Owens Osayande",
"18791","219221139","15 GREENFIELD ST",,"Program Supervisor","Housing Code Enforcement","2011-01-07T00:00:00.000",,"SINGH HARBHAJAN",,,"Tonja","Nelson",
"18799","178261377","34 WILLARD ST",,"Housing Code Inspector","Essential Services","2011-01-07T00:00:00.000","2011-01-07T00:00:00.000","MARKS GROUP LLC",,,"Kionna","Owens Osayande",
"18810","197203055","46 LENOX ST",,"Inspector II","Housing Code Enforcement","2011-01-07T00:00:00.000",,"MJ REAL ESTATE INVESTMENT LLC",,,"David","Viens",
"18790","178261404","169 SIGOURNEY ST","B 9","Program Supervisor","Housing Code Enforcement","2011-01-07T00:00:00.000",,"GARDEN HILL APARTMENTS LLC",,,"Tonja","Nelson",
"18802","198204063","907 ALBANY AV",,"Housing Code Inspector","Essential Services","2011-01-07T00:00:00.000","2011-01-07T00:00:00.000","BILLINGTON CLYDE JR",,,"Kionna","Owens Osayande",
"18781","229656116","86 WEBSTER ST",,"Housing Code Inspector","Essential Services","2011-01-07T00:00:00.000","2011-01-07T00:00:00.000",,"GARDEN HILL APARTMENTS, LLC",,"Rochelle","Little",
"18804","198204063","907 ALBANY AV",,"Housing Code Inspector","Housing Code Enforcement","2011-01-07T00:00:00.000",,"BILLINGTON CLYDE JR",,,"Kionna","Owens Osayande",
"18798","217104047","32 WINCHESTER ST",,"Program Supervisor","Housing Code Enforcement","2011-01-07T00:00:00.000",,"LANE MARCUS",,,"Tonja","Nelson",
"18782","175187050","73 BLUE HILLS AV",,"Program Supervisor","Housing Code Enforcement","2011-01-07T00:00:00.000",,,"HOUSING CONSULTANTS",,"Tonja","Nelson",
"18803","198204063","907 ALBANY AV",,"Housing Code Inspector","Essential Services","2011-01-07T00:00:00.000","2011-01-07T00:00:00.000","BILLINGTON CLYDE JR",,,"Kionna","Owens Osayande",
"18788","208644155","16 HENRY ST",,"Housing Code Inspector","Housing Code Enforcement","2011-01-07T00:00:00.000",,"THOMSEN VICTOR S",,,"Rochelle","Little",
"18824","251678217","28 BOND ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"GERACI MARIA ROSE",,,"Dan","Lusa",
"18819","226537052","31 WOLCOTT ST",,"Public Health Inspector","Rodent (HCE)","2011-01-10T00:00:00.000",,"BAPTEAU JEAN GARDY",,,"Dan","Lusa",
"18818","187625093","63 ANSONIA ST",,"Housing Code Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"MURATI VALTER",,,"Rochelle","Little",
"18817","221280214","94 EDWARDS ST",,"Public Health Inspector","Rodent (HCE)","2011-01-10T00:00:00.000",,,"JG SOLUTIONS, INC",,"Dan","Lusa",
"18826","180404004","115 SOUTH MARSHALL ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"ETERNAL ENTERPRISE INC",,,"Dan","Lusa",
"19000","198209093","62 EDGEWOOD ST",,"Program Supervisor","Housing Code Enforcement","2011-01-10T00:00:00.000",,"WILLIAMS ERROL",,,"Tonja","Nelson",
"18821","136476007","1965 PARK ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"PARKVILLE APARTMENTS LLC",,,"Dan","Lusa",
"18820","251666089","75 WHITMORE ST",,"Housing Code Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000","2011-01-08T00:00:00.000","75-77 WHITMORE ST LLC",,,"Rochelle","Little",
"18825","136476005","145 MADISON AV",,"Public Health Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"SERRANO RICARDO",,,"Dan","Lusa",
"18822","136476008","1973 PARK ST",,"Public Health Inspector","Housing Code Enforcement","2011-01-10T00:00:00.000",,"DACOSTA JOSE",,,"Dan","Lusa",
