"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"311: CITY OF HARTFORD","550 Main ST","Suite 203","Hartford","6103","(860) 757-9311","311@hartford.gov","http://www.hartford.gov/hartford-311",,"Support Services",,,"Government Agency",,,,"Provides a streamlined, integrated and secure way to report, track, and resolve problems or issues resident may have with non-emergency city services and centralizes the process of collecting and sharing that data.","550 Main ST
HARTFORD, Connecticut 06103
(41.762809, -72.674277)","DOWNTOWN"
"ACCESS HEALTH CT","280 TRUMBULL ST","11th Floor","Hartford","6103","1-855-909-2428","Unlisted/Unavailable","http://www.accesshealthct.com/",,"Support Services",,,,,,,"Focuses on providing access to quality insurance choices for individuals and small businesses, delivering a positive customer experience, improving quality, cost transparency and reducing disparities in health care.","280 TRUMBULL ST
HARTFORD, Connecticut 06103
(41.768113, -72.675496)","DOWNTOWN"
"ACHIEVE HARTFORD!","221 MAIN ST","3rd Floor","Hartford","6106","(860) 244-3333","info@achievehartford.org","http://www.achievehartford.org",,,"Civic Engagement",,,,,,"Independently research, evaluate, and engage the community in creating urgency and shared responsibility for closing the educational achievement gap in Hartford.","221 MAIN ST
HARTFORD, Connecticut 06106
(41.758407, -72.675439)","SOUTH GREEN"
"ACHIEVEMENT FIRST HARTFORD ACADEMY ELEMENTARY SCHOOL (K-4)","305 GREENFIELD ST",,"Hartford","6112","(860) 695-6560","admissionsCT@achievementfirst.org","http://www.achievementfirst.org",,,,,,"Schools",,,"Provides all of our students with the academic and character skills they need to graduate from top colleges, to succeed in a competitive world and to serve as the next generation of leaders in our communities.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)","UPPER ALBANY"
"ACHIEVEMENT FIRST HARTFORD ACADEMY MIDDLE SCHOOL (5-8)","305 GREENFIELD ST",,"Hartford","6112","(860) 695-6760","admissionsCT@achievementfirst.org","http://www.achievementfirst.org",,,,,,"Schools",,,"Provides all of our students with the academic and character skills they need to graduate from top colleges, to succeed in a competitive world and to serve as the next generation of leaders in our communities.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)","UPPER ALBANY"
"ACHIEVEMENT FIRST HARTFORD HIGH ACADEMY (9-10)","305 GREENFIELD ST",,"Hartford","6112","(860) 695-6680","admissionsCT@achievementfirst.org","http://www.achievementfirst.org",,,,,,"Schools",,,"Provides all of our students with the academic and character skills they need to graduate from top colleges, to succeed in a competitive world and to serve as the next generation of leaders in our communities.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)","UPPER ALBANY"
"ACTIVE CITY","73 OXFORD ST",,"Hartford","6105","(860) 212-9722","briangallagher82@gmail.com","http://www.activecity.org/","Youth and Family Enrichment",,,,,,,,"To collectively transform Hartford into America’s most physically active city for children. It will ensure that all Hartford youth are involved in organized and affordable athletic programs.","73 OXFORD ST
HARTFORD, Connecticut 06105
(41.764754, -72.713396)","WEST END"
"ADULT EDUCATION CENTER","110 WASHINGTON ST",,"Hartford","6106","(860) 695-5840","welcomecenter@hartfordschools.org","http://adulted.hartfordschools.org/",,"Support Services",,,,,"Higher Education",,"Engages adults in children's education by providing health information, life skills and parenting education, and  guidance on pursuing a college degree (for parent, child, or both!).","110 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.759391, -72.682156)","SOUTH GREEN"
"AFRICAN-AMERICAN AFFAIRS COMMISSION: STATE OF CONNECTICUT","210 CAPITOL AV","Room 509","Hartford","6106","(860) 240-8555","aaac@cga.ct.gov","http://aaac.cga.ct.gov/AAAC/",,,"Civic Engagement",,"Government Agency",,,,"Improves and promotes the economic development, education, health, and political well-being of the African-American community in the State of Connecticut.","210 CAPITOL AV
HARTFORD, Connecticut 06106
(41.762879, -72.682508)","DOWNTOWN"
"AFRICAN CARIBBEAN AMERICAN PARENTS OF CHILDREN WITH DISABILITIES, INC. (AFCAMP)","43 Woodland Street","Suite 520","Hartford","6105","(860) 548-9959","info@afcamp.org","http://www.afcamp.org",,,"Civic Engagement",,,,,,"Educates, empowers, and engages parents and community to improve quality of life for children with special needs and others at risk of education inequity or system involvement.","43 Woodland Street
HARTFORD, Connecticut 06105
(41.770184, -72.701608)","ASYLUM HILL"
