"birth_year","gender","ethnicity","race","neighborhood","high_school_district"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","HISPANIC ORIGIN IDENTITY NOT STATED","OTHER ASIAN","SOUTH WEST","Zone 3"
"2002","Male","HISPANIC ORIGIN IDENTITY NOT STATED","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","BLACK","SOUTH END","Zone 3"
"2002","Female","CUBAN","WHITE","SOUTH END","Zone 4"
"2002","Male","NON_HISPANIC","OTHER RACES","SOUTH END","Zone 4"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH END","Zone 4"
"2002","Female","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Male","HISPANIC ORIGIN","HISPANIC","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH END","Zone 4"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH END","Zone 3"
"2002","Female","CUBAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH MEADOWS","Zone 4"
"2002","Female","NON_HISPANIC","BLACK","SOUTH MEADOWS","Zone 4"
"2002","Male","MEXICAN","WHITE","SOUTH MEADOWS","Zone 4"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH MEADOWS","Zone 4"
"2002","Female","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH MEADOWS","Zone 4"
"2002","Male","NON_HISPANIC","WHITE","SOUTH MEADOWS","Zone 4"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH END","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","HISPANIC ORIGIN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH END","Zone 4"
"2002","Female","NON_HISPANIC","BLACK","SOUTH END","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH END","Zone 4"
"2002","Male","HISPANIC ORIGIN","WHITE","SOUTH END","Zone 4"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","HISPANIC ORIGIN","WHITE","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","WHITE","SOUTH END","Zone 4"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Female","PUERTO RICAN","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","WHITE","SOUTH END","Zone 4"
"2002","Female","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH END","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH END","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 3"
"2002","Male","PUERTO RICAN","WHITE","SOUTH END","Zone 3"
"2002","Female","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Female","NON_HISPANIC","OTHER RACES","SOUTH WEST","Zone 3"
"2002","Female","PUERTO RICAN","WHITE","SOUTH END","Zone 4"
"2002","Male","NON_HISPANIC","WHITE","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH WEST","Zone 3"
"2002","Male","NON_HISPANIC","BLACK","SOUTH END","Zone 3"
