"objectid","alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript","geom"
"36485",,"2013-08-16T00:00:00.000Z","13-0228045","8","15982","596",,"ZION","ST",,,,,,"Hartford","CT","6106","41.757216","-72.692189","N","D","1","4","552","Police matter",
"29143",,"2013-05-01T00:00:00.000Z","13-0121010","2",,,,"MARKET","ST",,"PEQUOT",,"ST",,"Hartford","CT","6103","41.7736","-72.671","N","D","1","1","151","Outside rubbish, trash or waste fire",
"22041",,"2013-01-03T00:00:00.000Z","13-0003008","7",,"460",,"BARBOUR","ST",,,,,,"Hartford","CT","6120","41.797884","-72.676389","N","B","1","4","444","Power line down",
"15346",,"2012-09-13T00:00:00.000Z","12-0257014","1","25274","76",,"MAIN","ST",,,,,,"Hartford","CT","6106","41.756403","-72.675641","N","B","1","1","552","Police matter",
"24824",,"2013-02-14T00:00:00.000Z","13-0045021","2",,"132",,"WOOSTER","ST",,,,,,"Hartford","CT","6120","41.781595","-72.675233","N","A","1","1","300","Rescue, EMS incident, other",
"44459",,"2013-12-23T00:00:00.000Z","13-0357049","16","5426","675",,"TOWER","AV",,,,,,"Hartford","CT","6112","41.800719","-72.693681","N","A","1","1","311","Medical assist, assist EMS crew",
"30426",,"2013-05-20T00:00:00.000Z","13-0140048","15",,"24",,"CATHERINE","ST",,,,,,"Hartford","CT","6106","41.7463","-72.6986","N","D","1","1",,"Shutoff Open Hydrant",
"12034",,"2012-07-19T00:00:00.000Z","12-0201044","1","23617","322",,"HUDSON","ST",,,,,,"Hartford","CT","6106","41.759","-72.678155","N","C","1","1","520","Water problem, Other",
"24138",,"2013-02-04T00:00:00.000Z","13-0035054","7",,"273",,"BELLEVUE","ST",,,,,,"Hartford","CT","6120","41.783917","-72.673462","N","C","1","1","552","Police matter",
"6196",,"2012-04-18T00:00:00.000Z","12-0109003","8","15301","268",,"PARK","TER",,,,,,"Hartford","CT","6106","41.7541","-72.6948","N","B","1","1","444","Power line down",
"17253",,"2012-10-13T00:00:00.000Z","12-0287045","14","19272","1011",,"ALBANY","AV",,,,,,"Hartford","CT","6112","41.7809","-72.693067","N","A","1","6","500","Service Call, other",
"4142",,"2012-03-12T00:00:00.000Z","12-0072059","14","47065","20",,"DILLON","RD",,,,,,"Hartford","CT","6112","41.7862","-72.7059","N","B","1","4","444","Power line down",
"40158",,"2013-10-11T00:00:00.000Z","13-0284058","8",,,,"GRAND","ST",,"LAWRENCE",,"ST",,"Hartford","CT","6106","41.7594","-72.6874","N","D","1","1","552","Police matter",
"38144",,"2013-09-10T00:00:00.000Z","13-0253070","1","25278","60",,"MAIN","ST",,,,,,"Hartford","CT","6106","41.756251","-72.67561","N","A","1","1","552","Police matter",
"32728",,"2013-06-23T00:00:00.000Z","13-0174015","7","7802","166",,"WESTLAND","ST",,,,,,"Hartford","CT","6120","41.790729","-72.68","N","B","1","1","444","Power line down",
"33335",,"2013-07-01T00:00:00.000Z","13-0182048","11","19549","170",,"SISSON","AV",,,,,,"Hartford","CT","6105","41.763408","-72.707046","N","B","1","1","553","Public service",
"21199",,"2012-12-19T00:00:00.000Z","12-0354009","16","4985","40",,"EAST BURNHAM","ST",,,,,,"Hartford","CT","6112","41.8054","-72.694","N","C","1","1","553","Public service",
"35781",,"2013-08-05T00:00:00.000Z","13-0217020","1",,,,"ELM","ST",,"TRINITY",,"ST",,"Hartford","CT","6106","41.7638","-72.6809","N","A","1","6","511","Lock-out",
"33907",,"2013-07-09T00:00:00.000Z","13-0190002","7","7516","12",,"ROCKVILLE","ST",,,,,,"Hartford","CT","6112","41.789492","-72.684274","N","A","1","1","531","Smoke or odor removal",
"27819",,"2013-04-09T00:00:00.000Z","13-0099007","11","9274","31",,"WHITNEY","ST",,,,,,"Hartford","CT","6105","41.767135","-72.711403","N","B","1","1","300","Rescue, EMS incident, other",
"38340",,"2013-09-13T00:00:00.000Z","13-0256021","2","50635","444",,"ALBANY","AV",,,,,,"Hartford","CT","6120","41.777278","-72.6846","N","D","1","1","552","Police matter",
"39473",,"2013-10-01T00:00:00.000Z","13-0274017","10","30251","853",,"WETHERSFIELD","AV",,,,,,"Hartford","CT","6114","41.732733","-72.670467","N","B","1","1","111","Building fire",
"3",,"2012-01-01T00:00:00.000Z","12-0001003","7","8313","40",,"SANFORD","ST",,,,,,"Hartford","CT","6120","41.7868","-72.6727","N","B","1","1","552","Police matter",
"14099",,"2012-08-22T00:00:00.000Z","12-0236001","7",,,,"ENFIELD","ST",,"NELSON",,"ST",,"Hartford","CT","6112","41.7889","-72.6838","N","A","1","1","552","Police matter",
