"fiscal_year","service","department","project_id","project","fund","fund_type","approved_amount","actual_amount"
"2016","Development","Development","D1376","Redevelopment and Implementation (property Acquisition, redevelopment, building demolition)","CAPITAL PROJECTS CITY","Local Funds","3000000","0"
"2017","Development","Development","D1376","Redevelopment and Implementation (property Acquisition, redevelopment, building demolition)","CAPITAL PROJECTS CITY","Local Funds","3000000","0"
"2018","Development","Development","D1376","Redevelopment and Implementation (property Acquisition, redevelopment, building demolition)","CAPITAL PROJECTS CITY","Local Funds","3000000","0"
"2019","Development","Development","D1376","Redevelopment and Implementation (property Acquisition, redevelopment, building demolition)","CAPITAL PROJECTS CITY","Local Funds","3000000","0"
"2020","Development","Development","D1376","Redevelopment and Implementation (property Acquisition, redevelopment, building demolition)","CAPITAL PROJECTS CITY","Local Funds","3000000","0"
"2016","Development","Development","D1381","Document Conversion  ","CAPITAL PROJECTS CITY         ","Local Funds","300000","300000"
"2017","Development","Development","D1381","Document Conversion  ","CAPITAL PROJECTS CITY         ","Local Funds","300000","0"
"2018","Development","Development","D1381","Document Conversion  ","CAPITAL PROJECTS CITY         ","Local Funds","300000","0"
"2019","Development","Development","D1381","Document Conversion  ","CAPITAL PROJECTS CITY         ","Local Funds","300000","0"
"2020","Development","Development","D1381","Document Conversion  ","CAPITAL PROJECTS CITY         ","Local Funds","300000","0"
"2016","Development","Development","D1471","Park Branch Library ","CAPITAL PROJECTS CITY         ","Local Funds","5000000","6500000"
"2017","Development","Development","D1471","Park Branch Library ","CAPITAL PROJECTS CITY         ","Local Funds","5000000","0"
"2018","Development","Development","D1471","Park Branch Library ","CAPITAL PROJECTS CITY         ","Local Funds","0","0"
"2019","Development","Development","D1471","Park Branch Library ","CAPITAL PROJECTS CITY         ","Local Funds","0","0"
"2020","Development","Development","D1471","Park Branch Library ","CAPITAL PROJECTS CITY         ","Local Funds","0","0"
"2016","Development","Development","D1515","Emergency Demolition Funds","CAPITAL PROJECTS CITY         ","Local Funds","200000","200000"
"2016","Development","Development","D1515","Neighborhood Development Housing Revitalization Fund","CAPITAL PROJECTS CITY","Local Funds","1000000","0"
"2017","Development","Development","D1515","Neighborhood Development Housing Revitalization Fund","CAPITAL PROJECTS CITY","Local Funds","1000000","0"
"2017","Development","Development","D1515","Emergency Demolition Funds","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2018","Development","Development","D1515","Neighborhood Development Housing Revitalization Fund","CAPITAL PROJECTS CITY","Local Funds","1000000","0"
"2018","Development","Development","D1515","Emergency Demolition Funds","CAPITAL PROJECTS CITY         ","Local Funds","200000","0"
"2019","Development","Development","D1515","Neighborhood Development Housing Revitalization Fund","CAPITAL PROJECTS CITY","Local Funds","1000000","0"
"2019","Development","Development","D1515","Emergency Demolition Funds","CAPITAL PROJECTS CITY         ","Local Funds","0","0"
