"organization_name","apt_suite","address","zipcode","telephone","email_address","website","category_1","category_2","category_3","category_4","category_5","category_6","category_7","category_8","mission","geospatial_data"
"CATHOLIC CHARITIES MIGRATION, REFUGEE, AND IMMIGRATION SERVICES",,,"06106","(860) 297-7800",,"http://www.ccaoh.org",,"Support Services",,,,,,,"Promote the dignity, self-sufficiency and potential of those in need.","35 GRPTPM ST
HARTFORD, Connecticut 06106"
"CATHOLIC CHARITIES - INSTITUTE FOR THE HISPANIC FAMILY",,,"06106","(860) 527-1124",,"http://www.ccaoh.org/",,"Support Services",,,,,,,,"45 WADSWORTH ST
HARTFORD, Connecticut 06106
(41.758879, -72.679432)"
"NAFI CT, INC.","Suite 1-305",,"06106","(860) 560-7324","LizSitler@nafi.com","http://www.nafict.org",,"Support Services",,,,,,,"NAFI CT's mission is creating diverse and innovative services for people. FOSTER CARE SERVICES.","Hartford Square West
HARTFORD, Connecticut 06106"
"GOVERNOR'S OFFICE: STATE OF CONNECTICUT",,,"06106","(800) 566-4840","Governor.Malloy@ct.gov","http://www.governor.ct.gov",,,,,"Government Agency",,,,"Keep Connecticut residents  up-to-date and in-the-know as we tackle the state's challenges","210 CAPITOL AV
HARTFORD, Connecticut 06106
(41.762879, -72.682508)"
"HORACE BUSHNELL CHILDREN'S FOOD PANTRY AT LIBERTY CHRISTIAN CENTER INTERNATIONAL",,,"06112","(860) 522-3296",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Church food pantry in the Upper Albany Avenue neighborhood offers food to low income families and individuals.","23 VINE ST
HARTFORD, Connecticut 06112
(41.779909, -72.688547)"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - MILNER ECE CENTER",,,"06112","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offer Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","104 VINE ST
HARTFORD, Connecticut 06112
(41.782572, -72.688205)"
"THELMA ELLIS DICKERSON'S JUMOKE ACADEMY ELEMENTARY SCHOOL (PK-4)",,,"06112","(860) 527-0575",,"http://www.jumokeacademy.org",,,,,,"Schools",,,"Prepare children to successfully compete in the global marketplace and to overcome cultural, social, and/or economic challenges.","250 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.79164, -72.697938)"
"HARTFORD AREA HABITAT FOR HUMANITY",,,"06120","(860) 541-2208","info@hartfordhabitat.org","http://www.hartfordhabitat.org",,"Support Services",,,,,,,"Bring people together to build homes, communities and hope.","780 WINDSOR ST
HARTFORD, Connecticut 06120
(41.788681, -72.66944)"
"HARTFORD FIRE DEPARTMENT: CITY OF HARTFORD",,,"06103","(860) 757-4500",,"http://www.hartford.gov/fire",,"Support Services",,,"Government Agency",,,,"The City of Hartford Fire Department is committed to preventing and minimizing the loss of life and property through incident stabilization and mitigation with the delivery of professional, high quality, efficient emergency fire, rescue and emergency medi","253 HIGH STREET
HARTFORD, Connecticut 06103
(41.772289, -72.677876)"
"HARTFORD POLICE ATHLETIC LEAGUE",,,"06120","(860) 757-4401","info@hartfordpal.org","http://www.hartfordpal.org","Youth and Family Enrichment",,,,,,,,"The Hartford Police Athletic League empowers the youth of Hartford to realize their greatest potential through mentoring, sports, education and a positive relationship with police officers.","50 WILLIAMS ST
HARTFORD, Connecticut 06120
(41.775271, -72.683097)"
"DR. JOSEPH S. RENZULLI GIFTED AND TALENTED ACADEMY (4-8)",,,"06106","(860) 695-2140","welcomecenter@hartfordschools.org","https://www.hartfordschools.org",,,,,,"Schools",,,"Offer high quality and distinctive programs specific to those needed to accommodate Hartford's identified gifted and talented youth.","110 WASHINGTON ST
HARTFORD, Connecticut 06106
(41.759391, -72.682156)"
"AIDS CONNECTICUT","Suite 3050",,"06106","(860) 247- 2437","slang@aids-ct.org","http://www.aids-ct.org",,"Support Services",,,,,,,"MISSION: AIDS Connecticut (ACT), in partnership with its member agencies, improves the lives of people impacted by HIV through care and supportive services, housing, advocacy and prevention.  Services include HIV Testing, Case Management; Connections Drop","110 BARTHOLOMEW AV
HARTFORD, Connecticut 06106
(41.7547, -72.703668)"
"UNITED CONNECTICUT ACTION FOR NEIGHBORHOODS",,,"06105","(860) 524-0502","alta.lash@ucanct.org","http://www.ucanct.org",,"Support Services","Civic Engagement",,,,,,"Provides technical assistance, consultation, and training for community organizations, including training for organizational development and for mobilization of communities to address issues of health care, public safety, housing, community development, r","20 SARGEANT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)"
"FAMILY LIFE EDUCATION, INC.",,,"06106","(860) 231-7744","info@familylifeedu.org","http://www.familylifeedu.org","Youth and Family Enrichment","Support Services",,,,,,,"Building a stronger community by fostering partnerships that engage families in a participatory process leading to self-efficacy.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - HERITAGE CHILD DEVELOPMENT CENTER",,,"06112","
(860) 560-5437 
","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offer Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","175 ENFIELD ST
HARTFORD, Connecticut 06112
(41.786552, -72.683727)"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - RAWSON SCHOOL EARLY CARE CENTER","CMTY",,"06112","(860) 695-3269","ECE@crtct.org","http://www.crtct.org/en",,,,"Early Childhood Education",,,,,"Clark offers affordable, high quality, licensed childcare and education for children three to five years of age.  Centerâ€™s use the nationally-respected Creative Curriculum, so that all children enter kindergarten ready to learn and succeed. All children","75 CLARK ST
HARTFORD, Connecticut 06112
(41.786704, -72.677438)"
"EMERGENCY SERVICES (911): CITY OF HARTFORD",,,"06103","911                                               (860) 757-4050",,"http://www.hartford.gov/emergency-services",,"Support Services",,,"Government Agency",,,,"Provide leadership for an organized effort to mitigate against, prepare for, and recover from, an emergency by conducting local and regional emergency operations planning and providing quality emergency call intake and dispatch.","253 HIGH ST
HARTFORD, Connecticut 06103
(41.772289, -72.677876)"
"DEPARTMENT OF SOCIAL SERVICES:  STATE OF CONNECTICUT",,,"06105","(800) 842-4524","commis.dss@ct.gov","http://www.ct.gov/dss",,"Support Services",,,"Government Agency",,,,"State agency administers state and federal cash assistance, food stamp and medical insurance programs for low income individuals, individuals who are elderly or disabled, and refugees. Cash or medical insurance programs include Temporary Family Assistance","55 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.76808, -72.68776)"
"THE MIDDLE GRADES ACADEMY AT WEST MIDDLE (5-8)",,,"06112","(860) 695-5557","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Deliver high quality instruction through the use of interdisciplinary units of study.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)"
"HOUSE OF BREAD",,,"06120","(860) 522-3144",,"http://www.hobread.org",,"Support Services",,,,,,,"Provide urban ministry to the economically disadvantaged, hungry, and homeless population in  Hartford.","1453 MAIN ST
HARTFORD, Connecticut 06120
(41.774387, -72.6769)"
"SAINT ANN'S IMMACULATE CONCEPTION CHURCH FOOD PANTRY",,,"06106","(860) 522-7128",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Operates food pantry T: 1:30-3pm for residents of Frog Hollow.","784 PARK ST
HARTFORD, Connecticut 06106
(41.758113, -72.689615)"
"SAN JUAN CENTER",,,"06103","(860) 522-2205","miriam@sanjuancenter.org","http://www.sanjuancenter.org","Youth and Family Enrichment","Support Services",,,,,,,"Provide counseling to families, housing to the poor and activities for youth.","1283 MAIN ST
HARTFORD, Connecticut 06103
(41.772164, -72.675905)"
"HARTFORD BEHAVIORAL HEALTH",,,"06106","(860) 727-8703",,"http://www.hbh1.org",,"Support Services",,,,,,,"Meet the behavioral health needs of primarily Hartford residents by providing the highest quality, culturally competent services in a cost- effective manner.","1 MAIN ST
HARTFORD, Connecticut 06106
(41.755446, -72.676367)"
"COMMUNITY RENEWAL TEAM RYAN WHITE BEHAVIORAL HEALTH OUTREACH",,,"06106","(860) 761-7900","BHS@crt.ct.org","http://www.crtct.org",,"Support Services",,,,,,,"Provide physciatric counseling and recovery services for mental illness or drug/alcohol abuse through  intensive outpatient, partial hospitalization and/or medication management.","1921 PARK ST
HARTFORD, Connecticut 06106
(41.756431, -72.710824)"
"ARTISTS COLLECTIVE",,,"06112","(860) 527-3205","info@artistscollective.org","http://www.artistscollective.org","Youth and Family Enrichment",,,,,,,,"The mission of the Artists Collective is to preserve and perpetuate the arts and culture of the African Diaspora by providing training in the performing and visual arts and by sponsoring special events. It is also the mission of the Collective to develop ","1200 ALBANY AV
HARTFORD, Connecticut 06112
(41.782325, -72.696608)"
"COMMUNITY RENEWAL TEAM (CRT) ENERGY ASSISTANCE PROGRAM",,,"06114","(860) 560-5800","Energy@crtct.org","http://www.crtct.org",,"Support Services",,,,,,,"Help people pay for utility or fuel bills including oil, natural gas, electricity, propane, kerosene, or wood.","395 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.745084, -72.673114)"
"MY PEOPLE CLINICAL SERVICES",,,"06105","(860) 656-0450","info@mypeople-ct.com","http://www.mypeople-ct.com",,"Support Services",,,,,,,"To enable My People to help Your People so that Our People will succeed.","111 GILLETT ST
HARTFORD, Connecticut 06105
(41.771582, -72.698892)"
"CONNECTICUT SCIENCE CENTER",,,"06103","(860) 724-3623",,"http://www.ctsciencecenter.org","Youth and Family Enrichment",,,,,,,,"With 150 hands-on exhibits, a state-of-the-art 3D digital theater, four educationallabs, plus daily programs and events, the Connecticut Science Center offersendless exploration for children, teens, and adults. From physics to forensics,geology to astro","250 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.764834, -72.669635)"
"OFFICE OF HIGHER EDUCATION: STATE OF CONNECTICUT","Suite 510",,"06103","(860) 947-1800","edinfo@ctohe.org","http://www.ctohe.org",,,,,"Government Agency",,"Higher Education",,"Advance the promise of postsecondary education for all state residents, and tadvocate on behalf of students, taxpayers, and the postsecondary schools and colleges which fall under its purview.","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)"
"ACHIEVEMENT FIRST HARTFORD ACADEMY ELEMENTARY SCHOOL (K-4)",,,"06112","(860) 695-6560","admissionsCT@achievementfirst.org","http://www.achievementfirst.org",,,,,,"Schools",,,"Provide all of our students with the academic and character skills they need to graduate from top colleges, to succeed in a competitive world and to serve as the next generation of leaders in our communities.","305 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.784608, -72.697162)"
"CULINARY ARTS ACADEMY (9-12)",,,"06112","(860) 695-1733","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Engage 400 students grades 9-12 students in a learning environment that combines rigorous academic courses with a related sequence of career pathway courses focused on Culinary Arts and Hospitality Management. Prepare students to meet the applied learning","415 GRANBY ST
HARTFORD, Connecticut 06112
(41.800405, -72.706535)"
"HPHS LAW AND GOVERNMENT ACADEMY (9-12)",,,"06105","(860) 695-1320","welcomecenter@hartfordschools.org","http://law.hartfordschools.org/",,,,,,"Schools",,,"Prepare Law & Government students for success in college and future careers in law, government, and community justice. The strong focus on communication, critical thinking, problem solving, and advocacy enables students to see the unlimited connections be","55 FOREST ST
HARTFORD, Connecticut 06105
(41.765472, -72.700221)"
"PARKER MEMORIAL COMMUNITY CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD",,,"06120","(860) 757 - 0820","tsteward@hartford.gov","http://dfcyr.hartford.gov","Youth and Family Enrichment",,,,,,,,"Provide life-long recreational opportunities that promote healthy and active living.","2621 MAIN ST
HARTFORD, Connecticut 06120
(41.789326, -72.671631)"
"COMMUNITY RENEWAL TEAM, INC. (CRT) - SHELDON OAKS ECE CENTER",,,"06106","(860) 560-5401","ECE@crtct.org","http://www.crtct.org",,,,"Early Childhood Education",,,,,"Offer Head Start and School Readiness for preschool children; Infant/toddler day care; after school programs; breakfast and lunch for  children during the summer months; and a food subsidy for home day care providers.","79 VAN BLOCK AV
HARTFORD, Connecticut 06106
(41.755923, -72.665921)"
"WOMEN'S LEAGUE CHILD DEVELOPMENT CENTER",,,"06120","(860) 524-5969",,"http://www.womensleaguecdc.org",,,,"Early Childhood Education",,,,,"Ceate an environment where all children love to learn and learn to love...while having fun. To build relationships among children, families and staff that form the foundation for healthy adjustment, development and lifelong learning.","1695 MAIN ST
HARTFORD, Connecticut 06120
(41.777778, -72.676422)"
"CAMP COURANT",,,"06105","(860) 241-3792",,"http://www.campcourant.org","Youth and Family Enrichment",,,,,,,,"To provide a FREE summer sanctuary for Hartford children that enables them to develop positive relationships, learn and have fun.","285 BROAD ST
HARTFORD, Connecticut 06105
(41.764987, -72.686543)"
"LATINO STUDIES ACADEMY AT BURNS (PK 4-8)",,,"06106","(860) 695-2980",,"http://www.hartfordschools.org",,,,,,"Schools",,,"elements of the academic component of the school are: (1) Provide students with a rich, dynamic curriculum that applies learning experiences within a global context, focusing on Latin America. (2) Provide students with the opportunity to broaden their per","195 PUTNAM ST
HARTFORD, Connecticut 06106
(41.761181, -72.690452)"
"CATHOLIC CHARITIES COMPREHENSIVE YOUTH SERVICES",,,"06106","(860) 297-7800",,"http://www.ccaoh.org","Youth and Family Enrichment",,,,,,,,"Promote the dignity, self-sufficiency and potential of those in need.","35 GROTON ST
HARTFORD, Connecticut 06106
(41.755379, -72.673372)"
"YW CAREER WOMEN",,,"06105","(860) 525-1163 X 124","BonnieM@ywcahartford.org","http://www.ywcahartford.org/what_we_do/ywcw.html",,,,,,,,"Workforce Development",,"135 BROAD ST
HARTFORD, Connecticut 06105
(41.767378, -72.686185)"
"ORGANIZED PARENTS MAKE A DIFFERENCE",,,"06105","(860) 548-0301","opmad@opmad.org","http://www.opmad.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Empower and unite parents city-wide to meet the academic, social, cultural, creative, and physical needs of children through parent-driven extended-day programs that nurture and encourage responsible citizens.  OPMAD serves Batchelder, Kennelly, Montessor","350 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.767532, -72.701053)"
"COMMUNITY SCHOOL AT CLARK SCHOOL (managed by THE VILLAGE FOR FAMILIES & CHILDREN)",,,"06120","(860) 695-3240",,"http://www.villageforchildren.org","Youth and Family Enrichment",,,,,,,,"To build a community of strong healthy families who protect and nurture children.","37 CLARK ST
HARTFORD, Connecticut 06120
(41.786036, -72.677628)"
"NORTH UNITED METHODIST CHURCH GIFTS FOR GOD CHILDREN'S CLOTHING BANK",,,"06112","(860) 523-5132","staff@umcofhartford.org","http://www.umcofhartford.org/",,"Support Services",,,,,,,"Church run clothing bank distributes free clothing for children ages 0 through 12 every Wednesday starting at 9am. Clothing distributed at other times for emergencies.","1229 ALBANY AV
HARTFORD, Connecticut 06112
(41.782485, -72.697041)"
"OPEN HEARTH ASSOCIATION",,,"06106","(860) 525-3447",,"http://www.theopenhearth.org/",,"Support Services",,,,,,,"Provide emergency shelter, transitional housing, and support services while  also offering residents substance abuse recovery services and vocational and life skills training in a work-based therapy program.","437 SHELDON ST
HARTFORD, Connecticut 06106
(41.758543, -72.665994)"
"SACRED HEART FOOD BANK - HARTFORD",,,"06103","(860) 527-6459",,"Unlisted/Unavailable",,"Support Services",,,,,,,"Church food pantry offers emergency food to women and families in Hartford's Northend. Food pantry is open on last Thursday of the month, 9:30-10:30am.","49 WINTHROP ST
HARTFORD, Connecticut 06103
(41.772656, -72.674332)"
"DR. JAMES H. NAYLOR/CCSU LEADERSHIP ACADEMY (PK 3-8)",,,"06114","(860) 695-4620","welcomecenter@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Increase student achievement through teacher preparation, professional development, technology, and grants. Collaboration is a critical area of focus.","639 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.730999, -72.67424)"
