"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2015","General Government","MHIS","ADMINISTRATION                ","SALARIES/WAGES      ","340414","340414","Metro Hartford Information Services","Tax Supported","REGULAR PAYROLL 1ST SHIFT     ","Personnel Cost"
"2015","General Government","MHIS","APPLICATION ENGINEERING       ","SALARIES/WAGES      ","35000","35000","Metro Hartford Information Services","Tax Supported","PERMANENT PART TIME           ","Personnel Cost"
"2015","General Government","MHIS","MHIS NETWORK OPERATIONS       ","SALARIES/WAGES      ","0","-60000","Metro Hartford Information Services","Tax Supported","PAYROLL REDUCTION TARGET      ","Personnel Cost"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","DEBT SVC & MISC     ","500","500","Metro Hartford Information Services","Tax Supported","ATTEND AT PROF CONV/CONF      ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","OTHER PURCH SVC     ","2500","2500","Metro Hartford Information Services","Tax Supported","MILEAGE & TRAV ALLOW-CITY     ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","SUPPLIES            ","1500","1500","Metro Hartford Information Services","Tax Supported","GENERAL OFFICE SUPPLIES       ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","PURCH PROF & TECH SV","5000","5000","Metro Hartford Information Services","Tax Supported","STAFF TRAINING SERVICES       ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","PURCH PROF & TECH SV","5000","5000","Metro Hartford Information Services","Tax Supported","EQUIPMENT MAINT & REPAIRS     ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","PURCH PROPERTY SVC  ","225678","225678","Metro Hartford Information Services","Tax Supported","SOFTWARE MAINT SERV CONTR     ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE SUPPORT SERVICES     ","SALARIES/WAGES      ","639875","639875","Metro Hartford Information Services","Tax Supported","REGULAR PAYROLL               ","Personnel Cost"
"2015","General Government","MHIS","MHIS BOE NETWORK OPERATIONS   ","OTHER PURCH SVC     ","229834","229834","Metro Hartford Information Services","Tax Supported","TELEPHONE & TELEGRAPH         ","Operating Expense"
"2015","General Government","MHIS","MHIS BOE NETWORK OPERATIONS   ","OTHER PURCH SVC     ","120","120","Metro Hartford Information Services","Tax Supported","MILEAGE & TRAV ALLOW-CITY     ","Operating Expense"
