"title","artist_s","materials","date_made","acquisition_date"
"Zoe's Bassinet","Abeles, Kim","Plexiglass, alter baby bassinet, automobile mufflers, acrylics, baby's breath (flowers)","1991","1997-09-18T00:00:00.000"
"UNTITLED","ABRAS, Camel","Gouache on paper","1964",
"CORNER GROCERY","ABRIL, Ben","Watercolor","Before 1963","1962-04-30T00:00:00.000"
"UNTITLED","AIIDO, J.","Oil on canvas","1969","1969-12-22T00:00:00.000"
"DESERT GOLD","ALBERT, Karl","Oil on linen","1962",
"SANGUE DE BOI","ALENCAR, Leonardo","Gouache on paper","1964",
"2119 ESTRELLA AVENUE","ALEXANDER, Peter","Ink on paper",,
"LOS ANGELES THEATER","ALEXANDER, Peter","Ink on paper","1965",
"STIMSON HOUSE","ALEXANDER, Peter","Ink on paper","1965",
"WEEDS IN SNOW","ALLEN, George M.","Watercolor","1971",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","ALMARAZ, Carlos","Lithograph","1983","1983-08-10T00:00:00.000"
"HARPER SERIES","ALTOON, John","Watercolor and ink","1968",
"TRIO, TRIP SERIES","Altoon, John","Gouache on paper","1961",
"MAYOR P. BEAUDRY","AMES, E.J.","Oil on canvas",,
"SNOW BOAT","ANAYAMA, Shodo","Watercolor on silk","Before 1967",
"OCEAN SUNSET","ANDERSON, Euray","Oil on canvas","1965",
"Bunker Hill Avenue No. 3","ANDERSON, Leslie","Watercolor on paper","Before 1967","1966-07-05T00:00:00.000"
"NEIL AVE. LOFT #53429","ANNUZIATA, Ralph","Mixed mediums","1975","1977-12-27T00:00:00.000"
"THE MANY","ANTOYAN","Watercolor","1964",
"DOCKWEILER MONUMENT","APPELDORN, Henry C., Contractor","Flagstone, bronze","1887",
"QUEEN OF HEARTS","ARLON, Ary","Oil on canvas","1960",
"RAOUL WALLENBERG","ASSETTO, Franco","Stainless Steel, bronze","1988",
"THE BIG CANDY","ASSETTO, Franco","Painted fiberglass, painted steel.","1987","1987-01-01T00:00:00.000"
"EMILIANO ZAPATA","ASUNSOLO, Ignacio","Bronze on concrete base","1980",
"SUN FOLLOWERS","ATTRIDGE, Irma","Oil on canvas","Before 1969","1968-09-26T00:00:00.000"
"THREE DANCING FIGURES","AVENDANO, Andro","Steel, cement, latex","1991",
"ALHAMBRA #2","AXEL, Jane","Acrylic","Before 1977","1977-12-27T00:00:00.000"
"J. JESUS GONZALEZ ORTEGA","AYDA","Bronze","1987",
"ANNABELLA","BACHRACH, Ernest","Photograph","1939",
"CONSTANCE BENNETT","BACHRACH, Ernest","Photograph","1932",
"CONSTANCE BENNETTE","BACHRACH, Ernest","Photograph","1933",
"GLORIA SWANSON","BACHRACH, Ernest","Photograph","1940",
"KATHRINE HEPBURN","BACHRACH, Ernest","Photograph","1935",
"MAYOR ARTHUR HARPER (1907-1909)","BAKER, Jeanette","Oil on canvas","1916",
"MAYOR CHARLES E. SEBASTIAN (1915-1916)","BAKER, Jeanette","Oil on canvas","1916",
"SILVERBACK MOUNTAIN GORILLA","BAKER, Rick","Bronze cast, granite","1987",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","BALDESARI, John","Lithograph","1983","1983-10-10T00:00:00.000"
"HISTORY OF SCIENCE (Time/Aeronautics/Metallurgy&Electricity/Astronomy/Mathmatics&Physics/Navigation/Engineering/Geology&Biology)","BALLIN, Hugo","Oil paint on linen adhered to wall and ceiling, with gold and silver embellishments","1934",
"UNTITLED","BARNBAUM, Bruce","Photograph","Unknown",
"p-23","BARREL","Oil on canvas","Unknown",
"CALIFORNIA","BARTLETT, Dana","Oil on canvas","1929",
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","BARTLETT, Jennifer","Lithograph","1983",
"BLUE INLET","BASINET, Victor","Tempera on board",,
"ZOCALO, TEXAS","BATT, Miles G.","Watercolor",,"1977-12-27T00:00:00.000"
"LANDSCAPE DESTROYED","BEASLEY, Dick","Intaglio","1961","1977-12-27T00:00:00.000"
"BLUE VASE","BECKER, Lucille","Oil on canvas","1951","1970-03-31T00:00:00.000"
"INFORMATION","BEHL, Reggie","Watercolor and silverpoint","1972","1905-05-25T00:00:00.000"
"UNTITLED (FINIS)","BEKEN, Lewis","Acrylic on canvas","1970","1977-12-27T00:00:00.000"
"LOS ANGELES 1984 OLYMPIC GAMES COMMEMORATIVE PRINT","BENGLIS, Lynda","Lithograph","1983","1983-08-10T00:00:00.000"
"MISS SANDRA'S HOUSE","BERLANT, Tony","Linoleum, sheet metal on wood","1966","1977-12-27T00:00:00.000"
"BOBBIE","BERNARD, Donald","Photograph","1985",
"GRIFFITH J. GRIFFITH STATUE","BICKART, Jonathan","Bronze","1996",
"OLIVE HILL GENERAL PLAN II","BIGLIN, Brian, C. Goldstone, B. Goodman, R. Nichols, S. Nugroho, E. Pritchard, and C. Schoepe","Birch, plywood, & plexiglass","1992",
"Plaza Church","BLOWER, David","Oil on Canvas","1969",
"ROMAN AQUEDUCT 19 B.C., PONT DU GARD, FRANCE","BLUMBERG, Donald","Photographic mural on paper","1988",
"BIRD SANCTUARY","BLUMBERG, Ron","Oil on canvas",,
